終点停留所	金沢駅【降車場】	星稜高校（駐車場内）	金沢駅【降車場】	金沢駅【降車場】	県庁前-D	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】			
備考	ノンステップバス					ノンステップバス		ノンステップバス					ノンステップバス						ノンステップバス	ノンステップバス				ノンステップバス		ノンステップバス									
新田	-	-	-	-	07:28	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
宮永市-B	-	-	-	-	07:29	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
やすらぎホーム前	-	-	-	-	07:36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
矢木-C	-	-	-	-	07:38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
尾山台高校-B	-	-	-	-	07:42	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
みどり中央（郊外方向）	-	-	-	-	07:43	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
八ツ矢（市内方向）	06:52	07:02	07:09	07:25	-	07:35	-	07:45	07:55	08:17	09:22	09:57	10:32	11:02	11:32	11:47	12:17	12:47	13:32	14:02	14:32	15:02	15:32	16:17	16:47	17:17	17:37	18:02	18:36	19:26	20:06	20:46			
徳丸-B	06:53	07:03	07:10	07:26	-	07:36	-	07:46	07:56	08:18	09:23	09:58	10:33	11:03	11:33	11:48	12:18	12:48	13:33	14:03	14:33	15:03	15:33	16:18	16:48	17:18	17:38	18:03	18:37	19:27	20:07	20:47			
番匠-B	06:54	07:04	07:11	07:27	-	07:37	-	07:47	07:57	08:19	09:24	09:59	10:34	11:04	11:34	11:49	12:19	12:49	13:34	14:04	14:34	15:04	15:34	16:19	16:49	17:19	17:39	18:04	18:38	19:28	20:08	20:48			
田中-B	06:55	07:05	07:12	07:28	-	07:38	-	07:48	07:58	08:20	09:25	10:00	10:35	11:05	11:35	11:50	12:20	12:50	13:35	14:05	14:35	15:05	15:35	16:20	16:50	17:20	17:40	18:05	18:39	19:29	20:09	20:49			
三日市-B	06:56	07:06	07:13	07:29	-	07:39	-	07:49	07:59	08:21	09:26	10:01	10:36	11:06	11:36	11:51	12:21	12:51	13:36	14:06	14:36	15:06	15:36	16:21	16:51	17:21	17:41	18:06	18:40	19:30	20:10	20:50			
堀内町-B	06:57	07:07	07:14	07:31	-	07:41	-	07:51	08:01	08:23	09:28	10:03	10:38	11:08	11:38	11:53	12:23	12:53	13:38	14:08	14:38	15:08	15:38	16:23	16:53	17:23	17:43	18:08	18:41	19:31	20:11	20:51			
稲荷-B	06:58	07:08	07:15	07:32	-	07:42	07:43	07:52	08:02	08:24	09:29	10:04	10:39	11:09	11:39	11:54	12:24	12:54	13:39	14:09	14:39	15:09	15:39	16:24	16:54	17:24	17:44	18:09	18:42	19:32	20:12	20:52			
太平寺（市内方向）	07:00	07:09	07:17	07:34	-	07:44	07:44	07:54	08:04	08:26	09:31	10:06	10:41	11:11	11:41	11:56	12:26	12:56	13:41	14:11	14:41	15:11	15:41	16:26	16:56	17:26	17:46	18:11	18:44	19:34	20:14	20:54			
西野々市（横宮方向）	07:01	07:10	07:18	07:35	-	07:45	-	07:55	08:05	08:27	09:32	10:07	10:42	11:12	11:42	11:57	12:27	12:57	13:42	14:12	14:42	15:12	15:42	16:27	16:57	17:27	17:47	18:12	18:45	19:35	20:15	20:55			
野々市中央-B	07:02	07:11	07:19	07:36	-	07:46	07:46	07:56	08:06	08:28	09:33	10:08	10:43	11:13	11:43	11:58	12:28	12:58	13:43	14:13	14:43	15:13	15:43	16:28	16:58	17:28	17:48	18:13	18:46	19:36	20:16	20:56			
横宮-B	07:03	07:12	07:20	07:37	-	07:47	07:47	07:57	08:07	08:29	09:34	10:09	10:44	11:14	11:44	11:59	12:29	12:59	13:44	14:14	14:44	15:14	15:44	16:29	16:59	17:29	17:49	18:14	18:47	19:37	20:17	20:57			
伏見橋（ニューハウス前）	07:04	07:14	07:21	07:40	-	07:50	-	08:00	08:10	08:32	09:36	10:11	10:46	11:16	11:46	12:01	12:31	13:01	13:46	14:16	14:46	15:16	15:46	16:32	17:02	17:32	17:52	18:16	18:49	19:39	20:18	20:58			
二万堂-B	07:05	07:16	07:22	07:41	-	07:51	-	08:01	08:11	08:33	09:37	10:12	10:47	11:17	11:47	12:02	12:32	13:02	13:47	14:17	14:47	15:17	15:47	16:33	17:03	17:33	17:53	18:17	18:50	19:40	20:19	20:59			
有松（二万堂から）	07:06	07:17	07:23	07:43	-	07:53	07:51	08:03	08:13	08:35	09:38	10:13	10:48	11:18	11:48	12:03	12:33	13:03	13:48	14:18	14:48	15:18	15:48	16:34	17:04	17:34	17:54	18:18	18:51	19:41	20:20	21:00			
泉二丁目-B	07:08	07:19	07:25	07:45	-	07:55	-	08:05	08:15	08:37	09:40	10:15	10:50	11:20	11:50	12:05	12:35	13:05	13:50	14:20	14:50	15:20	15:50	16:36	17:06	17:36	17:56	18:20	18:53	19:43	20:22	21:02			
泉一丁目-B	07:09	07:21	07:26	07:47	-	07:57	-	08:07	08:17	08:39	09:42	10:17	10:52	11:22	11:52	12:07	12:37	13:07	13:52	14:22	14:52	15:22	15:52	16:38	17:08	17:38	17:58	18:21	18:54	19:44	20:23	21:03			
野町-B	07:10	07:22	07:27	07:48	-	07:58	-	08:08	08:18	08:40	09:43	10:18	10:53	11:23	11:53	12:08	12:38	13:08	13:53	14:23	14:53	15:23	15:53	16:39	17:09	17:39	17:59	18:22	18:55	19:45	20:24	21:04			
広小路（有松から）	07:11	07:23	07:28	07:50	-	08:00	07:55	08:10	08:20	08:42	09:44	10:19	10:54	11:24	11:54	12:09	12:39	13:09	13:54	14:24	14:54	15:24	15:54	16:40	17:10	17:40	18:00	18:23	18:56	19:46	20:25	21:05			
片町（ラブロ前）	07:14	07:26	07:31	07:54	-	08:04	07:58	08:14	08:24	08:46	09:47	10:22	10:57	11:27	11:57	12:12	12:42	13:12	13:57	14:27	14:57	15:27	15:57	16:43	17:13	17:43	18:03	18:26	18:59	19:49	20:28	21:08			
香林坊（日銀前）	07:15	07:27	07:32	07:55	-	08:05	07:59	08:15	08:25	08:47	09:48	10:23	10:58	11:28	11:58	12:13	12:43	13:13	13:58	14:28	14:58	15:28	15:58	16:44	17:14	17:44	18:04	18:27	19:00	19:50	20:29	21:09			
南町-B	07:17	07:29	07:34	07:57	-	08:07	08:01	08:17	08:27	08:49	09:50	10:25	11:00	11:30	12:00	12:15	12:45	13:15	14:00	14:30	15:00	15:30	16:00	16:46	17:16	17:46	18:06	18:29	19:02	19:52	20:31	21:11			
武蔵ヶ辻（エムザ前）	07:19	07:31	07:36	07:59	-	08:09	08:03	08:19	08:29	08:51	09:52	10:27	11:02	11:32	12:02	12:17	12:47	13:17	14:02	14:32	15:02	15:32	16:02	16:48	17:18	17:48	18:08	18:31	19:04	19:54	20:33	21:13			
リファーレ前-B	07:21	-	07:38	08:01	-	08:11	-	08:21	08:31	08:53	09:54	10:29	11:04	11:34	12:04	12:19	12:49	13:19	14:04	14:34	15:04	15:34	16:04	16:50	17:20	17:50	18:10	18:33	19:06	19:56	20:35	21:15			
金沢駅【降車場】	07:27	-	07:44	08:09	-	08:19	08:12	08:29	08:39	09:01	10:04	10:39	11:14	11:44	12:14	12:29	12:59	13:29	14:14	14:44	15:16	15:46	16:16	17:03	17:33	18:03	18:23	18:41	19:16	20:06	20:41	21:21			
彦三-A		07:33			-																														
瓢箪町-A		07:34			-																														
小橋町-A		07:35			-																														
森山二丁目（山の上方向）		07:36			-																														
山の上（鳴和方向）		07:38			-																														
春日町（山の上から）		07:41			-																														
桜丘高校前-A		07:43			-																														
鳴和台-C		07:44			-																														
御所町-A		07:45			-																														
星稜高校（駐車場内）		07:50			-																														
金沢西高校-B					07:56																														
市立工業高校東口					07:57																														
県庁前-D					08:00																														
