始発停留所	金沢駅【１】				
始発時間	20:10				
終点時間	22:36				
終点停留所	輪島マリンタウン（降車）				
備考					
兼六園下（石川門向い）					
広坂（金沢２１世紀美術館前）					
香林坊（東横イン前）					
武蔵ヶ辻（めいてつエムザ前）					
金沢駅【１】	20:10				
駅西合庁前（西念南から）	20:16				
県庁前-B	20:19				
向陽台（能登特急線）	20:32				
医大病院-B	20:36				
高松ＳＡ-B	20:54				
西山ＰＡ-B	21:19				
此の木（すしべん向）	-				
此の木（８番ラーメン向）	21:49				
精育園前-A	21:56				
能登空港	22:03				
小泉-A	22:11				
三井駅前-C	22:13				
市ノ瀬（能登特急）	22:19				
輪島駅前【３】	22:26				
輪島漆器会館前-A	22:34				
輪島マリンタウン（降車）	22:36				
