終点停留所	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	若松（若松西から）
備考	学期休み期間のみ運行	学期休み期間、運休				ノンステップバス	ノンステップバス	ノンステップバス			ノンステップバス						ノンステップバス		ノンステップバス			ノンステップバス	ノンステップバス	ノンステップバス	学期休み期間、運休		ノンステップバス		学期休み期間、運休
ノンステップバス	学期休み期間、運休
ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス				ノンステップバス		金曜のみ運行
鈴見台一丁目（田上方向）	07:53	07:51	-	08:06	08:13	08:18			-	-	09:26	-	-	-	-	-	-	-	-	-	-	-	-	13:49	-	-	15:10	-	-	-	16:13	-	16:58	17:18	17:51	18:13	18:58	19:30	19:45	-
鈴見台一丁目（アオキ前）	-	-	-	-	-	-			-	-	-	-	09:45	09:51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
鈴見町-A	-	-	-	-	-	-			-	-	-	-	09:46	09:52	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
鈴見台二丁目（若松方向）	07:54	07:52	-	08:07	08:14	08:19			-	-	09:27	-	-	-	-	-	-	-	-	-	-	-	-	13:50	-	-	15:11	-	-	-	16:14	-	16:59	17:19	17:52	18:14	18:59	19:31	19:46	-
若谷-A	07:55	07:53	-	08:08	08:15	08:20			-	-	09:28	-	-	-	-	-	-	-	-	-	-	-	-	13:51	-	-	15:12	-	-	-	16:15	-	17:00	17:20	17:53	18:15	19:00	19:32	19:47	-
田井町-A	-	-	08:00	-	-	-	08:05	08:25	08:45	09:03	-	09:37	-	-	10:02	10:09	10:12	10:39	11:09	11:39	12:09	12:29	13:24	-	13:59	14:17	-	15:32	15:46	15:59	-	16:30	-	-	-	-	-	-	-	23:45
旭町口-A	-	-	08:01	-	-	-	08:05	08:25	08:46	09:04	-	09:38	-	-	10:03	10:10	10:13	10:40	11:10	11:40	12:10	12:30	13:25	-	14:00	14:18	-	15:33	15:47	16:00	-	16:31	-	-	-	-	-	-	-	23:46
旭町（金大方向）	-	-	08:02	-	-	-	08:06	08:26	08:47	09:05	-	09:39	-	-	10:04	10:11	10:14	10:41	11:11	11:41	12:11	12:31	13:26	-	14:01	14:19	-	15:34	15:48	16:01	-	16:32	-	-	-	-	-	-	-	23:47
若松橋-A	-	-	08:04	-	-	-	08:07	08:27	08:49	09:07	-	09:41	09:47	09:53	10:06	10:13	10:16	10:43	11:13	11:43	12:13	12:33	13:28	-	14:03	14:21	-	15:36	15:50	16:03	-	16:34	-	-	-	-	-	-	-	23:49
若松西-A	-	-	08:05	-	-	-	08:08	08:28	08:50	09:08	-	09:42	09:48	09:54	10:07	10:14	10:17	10:44	11:14	11:44	12:14	12:34	13:29	-	14:04	14:22	-	15:37	15:51	16:04	-	16:35	-	-	-	-	-	-	-	23:50
若松（若松西から）	-	-	08:06	-	-	-	08:09	08:29	08:51	09:09	-	09:43	09:49	09:55	10:08	10:15	10:18	10:45	11:15	11:45	12:15	12:35	13:30	-	14:05	14:23	-	15:38	15:52	16:05	-	16:36	-	-	-	-	-	-	-	23:55
若松（田上方向）	07:56	07:54	-	08:09	08:16	08:21	-	-	-	-	09:29	-	-	-	-	-	-	-	-	-	-	-	-	13:52	-	-	15:13	-	-	-	16:16	-	17:01	17:21	17:54	18:16	19:01	19:33	19:48	
角間新町-A	07:58	07:56	08:08	08:11	08:18	08:23	08:11	08:31	08:53	09:11	09:31	09:45	09:51	09:57	10:10	10:17	10:20	10:47	11:17	11:47	12:17	12:37	13:32	13:54	14:07	14:25	15:15	15:40	15:54	16:07	16:18	16:38	17:03	17:23	17:56	18:18	19:03	19:35	19:50	
金沢大学角間口-A	07:59	07:57	08:09	08:12	08:19	08:24	08:12	08:32	08:54	09:12	09:32	09:46	09:52	09:58	10:11	10:18	10:21	10:48	11:18	11:48	12:18	12:38	13:33	13:55	14:08	14:26	15:16	15:41	15:55	16:08	16:19	16:39	17:04	17:24	17:57	18:19	19:04	19:36	19:51	
金沢大学自然研前	08:00	07:58	08:10	08:13	08:20	08:25	08:13	08:33	08:55	09:13	09:33	09:47	09:53	09:59	10:12	10:19	10:22	10:49	11:19	11:49	12:19	12:39	13:34	13:56	14:09	14:27	15:17	15:42	15:56	16:09	16:20	16:40	17:05	17:25	17:58	18:20	19:05	19:37	19:52	
金沢大学中央-A	08:02	08:00	08:12	08:15	08:22	08:27	08:15	08:35	08:57	09:15	09:35	09:49	09:55	10:01	10:14	10:21	10:24	10:51	11:21	11:51	12:21	12:41	13:36	13:58	14:11	14:29	15:19	15:44	15:58	16:11	16:22	16:42	17:07	17:27	18:00	18:22	19:07	19:39	19:54	
金沢大学-B	08:13	08:10	08:21	08:26	08:33	08:38	08:23	08:43	09:06	09:24	09:46	09:58	10:05	10:11	10:23	10:30	10:33	11:00	11:30	12:00	12:30	12:50	13:45	14:09	14:20	14:38	15:30	15:53	16:07	16:20	16:33	16:51	17:18	17:38	18:11	18:33	19:18	19:50	20:05	
