始発停留所	高尾	兼六園下（石川門）	高尾	高尾	高尾	高尾	金沢工業大学（正門前）	高尾	金沢工業大学（正門前）	高尾	高尾	金沢工業大学（正門前）	高尾	金沢工業大学（正門前）	高尾	高尾	金沢工業大学（正門前）	高尾	金沢工業大学（正門前）	金沢工業大学（正門前）	高尾	金沢工業大学（正門前）	高尾	高尾	高尾	金沢工業大学（正門前）	兼六園下（石川門）			
始発時間	07:05	07:06	07:20	07:50	08:20	08:43	09:14	09:50	10:13	11:07	12:07	12:31	13:12	14:15	15:13	16:10	16:55	17:03	17:37	18:00	18:30	19:04	19:24	20:15	21:02	21:30	22:18			
終点時間	08:07	07:54	07:52	08:58	08:52	09:47	10:14	10:22	11:11	12:07	13:11	13:31	14:12	15:13	16:13	17:08	17:47	18:07	18:39	19:04	19:34	20:06	20:28	21:15	21:55	22:17	22:56			
終点停留所	大野港（始発）	大野	金沢駅【降車場】	からくり記念館	金沢駅【降車場】	大野	大野	金沢駅【降車場】	大野港（始発）	大野	からくり記念館	大野	大野	大野港（始発）	大野	大野港（始発）	金石-A	大野	大野港（始発）	大野	大野	大野港（始発）	大野	大野	大野港（始発）	金石-A	大野			
備考						ノンステップバス	ノンステップバス			ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス			ノンステップバス			ノンステップバス		ノンステップバス				
六枚町（金石方向）	07:35	07:16		08:20		09:13	09:37		10:37	11:32	12:32	12:53	13:39	14:39	15:40	16:37	17:19	17:29	18:00	18:23	18:56	19:27	19:50	20:40	21:25	21:50	22:26			
中橋-A	07:37	07:17		08:22		09:15	09:40		10:40	11:33	12:33	12:54	13:42	14:42	15:43	16:40	17:22	17:30	18:01	18:24	18:57	19:28	19:51	20:41	21:26	21:51	22:27			
長田一丁目-A	07:39	07:19		08:24		09:17	09:41		10:41	11:34	12:34	12:55	13:43	14:43	15:44	16:41	17:23	17:32	18:03	18:26	18:59	19:30	19:53	20:42	21:27	21:52	22:28			
長田町-A	07:40	07:20		08:25		09:18	09:42		10:42	11:35	12:35	12:56	13:44	14:44	15:45	16:42	17:24	17:33	18:04	18:27	19:00	19:31	19:54	20:43	21:28	21:53	22:29			
中央市場口-A	07:41	07:21		08:26		09:19	09:43		10:43	11:36	12:36	12:57	13:45	14:45	15:46	16:43	17:25	17:34	18:05	18:28	19:01	19:32	19:55	20:44	21:29	21:54	22:30			
北町-A	07:43	07:23		08:28		09:21	09:45		10:45	11:38	12:38	12:59	13:47	14:47	15:48	16:45	17:27	17:36	18:07	18:30	19:03	19:34	19:57	20:46	21:31	21:56	22:32			
北町西-A	07:44	07:24		08:29		09:22	09:46		10:46	11:39	12:39	13:00	13:48	14:48	15:49	16:46	17:28	17:37	18:08	18:31	19:04	19:35	19:58	20:47	21:32	21:57	22:33			
藤江-A	07:46	07:26		08:31		09:24	09:48		10:48	11:41	12:41	13:02	13:50	14:50	15:51	16:48	17:30	17:39	18:10	18:33	19:06	19:37	20:00	20:49	21:34	21:59	22:35			
市立工業高校前-A	07:47	07:27		08:32		09:25	09:49		10:49	11:42	12:42	13:03	13:51	14:51	15:52	16:49	17:31	17:40	18:11	18:34	19:07	19:38	20:01	20:50	21:35	22:00	22:36			
畝田-A	07:48	07:28		08:33		09:26	09:50		10:50	11:43	12:43	13:04	13:52	14:52	15:53	16:50	17:32	17:41	18:12	18:35	19:08	19:39	20:02	20:51	21:36	22:01	22:37			
