始発停留所	小立野大学病院前	小立野大学病院前	小立野大学病院前	辰巳丘高校-B	小立野大学病院前	北陸大学薬学部-B	北大太陽が丘-B	北陸大学薬学部-B	小立野大学病院前	北陸大学薬学部-B	小立野大学病院前	辰巳丘高校-B	辰巳丘高校-B	北陸大学薬学部-B	辰巳丘高校-B	小立野大学病院前	北陸大学薬学部-B	辰巳丘高校-B	小立野大学病院前	小立野大学病院前	小立野大学病院前	小立野大学病院前			
野々市車庫-A		-	08:57	09:11			11:02	11:50	12:26	13:50	-	16:27	17:17	17:53	18:27	-	19:28	-	20:21	21:07	21:47	23:02			
太平寺（松任方向）		08:00									-					-		-							
太平寺（白山病院前）		-									15:11					18:01		20:06							
本太平寺-A		-									15:12					18:02		20:07							
位川-A		-									15:13					18:03		20:08							
稲荷-A		08:02									-					-		-							
明倫高校前（稲荷から）		08:05									-					-		-							
下林-A		08:08									15:14					18:04		20:09							
藤平-A		08:10									15:16					18:06		20:11							
野々市スポーツランド前-B		08:11									15:17					18:07		20:12							
中林-A		-									15:18					18:08		20:13							
中林-B		08:12									-					-		-							
上林-A		-									15:19					18:09		20:14							
県立大学前		08:13									-					-		-							
末松		08:15									-					-		-							
西上林-B		-									15:20					18:10		20:15							
西上林-D		08:17									-					-		-							
百々鶴荘前-A		08:19									15:22					18:12		20:17							
富光寺住宅前		08:28									15:35					18:25		20:27							
