始発停留所	柳橋（始発）	柳橋（始発）	木越住宅（始発）	木越住宅（始発）	柳橋（始発）	柳橋（始発）	木越住宅（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	木越住宅（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	木越住宅（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	木越住宅（始発）	柳橋（始発）	柳橋（始発）	木越住宅（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	木越住宅（始発）	柳橋（始発）	柳橋（始発）				
始発時間	06:27	07:00	07:26	08:03	08:34	09:07	09:37	10:05	10:30	10:50	11:25	11:40	12:20	12:51	13:31	13:50	13:51	14:28	14:48	15:28	15:30	16:04	16:43	16:47	17:25	17:45	18:17	18:50	19:00	19:45	20:50				
終点時間	07:02	07:35	08:15	08:52	09:09	09:45	10:29	10:43	11:08	11:28	12:03	12:32	12:58	13:29	14:09	14:42	14:29	15:09	15:29	16:09	16:25	16:45	17:24	17:42	18:06	18:26	18:55	19:26	19:49	20:21	21:26				
終点停留所	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D				
備考								ノンステップバス						ノンステップバス		ノンステップバス			ノンステップバス					ノンステップバス		ノンステップバス		ノンステップバス							
本津幡駅-B																																			
庄本町通り-B																																			
庄町商店街-B																																			
パピィ・１通り-B																																			
津幡中央-B																																			
北中条-B																																			
津幡駅前-B																																			
新太田-B																																			
利屋町（新道）																																			
岸川（新道）																																			
八幡-B																																			
今町（新道）																																			
観法寺-B																																			
南森本-B																																			
森本駅前-B																																			
百坂-B																																			
木越住宅（始発）			07:26	08:03			09:37					11:40				13:50					15:30			16:47					19:00						
木越住宅（市内方向）			07:26	08:03			09:37					11:40				13:50					15:30			16:47					19:00						
みずき団地口-B			07:27	08:04			09:38					11:41				13:51					15:31			16:48					19:01						
福久-B			07:28	08:05			09:39					11:42				13:52					15:32			16:49					19:02						
福久南-C			07:30	08:07			09:41					11:44				13:54					15:34			16:51					19:04						
荒屋-B			07:31	08:08			09:42					11:45				13:55					15:35			16:52					19:05						
金市-A			07:32	08:09			09:43					11:46				13:56					15:36			16:53					19:06						
金市団地-A			07:33	08:10			09:44					11:47				13:57					15:37			16:54					19:07						
横枕-A			07:34	08:11			09:45					11:48				13:58					15:38			16:55					19:08						
