始発停留所	松波城址公園口-B	珠洲市総合病院前-A			
始発時間	08:45	12:51			
終点時間	10:13	14:53			
終点停留所	穴水総合病院-B	穴水総合病院-B			
備考					
珠洲市総合病院前-A		12:51			
飯田高校下		12:53			
飯田栄町北-C		12:55			
飯田栄町		12:56			
吾妻橋-B		12:57			
能登飯田-A		12:58			
南町-A		13:00			
北方-B		13:02			
善慶寺前-A		13:03			
上戸農協前-A		13:04			
竹中橋-A		13:06			
谷崎-B		13:07			
盤若橋-B		13:08			
春日野-A		13:09			
鵜飼本町-B		13:10			
鵜飼駅前		13:11			
南鵜飼		13:13			
宝立小学校前-B		13:14			
黒丸		13:16			
船橋		13:17			
本鵜島		13:18			
宗玄		13:19			
恋路浜-B		13:20			
南恋路-B		13:22			
技術専門校前-B		13:24			
松波城址公園口-B	08:45	13:25			
松波本町-B	08:46	13:26			
西松波	08:47	13:27			
能登上	08:49	13:29			
内浦サンケン前	08:50	13:30			
宮犬	08:52	13:32			
能登不動寺-B	08:54	13:34			
時長	08:57	13:37			
能登山中	08:59	13:39			
十八束	09:01	13:41			
山分	09:05	13:45			
宇出津病院前-A	09:06	13:46			
宇出津駅前-A	09:07	13:52			
宇出津病院前-B	09:08	13:53			
能登田町-B	09:09	13:54			
辺田の浜-B	-	13:55			
崎山-B	09:10	-			
能登高校南	09:12	-			
藤波駅口	09:13	13:56			
健民テニスコート前	09:14	13:57			
能登間島-B	09:15	13:58			
波並駅前-B	09:17	14:00			
三波	09:18	14:01			
矢波弁天-B	09:20	14:03			
能登七見	09:21	14:04			
能登桜木	09:22	14:05			
鵜川口-B	09:23	14:06			
鵜川駅前-D	-	14:07			
鵜川駅前-B	09:24	-			
小垣	09:25	14:08			
谷屋	09:27	14:10			
神道	09:28	14:11			
柿生	09:29	14:12			
八乃田	09:30	14:13			
町	09:31	14:14			
能登瑞穂-B	09:32	14:15			
木住	09:33	14:16			
能登本木	09:35	14:18			
高内畠	09:37	14:20			
上曽山-B	09:41	14:24			
下曽山	09:42	14:25			
比良	09:47	14:30			
比良農協前-B	09:48	14:31			
西比良-B	09:49	14:32			
中居南口-B	09:51	14:34			
中居北口-B	09:52	14:35			
下出-B	09:53	14:36			
麦ヶ浦-B	09:55	14:38			
北七海-B	09:56	14:39			
穴水高校口-B	09:59	14:42			
城山住宅前-B	10:00	14:43			
東町-B	-	14:45			
大町東-B	10:03	-			
穴水小学校前-B	10:05	-			
穴水駅前-D	10:07	14:47			
大町-A	10:09	14:49			
大島町-A	10:10	14:50			
栄町-C	10:11	14:51			
穴水総合病院-B	10:13	14:53			
