終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	小将町-B	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】
備考			ノンステップバス		ノンステップバス		ノンステップバス				ノンステップバス	ノンステップバス			学期休み期間、運休	ノンステップバス	ノンステップバス	ノンステップバス	学期休み期間、運休	学期休み期間、運休
ノンステップバス		ノンステップバス	学期休み期間、運休	ノンステップバス	学期休み期間、運休
ノンステップバス				ノンステップバス	ノンステップバス	ノンステップバス					ノンステップバス				ノンステップバス
若谷-B	08:21	08:37	-	09:01	-	-	10:06	-	10:43	-	-	-	-	-	-	-	-	14:21	-	-	-	15:43	-	16:28	-	16:38	-	-	17:41	-	18:18	-	18:38	18:46	-	20:03	-	-	-	-
鈴見台二丁目（若松から）	08:22	08:38	-	09:02	-	-	10:07	-	10:44	-	-	-	-	-	-	-	-	14:22	-	-	-	15:44	-	16:29	-	16:39	-	-	17:42	-	18:19	-	18:39	18:47	-	20:04	-	-	-	-
鈴見台一丁目（田上から）	08:23	08:39	-	09:03	-	-	10:08	-	10:45	-	-	-	-	-	-	-	-	14:23	-	-	-	15:45	-	16:30	-	16:40	-	-	17:43	-	18:20	-	18:40	18:48	-	20:05	-	-	-	-
鈴見台一丁目（アオキ向）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17:06	-	-	-	-	-	-	-	-	-	-	-	-
桜町-B	08:24	08:40	08:55	09:04	09:18	09:40	10:09	10:27	10:46	10:52	11:12	11:52	12:27	12:47	13:07	13:22	14:02	14:24	14:50	14:55	15:15	15:46	16:22	16:31	16:37	16:41	16:50	17:08	17:44	17:52	18:21	18:32	18:41	18:49	19:52	20:06	20:22	21:12	21:52	22:14
暁町-B	08:25	08:41	08:56	09:05	09:19	09:41	10:10	10:28	10:47	10:53	11:13	11:53	12:28	12:48	13:08	13:23	14:03	14:25	14:51	14:56	15:16	15:47	16:23	16:32	16:38	16:42	16:51	17:09	17:45	17:53	18:22	18:33	18:42	18:50	19:53	20:07	20:23	21:13	21:53	22:15
横山町-B	08:26	08:42	08:57	09:06	09:20	09:42	10:11	10:29	10:48	10:54	11:14	11:54	12:29	12:49	13:09	13:24	14:04	14:26	14:52	14:57	15:17	15:48	16:24	16:33	16:39	16:43	16:52	17:10	17:46	17:54	18:23	18:34	18:43	18:51	19:54	20:08	20:24	21:14	21:54	22:16
小将町-B	08:27	08:43	08:58	09:07	09:21	09:43	10:12	10:30	10:49	10:55	11:15	11:55	12:30	12:50	13:10	13:25	14:05	14:27	14:53	14:58	15:18	15:49	16:32	16:34	16:40	16:44	16:53	17:11	17:47	17:55	18:24	18:35	18:44	18:52	19:55	20:09	20:25	21:15	21:55	22:17
兼六園下（石川門）	08:28	08:44	08:59	09:08	09:22	09:44	10:13	10:31	10:50	10:56	11:16	11:56	12:31	12:51	13:11	13:26	14:06	14:28	14:54	14:59	15:19	15:50		16:35	16:41	16:45	16:54	17:12	17:48	17:56	18:25	18:36	18:45	18:53	19:56	20:10	20:26	21:16	21:56	22:18
広坂（金沢２１世紀美術館前）	08:32	08:48	09:02	09:12	09:25	09:47	10:17	10:34	10:54	10:59	11:19	11:59	12:34	12:54	13:14	13:29	14:09	14:32	14:57	15:02	15:22	15:54		16:39	16:44	16:49	16:57	17:14	17:52	17:59	18:29	18:39	18:49	18:57	19:59	20:14	20:29	21:19	21:59	22:21
香林坊（日銀前）	08:34	08:50	09:03	09:14	09:26	09:48	10:19	10:35	10:56	11:00	11:20	12:00	12:35	12:55	13:15	13:30	14:10	14:34	14:58	15:03	15:23	15:56		16:41	16:45	16:51	16:58	17:15	17:54	18:00	18:31	18:40	18:51	18:59	20:00	20:16	20:30	21:20	22:00	22:22
南町-B	08:38	08:54	09:07	09:18	09:29	09:51	10:23	10:39	11:00	11:04	11:24	12:04	12:39	12:59	13:19	13:34	14:14	14:38	15:01	15:06	15:27	16:00		16:45	16:49	16:55	17:02	17:18	17:58	18:04	18:35	18:44	18:55	19:03	20:04	20:20	20:33	21:23	22:03	22:25
武蔵ヶ辻（エムザ前）	08:39	08:55	09:08	09:19	09:30	09:52	10:24	10:40	11:01	11:05	11:25	12:05	12:40	13:00	13:20	13:35	14:15	14:39	15:02	15:07	15:28	16:01		16:46	16:50	16:56	17:03	17:20	17:59	18:05	18:36	18:45	18:56	19:04	20:05	20:21	20:34	21:24	22:04	22:26
リファーレ前-B	08:41	08:57	09:10	09:21	09:32	09:54	10:26	10:42	11:03	11:07	11:27	12:07	12:42	13:02	13:22	13:37	14:17	14:41	15:04	15:09	15:30	16:03		16:48	16:52	16:58	17:05	17:22	18:01	18:07	18:38	18:47	18:58	19:06	20:07	20:23	20:36	21:26	22:06	22:28
金沢駅【降車場】	08:49	09:05	09:19	09:29	09:42	10:04	10:34	10:53	11:13	11:18	11:38	12:18	12:53	13:13	13:33	13:48	14:28	14:51	15:16	15:21	15:41	16:13		16:58	17:03	17:08	17:16	17:33	18:11	18:18	18:48	18:58	19:08	19:16	20:18	20:33	20:48	21:38	22:18	22:40
