始発停留所	大野港（始発）	大野	大野港（始発）	大野	大野	大野港（始発）	金石-A	大野港（始発）	大野	からくり記念館	大野	大野港（始発）	大野	大野港（始発）	大野	からくり記念館	大野	大野	大野港（始発）	大野	大野	大野	大野港（始発）	大野港（始発）	大野	大野港（始発）	大野			
始発時間	06:39	07:02	07:24	07:42	08:07	08:24	08:50	08:54	09:22	09:50	10:22	10:54	11:22	11:54	12:22	12:57	13:32	14:07	14:44	15:15	15:52	16:27	16:59	17:29	18:02	18:49	19:27			
終点時間	07:24	07:57	08:17	08:37	09:02	09:17	09:37	09:47	10:22	10:54	11:22	11:52	12:22	12:52	13:22	14:01	14:32	15:07	15:42	16:15	16:52	17:27	17:57	18:27	19:02	19:47	20:22			
終点停留所	兼六園下（北鉄車庫前）	高尾	高尾	金沢工業大学-A	高尾	高尾	高尾	金沢工業大学-A	高尾	高尾	金沢工業大学-A	金沢工業大学-A	高尾	高尾	金沢工業大学-A	金沢工業大学-A	高尾	高尾	金沢工業大学-A	高尾	高尾	高尾	金沢工業大学-A	高尾	金沢工業大学-A	金沢工業大学-A	高尾			
備考		ノンステップバス	ノンステップバス		ノンステップバス				ノンステップバス		ノンステップバス	ノンステップバス					ノンステップバス		ノンステップバス			ノンステップバス					ノンステップバス			
香林坊（中央公園前）	07:13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
広坂（しいのき迎賓館前）	07:14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
兼六園下（北鉄車庫前）	07:24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
兼六園下（県駐車場前）		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
片町（パシオン前）		07:34	07:54	08:14	08:39	08:54	09:14	09:24	09:56	10:26	10:56	11:26	11:56	12:26	12:56	13:33	14:06	14:41	15:16	15:49	16:26	17:01	17:31	18:01	18:36	19:21	19:59			
広小路（有松方向）		07:35	07:55	08:15	08:40	08:55	09:15	09:25	09:59	10:29	10:59	11:29	11:59	12:29	12:59	13:36	14:09	14:44	15:19	15:52	16:29	17:04	17:34	18:04	18:39	19:24	20:00			
広小路（平和町方向）		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
野町-A		07:36	07:56	08:16	08:41	08:56	09:16	09:26	10:01	10:31	11:01	11:31	12:01	12:31	13:01	13:38	14:11	14:46	15:21	15:54	16:31	17:06	17:36	18:06	18:41	19:26	20:01			
泉一丁目-A		07:37	07:57	08:17	08:42	08:57	09:17	09:27	10:02	10:32	11:02	11:32	12:02	12:32	13:02	13:39	14:12	14:47	15:22	15:55	16:32	17:07	17:37	18:07	18:42	19:27	20:02			
泉二丁目-A		07:39	07:59	08:19	08:44	08:59	09:19	09:29	10:04	10:34	11:04	11:34	12:04	12:34	13:04	13:41	14:14	14:49	15:24	15:57	16:34	17:09	17:39	18:09	18:44	19:29	20:04			
有松（郵便局前）		07:41	08:01	08:21	08:46	09:01	09:21	09:31	10:06	10:36	11:06	11:36	12:06	12:36	13:06	13:43	14:16	14:51	15:26	15:59	16:36	17:11	17:41	18:11	18:46	19:31	20:06			
有松（泉が丘方向）		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
二万堂-A		07:42	08:02	08:22	08:47	09:02	09:22	09:32	10:07	10:37	11:07	11:37	12:07	12:37	13:07	13:44	14:17	14:52	15:27	16:00	16:37	17:12	17:42	18:12	18:47	19:32	20:07			
久安五丁目		07:43	08:03	08:23	08:48	09:03	09:23	09:33	10:08	10:38	11:08	11:38	12:08	12:38	13:08	13:45	14:18	14:53	15:28	16:01	16:38	17:13	17:43	18:13	18:48	19:33	20:08			
