始発停留所	金沢駅【１】	金沢駅【１】	金沢駅【１】	金沢駅【１】	金沢駅【１】	金沢駅【１】				
始発時間	10:10	12:30	14:30	15:15	16:25	17:45				
終点時間	12:43	14:24	17:11	17:56	19:06	19:39				
終点停留所	門前-B	富来-D	門前-B	門前-B	門前-B	富来-D				
備考										
金沢駅【１】	10:10	12:30	14:30	15:15	16:25	17:45				
駅西合庁前（西念南から）	10:16	12:36	14:36	15:21	16:31	17:51				
県庁前-B	10:19	12:39	14:39	15:24	16:34	17:54				
向陽台（能登特急線）	10:32	12:52	14:52	15:37	16:47	18:07				
医大病院-B	10:36	12:56	14:56	15:41	16:51	18:11				
高松ＳＡ-B	10:53	13:13	15:13	15:58	17:08	18:28				
千里浜レストハウス	-	-	-	-	-	-				
羽咋中学校前-B	11:05	13:25	15:25	16:10	17:20	18:40				
羽咋駅前-A	11:08	13:28	15:28	16:13	17:23	18:43				
羽咋中央-A	11:12	13:32	15:32	16:17	17:27	18:47				
工業高校前-A	11:14	13:34	15:34	16:19	17:29	18:49				
一の宮-A	11:17	13:37	15:37	16:22	17:32	18:52				
柴垣-A	11:23	13:43	15:43	16:28	17:38	18:58				
大島-A	11:28	13:48	15:48	16:33	17:43	19:03				
高浜-D	11:33	13:53	15:53	16:38	17:48	19:08				
末吉-A	11:35	13:55	15:55	16:40	17:50	19:10				
堀松南-A	11:37	13:57	15:57	16:42	17:52	19:12				
米町-A	11:42	14:02	16:02	16:47	17:57	19:17				
直海-A	11:45	14:05	16:05	16:50	18:00	19:20				
三明-A	11:48	14:08	16:08	16:53	18:03	19:23				
荒屋-A	11:51	14:11	16:11	16:56	18:06	19:26				
富来-D	12:03	14:24	16:26	17:11	18:21	19:39				
領家口-A	12:05		16:28	17:13	18:23					
富来農協前-A	12:06		16:29	17:14	18:24					
中浜-C	12:09		16:32	17:17	18:27					
草江-A	12:11		16:34	17:19	18:29					
稲敷-A	12:12		16:35	17:20	18:30					
栢木-A	12:13		16:36	17:21	18:31					
西大福寺	12:14		16:37	17:22	18:32					
大福寺-A	12:15		16:38	17:23	18:33					
剱地-A	12:24		16:47	17:32	18:42					
腰細-B	12:26		16:49	17:34	18:44					
赤神（新）-C	12:28		16:51	17:36	18:46					
池田-A	12:30		16:53	17:38	18:48					
北川-A	12:31		16:54	17:39	18:49					
南黒島-A	12:33		16:56	17:41	18:51					
黒島-A	12:34		16:57	17:42	18:52					
新道道下	12:36		16:59	17:44	18:54					
総持寺前-A	12:39		17:03	17:48	18:58					
門前-B	12:43		17:11	17:56	19:06					
