始発停留所	山島台四丁目-B	南四十万二丁目	南部車庫（車庫内）	山島台四丁目-B	南四十万二丁目	南部車庫（車庫内）	南部車庫（車庫内）	南四十万二丁目	南部車庫（車庫内）	南四十万二丁目	南部車庫（車庫内）	南部車庫（車庫内）	山島台四丁目-B	南四十万二丁目	山島台四丁目-B	南部車庫（車庫内）	南四十万二丁目	南部車庫（車庫内）	南部車庫（車庫内）	南四十万二丁目	南部車庫（車庫内）	南部車庫（車庫内）	南四十万二丁目	南部車庫（車庫内）	南部車庫（車庫内）	南四十万二丁目				
始発時間	07:33	08:07	08:13	08:38	09:14	09:43	10:13	10:48	11:13	11:43	12:13	12:43	13:08	13:47	14:08	14:43	15:17	15:48	16:18	16:47	17:23	18:00	18:42	19:18	20:05	20:52				
終点時間	08:38	09:03	09:13	09:43	10:15	10:48	11:18	11:49	12:18	12:44	13:18	13:48	14:18	14:48	15:18	15:48	16:18	16:53	17:23	17:48	18:28	19:05	19:43	20:18	21:05	21:48				
終点停留所	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A				
備考					ノンステップバス			ノンステップバス			ノンステップバス											ノンステップバス		ノンステップバス		ノンステップバス				
南四十万-B	-	08:07	-	-	09:14	-	-	10:48	-	11:43	-	-	-	13:47	-	-	15:17	-	-	16:47	-	-	18:42	-	-	20:52				
中四十万（南四十万から）	-	08:09	-	-	09:16	-	-	10:50	-	11:45	-	-	-	13:49	-	-	15:19	-	-	16:49	-	-	18:44	-	-	20:54				
中四十万（南部車庫から）	07:44	-	08:19	08:49	-	09:49	10:19	-	11:19	-	12:19	12:49	13:19	-	14:19	14:49	-	15:54	16:24	-	17:29	18:06	-	19:24	20:11	-				
四十万-B	07:45	08:10	08:20	08:50	09:17	09:50	10:20	10:51	11:20	11:46	12:20	12:50	13:20	13:50	14:20	14:50	15:20	15:55	16:25	16:50	17:30	18:07	18:45	19:25	20:12	20:55				
しじま台-B	07:46	08:11	08:21	08:51	09:18	09:51	10:21	10:52	11:21	11:47	12:21	12:51	13:21	13:51	14:21	14:51	15:21	15:56	16:26	16:51	17:31	18:08	18:46	19:26	20:13	20:56				
額中学校前-B	07:46	08:11	08:21	08:51	09:18	09:51	10:21	10:52	11:21	11:47	12:21	12:51	13:21	13:51	14:21	14:51	15:21	15:56	16:26	16:51	17:31	18:08	18:46	19:26	20:13	20:56				
鶴寿園	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
額谷一丁目-B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
大額三丁目-B	07:47	08:12	08:22	08:52	09:19	09:52	10:22	10:53	11:22	11:48	12:22	12:52	13:22	13:52	14:22	14:52	15:22	15:57	16:27	16:52	17:32	18:09	18:47	19:27	20:14	20:57				
大額二丁目-B	07:48	08:13	08:23	08:53	09:20	09:53	10:23	10:54	11:23	11:49	12:23	12:53	13:23	13:53	14:23	14:53	15:23	15:58	16:28	16:53	17:33	18:10	18:48	19:28	20:15	20:58				
