始発停留所	七尾駅前【２】	七尾駅前【２】			
始発時間	11:50	17:30			
終点時間	12:14	17:54			
終点停留所	七尾駅前【１】	七尾駅前【１】			
備考					
七尾駅前【２】	11:50	17:30			
川原町-B	11:52	17:32			
本府中ＪＡ前	11:53	17:33			
本府中町	11:54	17:34			
矢田ふれあいセンター口	11:55	17:35			
矢田町	11:56	17:36			
テニスコート口	11:57	17:37			
緑ヶ丘ヒロコノ池前	11:58	17:38			
緑ヶ丘住宅南	11:59	17:39			
緑ヶ丘住宅	12:00	17:40			
八幡神社前-B	12:01	17:41			
希望の丘公園口-B	12:02	17:42			
万行-B	12:03	17:43			
万行神社前-B	12:05	17:45			
報国町-A	12:06	17:46			
万行浜通り-B	12:07	17:47			
矢田新東-B	12:08	17:48			
矢田新中央-B	12:09	17:49			
湊町口-B	12:10	17:50			
郡町-B	12:11	17:51			
川原町-D	12:12	17:52			
七尾駅前【ミナ．クル前降車場】	12:13	17:53			
七尾駅前【１】	12:14	17:54			
