終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	映寿会みらい病院	金沢駅【降車場】	金沢駅【降車場】	県庁前-D	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】				
備考			ノンステップバス						ノンステップバス				ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス		ノンステップバス			ノンステップバス	ノンステップバス		ノンステップバス					ノンステップバス	ノンステップバス	ノンステップバス		ノンステップバス	ノンステップバス		ノンステップバス				学期休み期間、運休
ノンステップバス	学期休み期間のみ運行			学期休み期間、運休	学期休み期間のみ運行	ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス	学期休み期間、運休	学期休み期間のみ運行				ノンステップバス	学期休み期間、運休	学期休み期間のみ運行	ノンステップバス	ノンステップバス	ノンステップバス					ノンステップバス								
金沢学院大学（花里方向）																											11:15						12:45		13:15						14:45			15:15	15:30		15:45					16:35		16:45		17:15		17:45				18:30						20:15							
末-B	06:21	06:31	06:41	06:51	07:01	07:11	07:16	07:21	07:26	07:36	07:43	07:51	08:01	08:11	08:26	08:36	08:51	09:06	09:21	09:36	09:51	10:06	10:21	10:36	10:51	11:06	11:21	11:36	11:51	12:06	12:21	12:36	12:51	13:06	13:21	13:36	13:51	14:06	14:21	14:36	14:51	14:51	15:06	15:21	15:36	15:36	15:51	16:01	16:11	16:21	16:31	16:41	16:41	16:51	17:06	17:21	17:36	17:51	17:51	18:06	18:21	18:36	18:51	19:06	19:21	19:41	20:01	20:21	20:41	21:01	21:31				
永安町（花里方向）	06:22	06:32	06:42	06:52	07:02	07:12	07:17	07:22	07:27	07:37	07:44	07:52	08:02	08:12	08:27	08:37	08:52	09:07	09:22	09:37	09:52	10:07	10:22	10:37	10:52	11:07	11:22	11:37	11:52	12:07	12:22	12:37	12:52	13:07	13:22	13:37	13:52	14:07	14:22	14:37	14:52	14:52	15:07	15:22	15:37	15:37	15:52	16:02	16:12	16:22	16:32	16:42	16:42	16:52	17:07	17:22	17:37	17:52	17:52	18:07	18:22	18:37	18:52	19:07	19:22	19:42	20:02	20:22	20:42	21:02	21:32				
大道割-B	06:23	06:33	06:43	06:53	07:03	07:13	07:18	07:23	07:28	07:38	07:45	07:53	08:03	08:13	08:28	08:38	08:53	09:08	09:23	09:38	09:53	10:08	10:23	10:38	10:53	11:08	11:23	11:38	11:53	12:08	12:23	12:38	12:53	13:08	13:23	13:38	13:53	14:08	14:23	14:38	14:53	14:53	15:08	15:23	15:38	15:38	15:53	16:03	16:13	16:23	16:33	16:43	16:43	16:53	17:08	17:23	17:38	17:53	17:53	18:08	18:23	18:38	18:53	19:08	19:23	19:43	20:03	20:23	20:43	21:03	21:33				
涌波一丁目-B	06:25	06:35	06:45	06:55	07:05	07:15	07:20	07:25	07:30	07:40	07:47	07:55	08:05	08:15	08:30	08:40	08:55	09:10	09:25	09:40	09:55	10:10	10:25	10:40	10:55	11:10	11:25	11:40	11:55	12:10	12:25	12:40	12:55	13:10	13:25	13:40	13:55	14:10	14:25	14:40	14:55	14:55	15:10	15:25	15:40	15:40	15:55	16:05	16:15	16:25	16:35	16:45	16:45	16:55	17:10	17:25	17:40	17:55	17:55	18:10	18:25	18:40	18:55	19:10	19:25	19:44	20:04	20:24	20:44	21:04	21:34				
涌波二丁目-B	06:26	06:36	06:46	06:56	07:06	07:16	07:21	07:26	07:31	07:41	07:48	07:56	08:06	08:16	08:31	08:41	08:56	09:11	09:26	09:41	09:56	10:11	10:26	10:41	10:56	11:11	11:26	11:41	11:56	12:11	12:26	12:41	12:56	13:11	13:26	13:41	13:56	14:11	14:26	14:41	14:56	14:56	15:11	15:26	15:41	15:41	15:56	16:06	16:16	16:26	16:36	16:46	16:46	16:56	17:11	17:26	17:41	17:56	17:56	18:11	18:26	18:41	18:56	19:11	19:26	19:45	20:05	20:25	20:45	21:05	21:35				
涌波三丁目-B	06:27	06:37	06:47	06:57	07:07	07:17	07:22	07:27	07:32	07:42	07:49	07:57	08:07	08:17	08:32	08:42	08:57	09:12	09:27	09:42	09:57	10:12	10:27	10:42	10:57	11:12	11:27	11:42	11:57	12:12	12:27	12:42	12:57	13:12	13:27	13:42	13:57	14:12	14:27	14:42	14:57	14:57	15:12	15:27	15:42	15:42	15:57	16:07	16:17	16:27	16:37	16:47	16:47	16:57	17:12	17:27	17:42	17:57	17:57	18:12	18:27	18:42	18:57	19:12	19:27	19:46	20:06	20:26	20:46	21:06	21:36				
花里住宅-B	06:28	06:38	06:48	06:58	07:08	07:18	07:23	07:28	07:33	07:43	07:50	07:58	08:08	08:18	08:33	08:43	08:58	09:13	09:28	09:43	09:58	10:13	10:28	10:43	10:58	11:13	11:28	11:43	11:58	12:13	12:28	12:43	12:58	13:13	13:28	13:43	13:58	14:13	14:28	14:43	14:58	14:58	15:13	15:28	15:43	15:43	15:58	16:08	16:18	16:28	16:38	16:48	16:48	16:58	17:13	17:28	17:43	17:58	17:58	18:13	18:28	18:43	18:58	19:13	19:28	19:47	20:07	20:27	20:47	21:07	21:37				
三口新町-B	06:29	06:39	06:49	06:59	07:09	07:19	07:24	07:29	07:34	07:44	07:51	07:59	08:09	08:19	08:34	08:44	08:59	09:14	09:29	09:44	09:59	10:14	10:29	10:44	10:59	11:14	11:29	11:44	11:59	12:14	12:29	12:44	12:59	13:14	13:29	13:44	13:59	14:14	14:29	14:44	14:59	14:59	15:14	15:29	15:44	15:44	15:59	16:09	16:19	16:29	16:39	16:49	16:49	16:59	17:14	17:29	17:44	17:59	17:59	18:14	18:29	18:44	18:59	19:14	19:29	19:48	20:08	20:28	20:48	21:08	21:38				
赤坂-B	06:30	06:40	06:50	07:00	07:10	07:20	07:25	07:30	07:35	07:45	07:52	08:00	08:10	08:20	08:35	08:45	09:00	09:15	09:30	09:45	10:00	10:15	10:30	10:45	11:00	11:15	11:30	11:45	12:00	12:15	12:30	12:45	13:00	13:15	13:30	13:45	14:00	14:15	14:30	14:45	15:00	15:00	15:15	15:30	15:45	15:45	16:00	16:10	16:20	16:30	16:40	16:50	16:50	17:00	17:15	17:30	17:45	18:00	18:00	18:15	18:30	18:45	19:00	19:15	19:30	19:49	20:09	20:29	20:49	21:09	21:39				
笠舞一丁目-B	06:31	06:41	06:51	07:01	07:11	07:21	07:26	07:31	07:36	07:46	07:53	08:01	08:11	08:21	08:36	08:46	09:01	09:16	09:31	09:46	10:01	10:16	10:31	10:46	11:01	11:16	11:31	11:46	12:01	12:16	12:31	12:46	13:01	13:16	13:31	13:46	14:01	14:16	14:31	14:46	15:01	15:01	15:16	15:31	15:46	15:46	16:01	16:11	16:21	16:31	16:41	16:51	16:51	17:01	17:16	17:31	17:46	18:01	18:01	18:16	18:31	18:46	19:01	19:16	19:31	19:50	20:10	20:30	20:50	21:10	21:40				
