終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	兼六園下（北鉄車庫前）	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	香林坊（日銀前）	香林坊（日銀前）	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	香林坊（日銀前）	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】
備考					学期休み期間、運休					学期休み期間、運休	学期休み期間、運休	学期休み期間のみ運行		学期休み期間、運休				学期休み期間、運休	学期休み期間、運休		学期休み期間、運休	学期休み期間のみ運行							学期休み期間のみ運行	学期休み期間、運休		ノンステップバス	学期休み期間のみ運行	学期休み期間、運休	
錦町（Ｋマート）	07:11	07:31	08:02	09:01	09:11	09:33	10:11	10:21	11:09	11:41	12:19	12:14	13:09	13:36	14:14	14:56	15:24	15:23	15:41	15:59	16:21	16:16	16:36	17:03	17:13	17:37	17:28	17:56	18:31	18:44	19:06	19:31	20:04	20:17	21:04
小立野一丁目-B	07:12	07:32	08:03	09:02	09:12	09:34	10:12	10:22	11:10	11:42	12:20	12:15	13:10	13:37	14:15	14:57	15:25	15:24	15:42	16:00	16:22	16:17	16:37	17:04	17:14	17:38	17:29	17:57	18:32	18:45	19:07	19:32	20:05	20:18	21:05
崎浦公民館-B	07:13	07:33	08:04	09:03	09:13	09:35	10:13	10:23	11:11	11:43	12:21	12:16	13:11	13:38	14:16	14:58	15:26	15:25	15:43	16:01	16:23	16:18	16:38	17:05	17:15	17:39	17:30	17:58	18:33	18:46	19:08	19:33	20:06	20:19	21:06
小立野三丁目-B	07:14	07:34	08:05	09:04	09:14	09:36	10:14	10:24	11:12	11:44	12:22	12:17	13:12	13:39	14:17	14:59	15:27	15:26	15:44	16:02	16:24	16:19	16:39	17:06	17:16	17:40	17:31	17:59	18:34	18:47	19:09	19:34	20:07	20:20	21:07
天徳院前-B	07:15	07:35	08:06	09:05	09:15	09:37	10:15	10:25	11:13	11:45	12:23	12:18	13:13	13:40	14:18	15:00	15:28	15:27	15:45	16:03	16:25	16:20	16:40	17:07	17:17	17:41	17:32	18:00	18:35	18:48	19:10	19:35	20:08	20:21	21:08
小立野-B	07:16	07:36	08:07	09:06	09:16	09:38	10:16	10:26	11:14	11:46	12:24	12:19	13:14	13:41	14:19	15:01	15:29	15:28	15:46	16:04	16:26	16:21	16:41	17:08	17:18	17:42	17:33	18:01	18:36	18:49	19:11	19:36	20:09	20:22	21:09
石引町-B	07:17	07:37	08:08	09:07	09:17	09:39	10:17	10:27	11:15	11:47	12:25	12:20	13:15	13:42	14:20	15:02	15:30	15:29	15:47	16:05	16:27	16:22	16:42	17:09	17:19	17:43	17:34	18:02	18:37	18:50	19:12	19:37	20:10	20:23	21:10
出羽町-B	07:18	07:38	08:09	09:08	09:18	09:40	10:18	10:28	11:16	11:48	12:26	12:21	13:16	13:43	14:21	15:03	15:31	15:30	15:48	16:06	16:28	16:23	16:43	17:10	17:20	17:44	17:35	18:03	18:38	18:51	19:13	19:38	20:11	20:24	21:11
兼六園下（物産館前）	07:21	07:41	08:12	09:11	09:20	09:42	10:20	10:30	11:19	11:51	12:29	12:23	13:18	-	14:23	15:06	15:34	15:33	15:51	16:09	16:31	16:25	16:46	17:13	17:23	17:47	17:38	18:06	18:41	18:54	19:16	19:40	20:13	20:27	21:13
兼六園下（石川門）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15:51	16:09	-	-	-	-	-	-	-	-	-	-	19:16	-	-	-	-
兼六園下（北鉄車庫前）	-	-	-	-	-	-	-	-	-	-	-	-	-	13:51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
橋場町（金城楼向）	07:23	07:43	08:14	09:13	09:22	09:44	10:22	10:32	11:21	11:53	12:31	12:25	13:20		14:25	15:08	15:36	15:35	-	-	16:33	16:27	16:48	17:15	17:25	17:49	17:40	18:08	18:43	18:56	-	19:42	20:15	20:29	21:15
尾張町-B	07:24	07:44	08:15	09:14	09:23	09:45	10:23	10:33	11:22	11:54	12:32	12:26	13:21		14:26	15:09	15:37	15:36	-	-	16:34	16:28	16:49	17:16	17:26	17:50	17:41	18:09	18:44	18:57	-	19:43	20:16	20:30	21:16
武蔵ヶ辻（スカイ前）	07:26	07:46	08:17	09:16	09:25	09:47	10:25	10:35	11:24	11:56	12:34	12:28	13:23		14:28	15:11	15:39	15:38	-	-	16:36	16:30	16:51	17:18	17:28	17:52	17:43	18:11	18:46	18:59	-	19:45	20:18	20:32	21:18
六枚町（金沢駅ゆき）	07:29	07:49	08:20	09:19	09:28	09:50	10:28	10:38	11:27	11:59	12:37	12:31	13:26		14:31	15:14	15:42	15:41	-	-	16:39	16:33	16:54	17:21	17:31	17:55	17:46	18:14	18:49	19:02	-	19:48	20:21	20:35	21:21
六枚町（ガスト前）	07:29	07:49	08:20	09:19	09:28	09:50	10:28	10:38	11:27	11:59	12:37	12:31	13:26		14:31	15:14	15:42	15:41	-	-	16:39	16:33	16:54	17:21	17:31	17:55	17:46	18:14	18:49	19:02	-	19:48	20:21	20:35	21:21
金沢駅【降車場】	07:42	08:02	08:35	09:34	09:38	10:00	10:41	10:48	11:39	12:09	12:49	12:43	13:39		14:43	15:24	15:55	15:50	-	-	16:51	16:45	17:04	17:30	17:40	18:05	17:55	18:24	19:04	19:11	-	20:00	20:32	20:44	21:33
広坂（金沢２１世紀美術館前）																			15:53	16:11											19:18				
香林坊（日銀前）																			16:01	16:19											19:26				
