始発停留所	金沢駅【３】	金沢駅【３】			
始発時間	19:30	20:43			
終点時間	20:14	21:27			
終点停留所	湯涌温泉	湯涌温泉			
備考					
香林坊（中央公園前）					
広坂（しいのき迎賓館前）					
金沢駅【３】	19:30	20:43			
リファーレ前-A	19:32	20:45			
武蔵ヶ辻（北陸銀行前）	19:34	20:47			
武蔵ヶ辻（かなざわはこまち前）	19:34	20:47			
尾張町-A	19:36	20:49			
橋場町（金城楼前）	19:37	20:50			
兼六園下（県駐車場前）	19:39	20:52			
出羽町-A	19:41	20:54			
石引町-A	19:42	20:55			
小立野-A	19:43	20:56			
天徳院前-A	19:44	20:57			
小立野三丁目-A	19:45	20:58			
崎浦公民館-A	19:46	20:59			
小立野一丁目-A	19:47	21:00			
錦町（湯涌）	19:48	21:01			
土清水口-A	19:50	21:03			
田上口-A	19:52	21:05			
舘町-A	19:53	21:06			
銚子口	19:54	21:07			
北大太陽が丘-B	-	-			
中村（ストア前）	19:55	21:08			
中村（北大薬学部方向）	-	-			
北陸大学松雲会館前（薬学部方向）	-	-			
北陸大学薬学部（降車）	-	-			
袋-A	19:56	21:09			
茅原-A	19:58	21:11			
東荒屋	19:59	21:12			
朝ケ屋	20:01	21:14			
市の瀬	20:03	21:16			
北袋-A	20:05	21:18			
創作の森前-A	20:06	21:19			
芝原	20:07	21:20			
湯涌温泉	20:14	21:27			
