始発停留所	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】				
始発時間	08:27	14:05	15:05	16:10	18:28	19:20				
終点時間	09:03	14:35	15:35	16:57	19:43	20:13				
終点停留所	野々市中央-A	野々市中央-A	野々市中央-A	鶴来駅-C	上野	鶴来駅-C				
備考										
金沢駅【９】	08:27	14:05	15:05	16:10	18:28	19:20				
リファーレ前-A	08:29	14:07	15:07	16:12	18:30	19:22				
武蔵ヶ辻（近江町市場前）	08:32	14:10	15:10	16:15	18:33	19:25				
南町-A	08:34	14:12	15:12	16:17	18:35	19:27				
香林坊（アトリオ前）	08:36	14:14	15:14	16:19	18:37	19:29				
片町（パシオン前）	08:39	14:17	15:17	16:22	18:40	19:32				
広小路（有松方向）	08:41	14:19	15:19	16:24	18:42	19:34				
野町-A	08:42	14:20	15:20	16:25	18:43	19:35				
泉一丁目-A	08:43	14:21	15:21	16:26	18:44	19:36				
泉二丁目-A	08:44	14:22	15:22	16:27	18:45	19:37				
有松（寺地方向）	08:46	14:24	15:24	16:29	18:47	19:39				
上有松-A	08:47	14:25	15:25	16:30	18:48	19:40				
有松四丁目-A	08:49	14:26	15:26	16:31	18:49	19:41				
久安大橋-A	08:50	14:27	15:27	16:32	18:50	19:42				
久安南-A	08:52	14:28	15:28	16:33	18:51	19:43				
横川四丁目-A	08:53	14:29	15:29	16:34	18:52	19:44				
横川三丁目-A	08:54	14:30	15:30	16:35	18:53	19:45				
横宮-A	08:56	14:32	15:32	16:37	18:54	19:47				
野々市中央-A	09:03	14:35	15:35	16:38	18:55	19:48				
西野々市-C				16:39	18:56	19:49				
南野々市-A				16:40	18:57	19:50				
菅原町-A				16:41	18:58	19:51				
矢作-A				16:42	18:59	19:52				
粟田北-A				16:43	19:00	19:53				
粟田-A				16:44	19:01	19:54				
下新庄-A				16:45	19:02	19:55				
上新庄-A				16:46	19:03	19:56				
部入道口-A				16:47	19:04	19:57				
熱野-A				16:48	19:05	19:58				
曽谷-A				16:49	19:06	19:59				
道法寺-A				16:50	19:07	20:00				
井ノ口-A				16:51	19:08	20:01				
小柳				16:52	19:09	20:02				
月橋				16:54	19:11	20:04				
白山警察署鶴来庁舎前-A				16:55	19:12	20:05				
鶴来支所前-A				16:57	19:13	20:13				
鶴来駅-C				16:57	19:19	20:13				
鶴来本町-A					19:21					
白山青年の家前-A					19:22					
今町-A					19:23					
一の宮-A					19:24					
白山町					19:25					
白山町中					19:26					
石川県浄水場口					19:27					
南白山町					19:28					
中島					19:29					
口直海-B					19:30					
河内支所前					19:30					
ふじが丘-A					19:31					
下福岡					19:32					
上福岡					19:33					
きりの里					19:34					
江津					19:35					
大日川					19:36					
若原					19:37					
下野					19:38					
上野					19:43					
