始発停留所	七尾駅前【２】	七尾駅前【２】	七尾駅前【２】	七尾駅前【２】	七尾駅前【２】	七尾駅前【２】	七尾駅前【２】	七尾駅前【２】	七尾駅前【２】	七尾駅前【２】	七尾駅前【２】				
始発時間	07:00	08:25	09:10	10:15	11:30	12:40	14:30	15:10	16:25	18:00	18:55				
終点時間	08:09	09:21	10:06	11:22	12:26	13:52	15:26	16:17	17:21	18:56	19:29				
終点停留所	羽咋駅前-D	羽咋駅前-D	羽咋駅前-D	羽咋駅前-D	羽咋駅前-D	羽咋駅前-D	羽咋駅前-D	羽咋駅前-D	羽咋駅前-D	羽咋駅前-D	小金森-B				
備考															
七尾駅前【２】	07:00	08:25	09:10	10:15	11:30	12:40	14:30	15:10	16:25	18:00	18:55				
川原町-B	07:02	08:27	09:12	10:17	11:32	12:42	14:32	15:12	16:27	18:02	18:57				
本府中-B	07:03	08:28	09:13	10:18	11:33	12:43	14:33	15:13	16:28	18:03	18:58				
藤野町-B	07:04	08:29	09:14	10:19	11:34	12:44	14:34	15:14	16:29	18:04	18:59				
古府-B	07:05	08:30	09:15	10:20	11:35	12:45	14:35	15:15	16:30	18:05	19:00				
南ケ丘住宅前-B	07:07	08:32	09:17	10:22	11:37	12:47	14:37	15:17	16:32	18:07	19:02				
八幡-B	07:09	08:34	09:19	10:24	11:39	12:49	14:39	15:19	16:34	18:09	19:04				
ＪＡ徳田支店前-B	07:10	08:35	09:20	10:25	11:40	12:50	14:40	15:20	16:35	18:10	19:05				
下町-B	07:12	08:37	09:22	10:27	11:42	12:52	14:42	15:22	16:37	18:12	19:07				
飯川-B	07:13	08:38	09:23	10:28	11:43	12:53	14:43	15:23	16:38	18:13	19:08				
若林-B	07:15	08:40	09:25	10:30	11:45	12:55	14:45	15:25	16:40	18:15	19:10				
久の木-B	07:16	08:41	09:26	10:31	11:46	12:56	14:46	15:26	16:41	18:16	19:11				
武部-B	07:18	08:43	09:28	10:33	11:48	12:58	14:48	15:28	16:43	18:18	19:13				
越路学校前-B	07:19	08:44	09:29	10:34	11:49	12:59	14:49	15:29	16:44	18:19	19:14				
ＪＡ鹿島支店前-B	07:20	08:45	09:30	10:35	11:50	13:00	14:50	15:30	16:45	18:20	19:15				
二宮-B	07:21	08:46	09:31	10:36	11:51	13:01	14:51	15:31	16:46	18:21	19:16				
芹川-B	07:22	08:47	09:32	10:37	11:52	13:02	14:52	15:32	16:47	18:22	19:17				
中能登中学校-A	07:29	-	-	-	-	13:09	-	-	-	-	-				
織姫の里	-	-	-	10:42	-	13:12	-	15:37	-	-	-				
アルプラザ鹿島-A	-	-	-	10:45	-	13:15	-	15:40	-	-	-				
ラピア鹿島前-B	07:33	-	-	10:46	-	13:16	-	15:41	-	-	-				
鹿島庁舎前-B	07:36	08:48	09:33	10:49	11:53	13:19	14:53	15:44	16:48	18:23	19:18				
井田-B	07:37	08:49	09:34	10:50	11:54	13:20	14:54	15:45	16:49	18:24	19:19				
小竹-B	07:39	08:51	09:36	10:52	11:56	13:22	14:56	15:47	16:51	18:26	19:21				
水白-B	07:40	08:52	09:37	10:53	11:57	13:23	14:57	15:48	16:52	18:27	19:22				
久江-B	07:42	08:54	09:39	10:55	11:59	13:25	14:59	15:50	16:54	18:29	19:24				
小田中-B	07:44	08:56	09:41	10:57	12:01	13:27	15:01	15:52	16:56	18:31	19:26				
高畠-B	07:46	08:58	09:43	10:59	12:03	13:29	15:03	15:54	16:58	18:33	19:28				
小金森-B	07:47	08:59	09:44	11:00	12:04	13:30	15:04	15:55	16:59	18:34	19:29				
大町-B	07:49	09:01	09:46	11:02	12:06	13:32	15:06	15:57	17:01	18:36					
四柳-B	07:50	09:02	09:47	11:03	12:07	13:33	15:07	15:58	17:02	18:37					
酒井-B	07:52	09:04	09:49	11:05	12:09	13:35	15:09	16:00	17:04	18:39					
寺境-B	07:53	09:05	09:50	11:06	12:10	13:36	15:10	16:01	17:05	18:40					
若部-B	07:54	09:06	09:51	11:07	12:11	13:37	15:11	16:02	17:06	18:41					
白鳥苑前-B	07:54	09:06	09:51	11:07	12:11	13:37	15:11	16:02	17:06	18:41					
本江-B	07:55	09:07	09:52	11:08	12:12	13:38	15:12	16:03	17:07	18:42					
邑知中学校前-B	07:56	09:08	09:53	11:09	12:13	13:39	15:13	16:04	17:08	18:43					
飯山新町-B	07:57	09:09	09:54	11:10	12:14	13:40	15:14	16:05	17:09	18:44					
飯山-C	07:58	09:10	09:55	11:11	12:15	13:41	15:15	16:06	17:10	18:45					
羽咋農協センター前-A	07:59	09:11	09:56	11:12	12:16	13:42	15:16	16:07	17:11	18:46					
太田-A	08:00	09:12	09:57	11:13	12:17	13:43	15:17	16:08	17:12	18:47					
石野町-A	08:02	09:14	09:59	11:15	12:19	13:45	15:19	16:10	17:14	18:49					
文化会館前-A	08:04	09:16	10:01	11:17	12:21	13:47	15:21	16:12	17:16	18:51					
羽咋高校前-A	08:06	09:18	10:03	11:19	12:23	13:49	15:23	16:14	17:18	18:53					
羽咋駅前-D	08:09	09:21	10:06	11:22	12:26	13:52	15:26	16:17	17:21	18:56					
