始発停留所	平和町市立病院	平和町市立病院	平和町市立病院	平和町市立病院	平和町市立病院	平和町市立病院	平和町市立病院			
始発時間	06:30	07:00	12:10	13:20	21:20	21:40	22:10			
終点時間	06:52	07:22	12:37	13:50	21:40	22:00	22:30			
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】			
備考						ノンステップバス				
金大附校自衛隊前-B										
平和町（柳橋方向）										
平和町市立病院	06:30	07:00	12:10	13:20	21:20	21:40	22:10			
平和町（金沢駅方向）	06:30	07:00	12:10	13:20	21:20	21:40	22:10			
十一屋-B	06:31	07:01	12:11	13:21	21:21	21:41	22:11			
寺町一丁目（広小路方向）	06:32	07:02	12:12	13:22	21:22	21:42	22:12			
寺町二丁目-B	06:33	07:03	12:13	13:23	21:23	21:43	22:13			
寺町三丁目-B	06:34	07:04	12:14	13:24	21:24	21:44	22:14			
広小路（平和町から）	06:36	07:06	12:16	13:26	21:25	21:45	22:15			
片町	06:39	07:09	12:19	13:29	21:28	21:48	22:18			
香林坊（日銀前）	06:41	07:11	12:22	13:32	21:30	21:50	22:20			
南町-B	06:43	07:13	12:24	13:34	21:32	21:52	22:22			
武蔵ヶ辻（ホリデイ・イン金沢前）	06:44	07:14	12:26	13:36	21:33	21:53	22:23			
六枚町（金沢駅ゆき）	06:46	07:16	12:29	13:39	21:35	21:55	22:25			
六枚町（ガスト前）	06:46	07:16	12:29	13:39	21:35	21:55	22:25			
金沢駅【降車場】	06:52	07:22	12:37	13:50	21:40	22:00	22:30			
白菊町-A										
増泉一丁目-A										
増泉（新神田方向）										
新神田（大豆田方向）										
入江一丁目-B										
大豆田（金沢駅西口方向）										
元菊町-B										
広岡口（朱鷺の苑前）										
金沢駅西口降車										
金沢駅西口【６】										
広岡-A										
西念南-A										
西念西-A										
駅西合庁前（西念南から）										
県庁前-A										
中央病院前										
