終点時間	07:15	07:31	07:39	07:43	07:47	07:51	07:57	08:12	08:50	08:57	09:30	13:00	13:15	14:47	15:09	15:33	15:48	15:58	16:13	16:23	16:58	17:06	17:23	17:53	18:23	18:03	18:13	18:58	18:56	19:16	19:28	20:11	21:46	22:26	23:21	23:56				
終点停留所	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	平和町-E	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	平和町-E	金大附校自衛隊前-B	平和町-E	金大附校自衛隊前-B	平和町-E	平和町-E	金大附校自衛隊前-B	平和町-E	平和町-E	金大附校自衛隊前-B	平和町-E	平和町-E	平和町-E	平和町-E	平和町-E				
備考		ノンステップバス		ノンステップバス		ノンステップバス		ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス		ノンステップバス				ノンステップバス	ノンステップバス		ノンステップバス		ノンステップバス	ノンステップバス			ノンステップバス		ノンステップバス		ノンステップバス								
武蔵ヶ辻（近江町市場前）	06:57	07:08	07:16	07:20	07:24	07:28	07:34	07:49	08:29	08:34	09:07	12:37	12:52	14:21	14:43	15:07	15:22	15:32	15:47	15:57	16:32	16:42	16:57	17:27	-	17:37	17:47	-	18:35	18:55	19:05	19:50	21:25	22:05	23:00	23:35				
南町-A	06:59	07:10	07:18	07:22	07:26	07:30	07:36	07:51	08:31	08:36	09:09	12:39	12:54	14:23	14:45	15:09	15:24	15:34	15:49	15:59	16:34	16:44	16:59	17:29	-	17:39	17:49	-	18:37	18:57	19:07	19:52	21:27	22:07	23:02	23:37				
香林坊（アトリオ前）	07:01	07:12	07:20	07:24	07:28	07:32	07:38	07:53	08:33	08:38	09:11	12:41	12:56	14:25	14:47	15:11	15:26	15:36	15:51	16:01	16:36	16:46	17:01	17:31	-	17:41	17:51	-	18:38	18:58	19:08	19:53	21:28	22:08	23:03	23:38				
片町（パシオン前）	07:04	07:15	07:23	07:27	07:31	07:35	07:41	07:56	08:36	08:41	09:14	12:44	12:59	14:28	14:50	15:14	15:29	15:39	15:54	16:04	16:39	16:49	17:04	17:34	-	17:44	17:54	-	18:40	19:00	19:10	19:55	21:30	22:10	23:05	23:40				
広小路（平和町方向）	07:07	07:18	07:26	07:30	07:34	07:38	07:44	07:59	08:39	08:44	09:17	12:47	13:02	14:31	14:53	15:17	15:32	15:42	15:57	16:07	16:42	16:52	17:07	17:37	18:03	17:47	17:57	18:38	18:42	19:02	19:12	19:57	21:32	22:12	23:07	23:42				
寺町三丁目-A	07:09	07:20	07:28	07:32	07:36	07:40	07:46	08:01	08:41	08:46	09:19	12:49	13:04	14:33	14:55	15:19	15:34	15:44	15:59	16:09	16:44	16:54	17:09	17:39	18:05	17:49	17:59	18:40	18:44	19:04	19:14	19:59	21:34	22:14	23:09	23:44				
寺町二丁目-A	07:10	07:21	07:29	07:33	07:37	07:41	07:47	08:02	08:42	08:47	09:20	12:50	13:05	14:34	14:56	15:20	15:35	15:45	16:00	16:10	16:45	16:55	17:10	17:40	18:06	17:50	18:00	18:41	18:45	19:05	19:15	20:00	21:35	22:15	23:10	23:45				
寺町一丁目（平和町方向）	07:11	07:22	07:30	07:34	07:38	07:42	07:48	08:03	08:43	08:48	09:21	12:51	13:06	14:35	14:57	15:21	15:36	15:46	16:01	16:11	16:46	16:56	17:11	17:41	18:07	17:51	18:01	18:42	18:46	19:06	19:16	20:01	21:36	22:16	23:11	23:46				
十一屋-A	07:12	07:23	07:31	07:35	07:39	07:43	07:49	08:04	08:44	08:49	09:22	12:52	13:07	14:36	14:58	15:22	15:37	15:47	16:02	16:12	16:47	16:57	17:12	17:42	18:09	17:52	18:02	18:44	18:47	19:07	19:17	20:02	21:37	22:17	23:12	23:47				
平和町-E	-	-	-	-	-	-	-	-	08:50	-	-	-	-	-	-	-	-	-	-	-	-	17:06	-	17:53	-	18:03	18:13	-	18:56	19:16	-	20:11	21:46	22:26	23:21	23:56				
平和町（アルコ前）	07:13	07:24	07:32	07:36	07:40	07:44	07:50	08:05		08:50	09:23	12:53	13:08	14:37	14:59	15:23	15:38	15:48	16:03	16:13	16:48		17:13		18:11			18:46			19:18									
金大附校自衛隊前-B	07:15	07:31	07:39	07:43	07:47	07:51	07:57	08:12		08:57	09:30	13:00	13:15	14:47	15:09	15:33	15:48	15:58	16:13	16:23	16:58		17:23		18:23			18:58			19:28									
