終点時間	07:37	07:53	08:08	08:31	08:44	08:54	09:10	09:14	09:30	09:54	10:10	10:34	10:50	11:10	11:30	11:50	12:10	12:30	12:54	13:00	13:10	13:30	13:50	14:10	14:30	14:40	14:50	15:10	15:30	15:50	16:10	16:30	16:50	17:15	17:35	17:55	18:15	18:35	18:50	19:05	19:15	19:30	19:50	20:10	20:30	20:47	21:07	21:27	21:47	22:17	22:47	23:27			
終点停留所	東部車庫-A	金沢東高校-A	金沢東高校-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	東部車庫-A	金沢学院大学-A	東部車庫-A	金沢学院大学-A	東部車庫-A	金沢学院大学-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	金沢学院大学-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A			
備考		ノンステップバス	ノンステップバス	ノンステップバス			学期休み期間のみ運行	学期休み期間、運休			ノンステップバス				ノンステップバス							ノンステップバス	ノンステップバス			ノンステップバス				ノンステップバス		ノンステップバス							ノンステップバス																
県庁前-B																																																							
駅西合庁前（西念南方向）																																																							
西念西-B																																																							
西念南-B																																																							
広岡-B																																																							
金沢駅西口降車																																																							
金沢駅西口【５】																																																							
金沢駅東通り-B																																																							
本多町-A	07:11	07:26	07:43	08:03	08:16	08:26	08:46	08:46	09:06	09:26	09:46	10:06	10:26	10:46	11:06	11:26	11:46	12:06	12:26	12:36	12:46	13:06	13:26	13:46	14:06	14:16	14:26	14:46	15:06	15:26	15:46	16:06	16:26	16:46	17:06	17:26	17:46	18:06	18:21	18:36	18:51	19:06	19:26	19:44	20:04	20:24	20:44	21:04	21:24	21:54	22:24	23:04			
幸町-A	07:13	07:28	07:45	08:05	08:18	08:28	08:48	08:48	09:08	09:28	09:48	10:08	10:28	10:48	11:08	11:28	11:48	12:08	12:28	12:38	12:48	13:08	13:28	13:48	14:08	14:18	14:28	14:48	15:08	15:28	15:48	16:08	16:28	16:48	17:08	17:28	17:48	18:08	18:23	18:38	18:53	19:08	19:28	19:46	20:06	20:25	20:45	21:05	21:25	21:55	22:25	23:05			
思案橋-A	07:14	07:29	07:46	08:06	08:19	08:29	08:49	08:49	09:09	09:29	09:49	10:09	10:29	10:49	11:09	11:29	11:49	12:09	12:29	12:39	12:49	13:09	13:29	13:49	14:09	14:19	14:29	14:49	15:09	15:29	15:49	16:09	16:29	16:49	17:09	17:29	17:49	18:09	18:24	18:39	18:54	19:09	19:29	19:47	20:07	20:26	20:46	21:06	21:26	21:56	22:26	23:06			
猿丸神社前（花里方向）	07:15	07:30	07:47	08:07	08:20	08:30	08:50	08:50	09:10	09:30	09:50	10:10	10:30	10:50	11:10	11:30	11:50	12:10	12:30	12:40	12:50	13:10	13:30	13:50	14:10	14:20	14:30	14:50	15:10	15:30	15:50	16:10	16:30	16:50	17:10	17:30	17:50	18:10	18:25	18:40	18:55	19:10	19:30	19:48	20:08	20:27	20:47	21:07	21:27	21:57	22:27	23:07			
猿丸神社前（小立野方向）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
笠舞二丁目-A	07:16	07:31	07:48	08:08	08:21	08:31	08:51	08:51	09:11	09:31	09:51	10:11	10:31	10:51	11:11	11:31	11:51	12:11	12:31	12:41	12:51	13:11	13:31	13:51	14:11	14:21	14:31	14:51	15:11	15:31	15:51	16:11	16:31	16:51	17:11	17:31	17:51	18:11	18:26	18:41	18:56	19:11	19:31	19:49	20:09	20:28	20:48	21:08	21:28	21:58	22:28	23:08			
笠舞一丁目-A	07:17	07:32	07:49	08:09	08:22	08:32	08:52	08:52	09:12	09:32	09:52	10:12	10:32	10:52	11:12	11:32	11:52	12:12	12:32	12:42	12:52	13:12	13:32	13:52	14:12	14:22	14:32	14:52	15:12	15:32	15:52	16:12	16:32	16:52	17:12	17:32	17:52	18:12	18:27	18:42	18:57	19:12	19:32	19:50	20:10	20:29	20:49	21:09	21:29	21:59	22:29	23:09			
赤坂-A	07:18	07:33	07:50	08:10	08:23	08:33	08:53	08:53	09:13	09:33	09:53	10:13	10:33	10:53	11:13	11:33	11:53	12:13	12:33	12:43	12:53	13:13	13:33	13:53	14:13	14:23	14:33	14:53	15:13	15:33	15:53	16:13	16:33	16:53	17:13	17:33	17:53	18:13	18:28	18:43	18:58	19:13	19:33	19:51	20:11	20:30	20:50	21:10	21:30	22:00	22:30	23:10			
三口新町-A	07:19	07:34	07:51	08:11	08:24	08:34	08:54	08:54	09:14	09:34	09:54	10:14	10:34	10:54	11:14	11:34	11:54	12:14	12:34	12:44	12:54	13:14	13:34	13:54	14:14	14:24	14:34	14:54	15:14	15:34	15:54	16:14	16:34	16:54	17:14	17:34	17:54	18:14	18:29	18:44	18:59	19:14	19:34	19:52	20:12	20:31	20:51	21:11	21:31	22:01	22:31	23:11			
花里住宅-A	07:20	07:35	07:52	08:12	08:25	08:35	08:55	08:55	09:15	09:35	09:55	10:15	10:35	10:55	11:15	11:35	11:55	12:15	12:35	12:45	12:55	13:15	13:35	13:55	14:15	14:25	14:35	14:55	15:15	15:35	15:55	16:15	16:35	16:55	17:15	17:35	17:55	18:15	18:30	18:45	19:00	19:15	19:35	19:53	20:13	20:32	20:52	21:12	21:32	22:02	22:32	23:12			
涌波三丁目-A	07:21	07:36	07:53	08:13	08:26	08:36	08:56	08:56	09:16	09:36	09:56	10:16	10:36	10:56	11:16	11:36	11:56	12:16	12:36	12:46	12:56	13:16	13:36	13:56	14:16	14:26	14:36	14:56	15:16	15:36	15:56	16:16	16:36	16:56	17:16	17:36	17:56	18:16	18:31	18:46	19:01	19:16	19:36	19:54	20:14	20:33	20:53	21:13	21:33	22:03	22:33	23:13			
涌波二丁目-A	07:22	07:37	07:54	08:14	08:27	08:37	08:57	08:57	09:17	09:37	09:57	10:17	10:37	10:57	11:17	11:37	11:57	12:17	12:37	12:47	12:57	13:17	13:37	13:57	14:17	14:27	14:37	14:57	15:17	15:37	15:57	16:17	16:37	16:57	17:17	17:37	17:57	18:17	18:32	18:47	19:02	19:17	19:37	19:55	20:15	20:34	20:54	21:14	21:34	22:04	22:34	23:14			
涌波一丁目-A	07:23	07:38	07:55	08:15	08:28	08:38	08:58	08:58	09:18	09:38	09:58	10:18	10:38	10:58	11:18	11:38	11:58	12:18	12:38	12:48	12:58	13:18	13:38	13:58	14:18	14:28	14:38	14:58	15:18	15:38	15:58	16:18	16:38	16:58	17:18	17:38	17:58	18:18	18:33	18:48	19:03	19:18	19:38	19:56	20:16	20:35	20:55	21:15	21:35	22:05	22:35	23:15			
大道割-A	07:25	07:40	07:57	08:17	08:30	08:40	09:00	09:00	09:20	09:40	10:00	10:20	10:40	11:00	11:20	11:40	12:00	12:20	12:40	12:50	13:00	13:20	13:40	14:00	14:20	14:30	14:40	15:00	15:20	15:40	16:00	16:20	16:40	17:00	17:20	17:40	18:00	18:20	18:35	18:50	19:05	19:20	19:40	19:58	20:18	20:37	20:57	21:17	21:37	22:07	22:37	23:17			
永安町（東部車庫方向）	07:26	07:41	07:58	08:18	08:31	08:41	09:01	09:01	09:21	09:41	10:01	10:21	10:41	11:01	11:21	11:41	12:01	12:21	12:41	12:51	13:01	13:21	13:41	14:01	14:21	14:31	14:41	15:01	15:21	15:41	16:01	16:21	16:41	17:01	17:21	17:41	18:01	18:21	18:36	18:51	19:06	19:21	19:41	19:59	20:19	20:38	20:58	21:18	21:38	22:08	22:38	23:18			
末-A	07:27	07:42	07:59	08:19	08:32	08:42	09:02	09:02	09:22	09:42	10:02	10:22	10:42	11:02	11:22	11:42	12:02	12:22	12:42	12:52	13:02	13:22	13:42	14:02	14:22	14:32	14:42	15:02	15:22	15:42	16:02	16:22	16:42	17:02	17:22	17:42	18:02	18:22	18:37	18:52	19:07	19:22	19:42	20:00	20:20	20:39	20:59	21:19	21:39	22:09	22:39	23:19			
都雅野住宅-A	07:27	07:42	07:59	08:19	08:32	08:42	09:02	09:02	09:22	09:42	10:02	10:22	10:42	11:02	11:22	11:42	12:02	12:22	12:42	12:52	13:02	13:22	13:42	14:02	14:22	14:32	14:42	15:02	15:22	15:42	16:02	16:22	16:42	17:02	17:22	17:42	18:02	18:22	18:37	18:52	19:07	19:22	19:42	20:00	20:20	20:39	20:59	21:19	21:39	22:09	22:39	23:19			
東部車庫-A	07:37	07:43	08:00	08:20	08:33	08:43	09:10	09:03	09:30	09:43	10:10	10:23	10:50	11:10	11:30	11:50	12:10	12:30	12:43	13:00	13:10	13:30	13:50	14:10	14:30	14:40	14:50	15:10	15:30	15:50	16:10	16:30	16:50	17:15	17:35	17:55	18:15	18:35	18:50	19:05	19:15	19:30	19:50	20:10	20:30	20:47	21:07	21:27	21:47	22:17	22:47	23:27			
金沢東高校-A		07:53	08:08	-	-	-		-		-		-							-																																				
金沢東高校（学院方向）				08:21	08:34	08:44		09:04		09:44		10:24							12:44																																				
金沢学院大学-A				08:31	08:44	08:54		09:14		09:54		10:34							12:54																																				
笠舞三丁目-B																																																							
天徳院前-A																																																							
小立野三丁目-A																																																							
崎浦公民館-A																																																							
小立野一丁目-A																																																							
錦町（湯涌）																																																							
土清水口-A																																																							
土清水-A																																																							
土清水南-A																																																							
舘山町-A																																																							
辰巳丘高校-B																																																							
