始発停留所	市立輪島病院-A				
始発時間	12:00				
終点時間	12:37				
終点停留所	空熊-A				
備考					
市立輪島病院-A	12:00				
輪島駅前【２】	12:05				
馬場町-B	12:07				
中央通り-B	12:08				
新橋-B	12:09				
測候所前-A	12:10				
県立漆芸研修所前-B	12:11				
小伊勢-B	12:12				
大屋学校前-B	12:13				
稲屋-B	12:14				
長井-B	12:16				
四十九坊-B	12:18				
黒川-A	12:19				
二俣学校前-B	12:20				
二俣-B	12:21				
大久保口-A	12:22				
下別所谷-A	12:24				
別所谷-A	12:26				
帶壁-A	12:28				
滝又-A	12:31				
滝又学校前-A	12:32				
落合-A	12:35				
空熊-A	12:37				
