始発停留所	宇野気駅	宇野気駅	宇野気駅	宇野気駅	
始発時間	06:30	07:50	15:35	17:40	
終点時間	07:45	09:05	16:50	18:55	
終点停留所	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	
宇野気駅	06:30	07:50	15:35	17:40	
かほく市役所前-B	06:31	07:51	15:36	17:41	
宇野気交番前-B	06:33	07:53	15:38	17:43	
内日角-B	06:34	07:54	15:39	17:44	
大崎北口（内灘駅方向）	06:35	07:55	15:40	17:45	
大崎公民館前-B	06:36	07:56	15:41	17:46	
大崎-A	06:37	07:57	15:42	17:47	
大崎南口-B	06:38	07:58	15:43	17:48	
大崎光宝台-B	06:39	07:59	15:44	17:49	
室-B	06:40	08:00	15:45	17:50	
勤労者青少年ホーム-B	06:41	08:01	15:46	17:51	
西荒屋-B	06:42	08:02	15:47	17:52	
西荒屋小学校前-B	06:43	08:03	15:48	17:53	
黒津船	06:45	08:05	15:50	17:55	
宮坂	06:46	08:06	15:51	17:56	
大根布五丁目-B	06:48	08:08	15:53	17:58	
大根布四丁目-B	06:49	08:09	15:54	17:59	
大根布-B	06:50	08:10	15:55	18:00	
大根布一丁目-B	06:51	08:11	15:56	18:01	
内灘中学校前-B	06:52	08:12	15:57	18:02	
鶴ケ丘四丁目（内灘駅方向）	06:54	08:14	15:59	18:04	
向陽台（マルエー向）	06:56	08:16	16:01	18:06	
内灘駅（内灘駅向い）	06:57	08:17	16:02	18:07	
向粟崎-B	06:58	08:18	16:03	18:08	
旭ケ丘（市内方向）	06:59	08:19	16:04	18:09	
粟崎二丁目-B	07:00	08:20	16:05	18:10	
粟崎一丁目-B	07:01	08:21	16:06	18:11	
粟崎南口-B	07:02	08:22	16:07	18:12	
湊三丁目-B	07:03	08:23	16:08	18:13	
近岡北-B	07:04	08:24	16:09	18:14	
近岡-B	07:05	08:25	16:10	18:15	
直江-B	07:06	08:26	16:11	18:16	
西割出-B	07:07	08:27	16:12	18:17	
三浦住宅前-B	07:08	08:28	16:13	18:18	
南新保口-B	07:11	08:31	16:15	18:21	
上諸江-B	07:13	08:33	16:17	18:23	
諸江町小学校前-B	07:14	08:34	16:18	18:24	
北安江-B	07:15	08:35	16:19	18:25	
金沢駅西口降車	07:20	08:40	16:23	18:30	
金沢駅西口【５】	07:20	08:40	16:23	18:30	
広岡口（中橋方向）	07:22	08:42	16:25	18:32	
中橋-B	07:23	08:43	16:26	18:33	
六枚町（こんや湯前）	07:25	08:45	16:28	18:35	
武蔵ヶ辻（三井住友銀行前）	07:28	08:48	16:31	18:38	
南町-A	07:30	08:50	16:33	18:40	
香林坊（中央公園前）	07:32	08:52	16:35	18:42	
広坂（しいのき迎賓館前）	07:34	08:54	16:37	18:44	
兼六園下（北鉄車庫前）	07:45	09:05	16:50	18:55	
