始発停留所	柳橋（始発）				
始発時間	08:10				
終点時間	08:44				
終点停留所	県庁前-D				
備考					
柳橋（始発）	08:10				
神谷内-B	08:11				
小坂中-B	08:12				
小坂-B	08:13				
鳴和-B	08:14				
春日町（東署方向）	08:17				
神宮寺町（東署方向）	08:18				
東警察署前（金沢駅方向）	08:19				
浅野町小学校前-B	08:20				
中島大橋-B	08:22				
金沢駅東通り-A	08:26				
金沢駅西口降車	08:31				
金沢駅西口【６】	08:31				
広岡-A	08:33				
西念南-A	08:34				
西念西-A	08:35				
駅西合庁前（西念南から）	08:36				
県庁前-D	08:44				
