始発停留所	野々市車庫-B	野々市車庫-B	野々市車庫-B	富光寺住宅前	野々市車庫-B	野町駅-B	野々市車庫-B	富光寺住宅前	野町駅-B	野町駅-B	野々市車庫-B	野々市車庫-B	野々市車庫-B	富光寺住宅前	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B	富光寺住宅前	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B
野々市本町三丁目-B	06:03	06:42	07:00	07:27	07:14		07:50	-			11:03	11:43	13:22	13:44	14:18	14:53	15:28	16:34	17:39	17:27	18:20	19:02	19:40	20:27	21:45
東野々市-B	06:05	06:44	07:02	07:29	07:16		07:52	-			11:05	11:45	13:24	13:46	14:20	14:55	15:30	16:36	17:41	17:29	18:22	19:04	19:42	20:29	21:47
押野-B	06:07	06:46	07:04	07:31	07:18		07:54	-			11:07	11:47	13:26	13:48	14:22	14:57	15:32	16:38	17:43	17:31	18:24	19:06	19:44	20:31	21:49
押野丸木-B	06:07	06:46	07:04	07:31	07:18		07:54	-			11:07	11:47	13:26	13:48	14:22	14:57	15:32	16:38	17:43	17:31	18:24	19:06	19:44	20:31	21:49
野々市中央-B	-	-	-	-	-		-	08:59			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
横宮-B	-	-	-	-	-		-	09:00			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
伏見橋（県道市内方向）	06:09	06:48	07:06	07:33	07:20		07:57	-			11:09	11:49	13:28	13:50	14:24	14:59	15:34	16:40	17:45	17:33	18:26	19:08	19:46	20:33	21:51
伏見橋（ニューハウス前）	06:09	06:48	07:06	07:33	07:20		07:57	-			11:09	11:49	13:28	13:50	14:24	14:59	15:34	16:40	17:45	17:33	18:26	19:08	19:46	20:33	21:51
二万堂-B	06:11	06:50	07:08	07:37	07:24		08:01	-			11:11	11:51	13:30	13:52	14:26	15:01	15:36	16:42	17:49	17:37	18:30	19:12	19:50	20:35	21:53
有松（二万堂から）	06:12	06:51	07:09	07:38	07:25		08:02	-			11:12	11:52	13:31	13:53	14:27	15:02	15:37	16:43	17:50	17:38	18:31	19:13	19:51	20:36	21:54
泉二丁目-B	06:13	06:52	07:10	07:40	07:26		08:03	-			11:13	11:53	13:32	13:54	14:28	15:03	15:38	16:44	17:51	17:39	18:32	19:14	19:52	20:37	21:55
泉一丁目-B	06:14	06:53	07:11	07:41	07:27		08:04	-			11:14	11:54	13:33	13:55	14:29	15:04	15:39	16:45	17:52	17:40	18:33	19:15	19:53	20:38	21:56
野町-B	06:15	06:54	07:12	07:42	07:28		08:05	-			11:15	11:55	13:34	13:56	14:30	15:05	15:40	16:46	17:53	17:41	18:34	19:16	19:54	20:39	21:57
