始発停留所	七尾駅前【２】				
始発時間	08:00				
終点時間	08:41				
終点停留所	能登総合病院				
備考					
七尾駅前【２】	08:00				
川原町-C	08:02				
郡町-A	08:03				
湊町口-A	08:04				
矢田新中央-A	08:05				
矢田新東-A	08:06				
万行浜通り-A	08:07				
報国町-A	08:08				
万行神社前-B	08:08				
万行-B	08:10				
希望の丘公園口-B	08:11				
八幡神社前-B	08:12				
緑ヶ丘住宅	08:13				
緑ヶ丘住宅南	08:14				
緑ヶ丘ヒロコノ池前	08:15				
テニスコート口	08:16				
矢田町	08:17				
矢田ふれあいセンター口	08:18				
本府中町	08:19				
本府中ＪＡ前	08:20				
川原町-A	08:21				
七尾駅前【ミナ．クル前降車場】	08:24				
七尾駅前【５】	08:25				
桧物町-A	08:27				
能登食祭市場-A	08:29				
寿町-A	08:31				
桜町-A	08:32				
小島橋-B	08:34				
小丸山台１丁目-A	08:38				
小丸山台２丁目-A	08:39				
小丸山台３丁目-A	08:40				
能登総合病院	08:41				
七尾駅前【１】					
