始発停留所	高浜-B	高浜-B	高浜-B		
始発時間	07:00	12:30	17:10		
終点時間	07:25	12:55	17:35		
終点停留所	能登部駅前	能登部駅前	能登部駅前		
備考					
高浜-B	07:00	12:30	17:10		
大念寺-B	07:01	12:31	17:11		
高浜小学校前-A	07:02	12:32	17:12		
福野	07:03	12:33	17:13		
大島入口	07:04	12:34	17:14		
宿女	07:05	12:35	17:15		
志賀やすらぎ荘前-A	07:06	12:36	17:16		
福井口	07:07	12:37	17:17		
雨谷	07:08	12:38	17:18		
下甘田保育所前	07:10	12:40	17:20		
二所宮	07:12	12:42	17:22		
上棚	07:14	12:44	17:24		
中村	07:15	12:45	17:25		
東谷内	07:16	12:46	17:26		
上後山	07:19	12:49	17:29		
下後山	07:20	12:50	17:30		
徳丸	07:23	12:53	17:33		
能登部駅前	07:25	12:55	17:35		
