始発停留所	金沢駅【６】	金沢駅【６】	金沢駅【６】		
始発時間	19:50	20:50	23:30		
終点時間	20:28	21:28	23:55		
終点停留所	金沢大学-B	金沢大学-B	若松（若松西から）		
備考					
金沢駅【６】	19:50	20:50	23:30		
リファーレ前-A	19:52	20:52	23:32		
武蔵ヶ辻（近江町市場前）	19:54	20:54	23:34		
南町-A	19:55	20:55	23:35		
香林坊（アトリオ前）	19:57	20:57	23:37		
香林坊（中央公園前）	19:57	20:57	23:37		
広坂（しいのき迎賓館前）	19:58	20:58	23:38		
兼六園下（北鉄車庫前）	20:00	21:00	23:40		
小将町-A	20:01	21:01	23:41		
横山町-A	20:02	21:02	23:42		
暁町-A	20:03	21:03	23:43		
桜町-A	20:04	21:04	23:44		
鈴見台一丁目（田上方向）	20:06	21:06	-		
鈴見台一丁目（アオキ前）	-	-	-		
鈴見町-A	-	-	-		
鈴見台二丁目（若松方向）	20:07	21:07	-		
若谷-A	20:08	21:08	-		
田井町-A	-	-	23:45		
旭町口-A	-	-	23:46		
旭町（金大方向）	-	-	23:47		
若松橋-A	-	-	23:49		
若松西-A	-	-	23:50		
若松（若松西から）	-	-	23:55		
若松（田上方向）	20:09	21:09			
角間新町-A	20:11	21:11			
金沢大学角間口-A	20:12	21:12			
金沢大学自然研前	20:13	21:13			
金沢大学中央-A	20:15	21:15			
金沢大学-B	20:28	21:28			
