始発停留所	医大病院-B	医大病院-B	白帆台ニュータウン	白帆台ニュータウン	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	白帆台ニュータウン	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B			
始発時間	06:29	06:51	07:09	07:30	08:00	08:23	08:46	09:06	09:30	09:53	10:18	10:41	11:05	11:35	12:05	12:35	13:05	13:35	14:05	14:35	15:01	15:30	15:55	16:17	16:41	17:05	17:30	17:55	18:18	18:41	18:59	19:30	19:53	20:18	20:45	21:18	22:18			
終点時間	06:39	07:01	07:25	07:46	08:10	08:33	08:56	09:16	09:40	10:03	10:28	10:51	11:15	11:45	12:15	12:45	13:15	13:45	14:15	14:45	15:11	15:40	16:05	16:27	16:51	17:15	17:40	18:05	18:28	18:51	19:15	19:40	20:03	20:28	20:55	21:28	22:28			
終点停留所	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）			
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス			
白帆台ニュータウン			07:09	07:30																											18:59									
内灘温泉病院-B			07:10	07:31																											19:00									
内灘町総合公園			07:12	07:33																											19:02									
内灘町福祉センター-B			07:13	07:34																											19:03									
医大病院-B	06:29	06:51	07:15	07:36	08:00	08:23	08:46	09:06	09:30	09:53	10:18	10:41	11:05	11:35	12:05	12:35	13:05	13:35	14:05	14:35	15:01	15:30	15:55	16:17	16:41	17:05	17:30	17:55	18:18	18:41	19:05	19:30	19:53	20:18	20:45	21:18	22:18			
大学前-B	06:30	06:52	07:16	07:37	08:01	08:24	08:47	09:07	09:31	09:54	10:19	10:42	11:06	11:36	12:06	12:36	13:06	13:36	14:06	14:36	15:02	15:31	15:56	16:18	16:42	17:06	17:31	17:56	18:19	18:42	19:06	19:31	19:54	20:19	20:46	21:19	22:19			
大清台-B	06:31	06:53	07:17	07:38	08:02	08:25	08:48	09:08	09:32	09:55	10:20	10:43	11:07	11:37	12:07	12:37	13:07	13:37	14:07	14:37	15:03	15:32	15:57	16:19	16:43	17:07	17:32	17:57	18:20	18:43	19:07	19:32	19:55	20:20	20:47	21:20	22:20			
大根布六丁目-B	06:32	06:54	07:18	07:39	08:03	08:26	08:49	09:09	09:33	09:56	10:21	10:44	11:08	11:38	12:08	12:38	13:08	13:38	14:08	14:38	15:04	15:33	15:58	16:20	16:44	17:08	17:33	17:58	18:21	18:44	19:08	19:33	19:56	20:21	20:48	21:21	22:21			
鶴ケ丘五丁目-B	06:33	06:55	07:19	07:40	08:04	08:27	08:50	09:10	09:34	09:57	10:22	10:45	11:09	11:39	12:09	12:39	13:09	13:39	14:09	14:39	15:05	15:34	15:59	16:21	16:45	17:09	17:34	17:59	18:22	18:45	19:09	19:34	19:57	20:22	20:49	21:22	22:22			
鶴ケ丘四丁目（内灘駅方向）	06:34	06:56	07:20	07:41	08:05	08:28	08:51	09:11	09:35	09:58	10:23	10:46	11:10	11:40	12:10	12:40	13:10	13:40	14:10	14:40	15:06	15:35	16:00	16:22	16:46	17:10	17:35	18:00	18:23	18:46	19:10	19:35	19:58	20:23	20:50	21:23	22:23			
向陽台（マルエー向）	06:36	06:58	07:22	07:43	08:07	08:30	08:53	09:13	09:37	10:00	10:25	10:48	11:12	11:42	12:12	12:42	13:12	13:42	14:12	14:42	15:08	15:37	16:02	16:24	16:48	17:12	17:37	18:02	18:25	18:48	19:12	19:37	20:00	20:25	20:52	21:25	22:25			
内灘駅（ターミナル内）	06:39	07:01	07:25	07:46	08:10	08:33	08:56	09:16	09:40	10:03	10:28	10:51	11:15	11:45	12:15	12:45	13:15	13:45	14:15	14:45	15:11	15:40	16:05	16:27	16:51	17:15	17:40	18:05	18:28	18:51	19:15	19:40	20:03	20:28	20:55	21:28	22:28			
