始発停留所	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】				
永安町（東部車庫方向）	06:51	07:11	07:31	07:53		08:23		09:49	10:04	10:34	11:04	11:49	12:49	13:04	13:49	14:04	14:49	15:49	16:04	17:04	17:34	18:04	19:03	19:33	20:13	21:31				
末-A	06:52	07:12	07:32	07:54		08:24		09:50	10:05	10:35	11:05	11:50	12:50	13:05	13:50	14:05	14:50	15:50	16:05	17:05	17:35	18:05	19:04	19:34	20:14	21:32				
都雅野住宅-A	06:53	07:13	07:33	07:55		08:25		09:51	10:06	10:36	11:06	11:51	12:51	13:06	13:51	14:06	14:51	15:51	16:06	17:06	17:36	18:06	19:05	19:35	20:15	21:33				
東部車庫-A	07:01	07:21	07:41	08:04		08:34		09:59	10:14	10:44	11:14	11:59	12:59	13:14	13:59	14:14	14:59	15:59	16:14	17:14	17:44	18:14	19:11	19:41	20:21	21:41				
金沢東高校-A																														
金沢東高校（学院方向）																														
金沢学院大学-A																														
犀川小学校前-A																														
下辰巳																														
辰巳農協前																														
中辰己																														
上辰巳-A																														
