始発停留所	金石-A				
始発時間	07:07				
終点時間	07:32				
終点停留所	金沢駅西口降車				
備考	ノンステップバス				
金石-A	07:07				
西警察署前-B	07:08				
寺中-B	07:09				
観音堂-B	07:11				
畝田-B	07:12				
市立工業高校前-B	07:13				
松村-B	07:14				
市立工業高校東口	07:15				
金沢西高校-A	07:16				
工業試験場口	07:17				
県庁前（中央病院側）	07:18				
駅西合庁前（西念南方向）	07:21				
西念西-B	07:22				
西念南-B	07:23				
広岡-B	07:25				
金沢駅西口降車	07:32				
