始発停留所	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B		
泉二丁目-B	06:51	07:27	07:49	08:24	09:04	10:01	11:06	12:21	13:36	15:06	16:21	17:21	17:21	18:06	18:06	19:04	20:02	20:47		
泉一丁目-B	06:52	07:29	07:51	08:26	09:06	10:03	11:08	12:23	13:38	15:08	16:23	17:23	17:23	18:08	18:08	19:06	20:03	20:48		
野町-B	06:53	07:30	07:52	08:27	09:07	10:04	11:09	12:24	13:39	15:09	16:24	17:24	17:24	18:09	18:09	19:07	20:04	20:49		
広小路（有松から）	06:54	07:31	07:53	08:28	09:08	10:05	11:10	12:25	13:40	15:10	16:25	17:25	17:25	18:10	18:10	19:08	20:05	20:50		
片町	06:57	07:34	07:56	08:31	09:11	10:08	11:13	12:28	13:43	15:13	16:28	17:28	17:28	18:13	18:13	19:11	20:08	20:53		
香林坊（日銀前）	06:58	07:35	07:57	08:32	09:12	10:09	11:14	12:29	13:44	15:14	16:29	17:29	17:29	18:14	18:14	19:12	20:09	20:54		
南町-B	07:00	07:37	07:59	08:34	09:14	10:11	11:16	12:31	13:46	15:16	16:31	17:31	17:31	18:16	18:16	19:14	20:11	20:56		
武蔵ヶ辻（めいてつエムザ前）	07:02	07:38	08:00	08:35	09:15	10:12	11:17	12:33	13:48	15:18	16:33	17:33	17:33	18:18	18:18	19:16	20:13	20:58		
リファーレ前-B	07:04	07:40	08:02	08:37	09:17	10:14	11:19	12:35	13:50	15:20	16:35	17:35	17:35	18:20	18:20	19:18	20:15	21:00		
金沢駅【降車場】	07:21	07:57	08:17	08:52	09:32	10:29	11:34	12:45	14:00	15:30	16:45	17:47	17:47	18:32	18:32	19:32	20:22	21:07		
