始発停留所	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）			
山の上（鳴和方向）	07:28	08:21	08:46	09:01	09:24	09:58	10:15	10:38	10:58	11:07	11:39	12:14	12:38	12:58	13:27	14:09	14:39	14:58	15:38	15:59	16:14	16:38	16:59	17:41	17:59	18:17	18:53	19:41	20:21	20:46	21:13	21:51			
春日町（山の上から）	07:29	08:22	08:47	09:02	09:25	09:59	10:16	10:39	10:59	11:08	11:40	12:15	12:39	12:59	13:28	14:10	14:40	14:59	15:39	16:00	16:15	16:39	17:00	17:42	18:00	18:18	18:54	19:42	20:22	20:47	21:14	21:52			
鳴和-A	07:31	08:24	08:49	09:04	09:27	10:01	10:18	10:41	11:01	11:10	11:42	12:17	12:41	13:01	13:30	14:12	14:42	15:01	15:41	16:02	16:17	16:41	17:02	17:44	18:02	18:20	18:56	19:44	20:24	20:49	21:16	21:54			
小坂-A	07:32	08:25	08:50	09:05	09:28	10:02	10:19	10:42	11:02	11:11	11:43	12:18	12:42	13:02	13:31	14:13	14:43	15:02	15:42	16:03	16:18	16:42	17:03	17:45	18:03	18:21	18:57	19:45	20:25	20:50	21:17	21:55			
小坂中-A	07:33	08:26	08:51	09:06	09:29	10:03	10:20	10:43	11:03	11:12	11:44	12:19	12:43	13:03	13:32	14:14	14:44	15:03	15:43	16:04	16:19	16:43	17:04	17:46	18:04	18:22	18:58	19:46	20:26	20:51	21:18	21:56			
神谷内-A	07:34	08:27	08:52	09:07	09:30	10:04	10:21	10:44	11:04	11:13	11:45	12:20	12:44	13:04	13:33	14:15	14:45	15:04	15:44	16:05	16:20	16:44	17:05	17:47	18:05	18:24	18:59	19:47	20:27	20:52	21:19	21:57			
柳橋-A	-	08:35	09:00	-	09:38	10:12	10:28	10:52	-	11:21	11:52	12:28	12:52	-	13:41	14:23	-	15:15	15:55	-	16:31	16:55	17:17	17:58	-	18:35	19:07	19:55	20:35	21:00	-	22:05			
柳橋（森本方向）	07:35			09:08					11:05					13:05			14:46			16:06					18:06						21:20				
法光寺-A	07:36			09:09					11:06					13:06			14:47			16:07					18:07						21:21				
横枕-A	07:38			09:11					11:08					13:08			14:49			16:09					18:09						21:23				
金市団地-A	07:39			09:12					11:09					13:09			14:50			16:10					18:10						21:24				
金市-A	07:40			09:13					11:10					13:10			14:51			16:11					18:11						21:25				
荒屋-A	07:41			09:14					11:11					13:11			14:52			16:12					18:12						21:26				
荒屋北	07:42			09:15					11:12					13:12			14:53			16:13					18:13						21:27				
福久南口	07:43			09:16					11:13					13:13			14:54			16:14					18:14						21:28				
福久-A	07:45			09:18					11:15					13:15			14:56			16:16					18:16						21:30				
みずき団地口-A	07:46			09:19					11:16					13:16			14:57			16:17					18:17						21:31				
木越住宅（始発）	07:56			09:29					11:26					13:26			15:09			16:29					18:29						21:41				
百坂-A																																			
森本駅前-A																																			
南森本-A																																			
観法寺-A																																			
今町（新道）																																			
八幡-A																																			
岸川（新道）																																			
利屋町（新道）																																			
新太田-A																																			
津幡駅前-A																																			
北中条-A																																			
津幡中央-A																																			
パピィ・１通り-A																																			
庄町商店街-A																																			
庄本町通り-A																																			
本津幡駅-B																																			
