始発停留所	和倉温泉				
始発時間	09:10				
終点時間	11:03				
終点停留所	兼六園下（北鉄車庫前）				
備考					
和倉温泉	09:10				
和倉インフォメーション	09:12				
和倉駅前-B	09:15				
国立七尾病院前-B	09:17				
桜町-B	09:20				
能登食祭市場-B	09:21				
七尾駅前【１】	09:25				
西藤橋-B	09:28				
のと蘭ノ国-B	09:32				
西三階-B	09:37				
瀬戸-B	09:39				
花見月-B	09:40				
上棚インター-B	09:46				
医大病院-B	10:22				
向陽台（清湖大橋方向）	10:26				
県庁前（中央病院側）	10:36				
駅西合庁前（西念南方向）	10:39				
金沢駅西口降車	10:47				
武蔵ヶ辻（三井住友銀行前）	10:52				
香林坊（中央公園前）	10:55				
広坂（しいのき迎賓館前）	10:57				
兼六園下（北鉄車庫前）	11:03				
