始発停留所	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台				
若谷-B	06:44	07:10	07:23	07:36	07:56	08:48	09:31	10:31	11:01	11:31	12:01	12:36	13:11	13:41	14:41	15:06	15:31	17:16	18:06	19:11	20:47				
鈴見台二丁目（若松から）	06:45	07:11	07:24	07:37	07:57	08:49	09:32	10:32	11:02	11:32	12:02	12:37	13:12	13:42	14:42	15:07	15:32	17:17	18:07	19:12	20:48				
鈴見台一丁目（田上から）	06:46	07:12	07:25	07:38	07:58	08:50	09:33	10:33	11:03	11:33	12:03	12:38	13:13	13:43	14:43	15:08	15:33	17:18	18:08	19:13	20:49				
桜町-B	06:47	07:14	07:27	07:40	08:00	08:52	09:35	10:35	11:05	11:35	12:05	12:40	13:15	13:45	14:45	15:10	15:35	17:20	18:10	19:15	20:50				
暁町-B	06:48	07:15	07:28	07:41	08:01	08:53	09:36	10:36	11:06	11:36	12:06	12:41	13:16	13:46	14:46	15:11	15:36	17:21	18:11	19:16	20:51				
横山町-B	06:49	07:16	07:29	07:42	08:02	08:54	09:37	10:37	11:07	11:37	12:07	12:42	13:17	13:47	14:47	15:12	15:37	17:22	18:12	19:17	20:52				
小将町-B	06:50	07:17	07:30	07:43	08:03	08:55	09:38	10:38	11:08	11:38	12:08	12:43	13:18	13:48	14:48	15:13	15:38	17:23	18:13	19:18	20:53				
兼六園下（石川門向い）	06:51	07:18	07:31	07:44	08:04	08:56	09:39	10:39	11:09	11:39	12:09	12:44	13:19	13:49	14:49	15:14	15:39	17:24	18:14	19:19	20:54				
広坂（金沢２１世紀美術館前）	06:54	07:21	07:35	07:48	08:08	09:00	09:42	10:42	11:12	11:42	12:12	12:47	13:22	13:52	14:52	15:17	15:42	17:28	18:18	19:22	20:57				
香林坊（日銀前）	06:55	07:23	07:37	07:50	08:10	09:02	09:43	10:43	11:13	11:43	12:13	12:48	13:23	13:53	14:53	15:18	15:43	17:30	18:20	19:23	20:58				
南町-B	06:58	07:25	07:41	07:54	08:14	09:06	09:47	10:47	11:17	11:47	12:17	12:52	13:27	13:57	14:57	15:22	15:47	17:34	18:24	19:27	21:01				
武蔵ヶ辻（めいてつエムザ前）	06:59	07:27	07:42	07:55	08:15	09:07	09:48	10:48	11:18	11:48	12:18	12:53	13:28	13:58	14:58	15:23	15:48	17:35	18:25	19:28	21:02				
武蔵ヶ辻（ホリデイ・イン金沢前）	-	07:27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
リファーレ前-B	07:01	-	07:44	07:57	08:17	09:09	09:50	10:50	11:20	11:50	12:20	12:55	13:30	14:00	15:00	15:25	15:50	17:37	18:27	19:30	21:04				
金沢駅【降車場】	07:13	-	07:52	08:05	08:25	09:17	10:00	11:00	11:30	12:00	12:30	13:05	13:40	14:10	15:10	15:35	16:00	17:45	18:35	19:40	21:16				
六枚町（金石方向）		07:30																							
広岡口（朱鷺の苑前）		07:32																							
金沢駅西口降車		07:35																							
金沢駅西口【６】		07:35																							
広岡-A		07:37																							
西念南-A		07:38																							
西念西-A		07:39																							
駅西合庁前（西念南から）		07:40																							
県庁前-A		07:45																							
工業試験場口		07:47																							
金沢西高校-B		07:52																							
