終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	小立野大学病院前（降車場）	映寿会みらい病院	金沢駅【降車場】	金沢駅【降車場】	県庁前-D	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】		
備考		ノンステップバス			ノンステップバス	ノンステップバス		ノンステップバス			ノンステップバス	ノンステップバス			ノンステップバス		ノンステップバス	ノンステップバス		ノンステップバス			ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス				ノンステップバス		ノンステップバス				ノンステップバス		ノンステップバス				ノンステップバス	ノンステップバス				ノンステップバス			ノンステップバス							ノンステップバス			ノンステップバス					
光が丘住宅	06:15	-	-	-	06:55	07:05	-	-	07:10	-	07:25	07:35	07:40	07:45	08:00	08:15	-	08:51	09:15	-	09:35	-	10:35	-	11:15	11:35	-	-	-	12:35		13:35	-	-	14:35	-		-	15:35	-		16:15	16:25	16:35	-	17:00	17:10	17:25	17:35	-	-	18:15	18:35	18:50	-	19:15	19:35	-	20:15	20:40	-	21:05	22:05		
大額三丁目-A	-	-	-	-	-	-	-	-	07:11	-	-	-	-	-	-	-	-	-	09:16	-	-	-	-	-	11:16	-	-	-	-	-		-	-	-	-	-		-	-	-		-	-	-	-	-	17:11	-	-	-	-	18:16	-	-	-	19:16	-	-	20:16	-	-	-	-		
大額三丁目-B	-	-	-	07:00	-	-	07:19	-	-	-	-	-	-	-	-	-	08:37	-	-	-	-	-	-	-	-	-	-	12:15	-	-		-	-	14:15	-	-		-	-	15:55		-	-	-	-	-	-	-	-	-	17:55	-	-	-	-	-	-	-	-	-	-	-	-		
鶴寿園	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13:10	-	-	-	-	-	15:15	-	-	-	16:05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		
額谷一丁目-A	-	06:30	-	-	-	-	-	-	07:13	-	-	-	-	-	-	-	-	-	09:18	-	-	10:15	-	-	11:18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17:13	-	-	-	-	18:18	-	-	-	19:18	-	-	20:18	-	-	-	-		
大額新町-B	-	06:31	-	-	-	-	-	-	07:14	-	-	-	-	-	-	-	-	-	09:19	-	-	10:16	-	-	11:19	-	-	-	-	-	13:10	-	-	-	-	-	15:15	-	-	-	16:05	-	-	-	-	-	17:14	-	-	-	-	18:19	-	-	-	19:19	-	-	20:19	-	-	-	-		
金沢国際ホテル前-B	-	06:31	-	-	-	-	-	-	07:14	-	-	-	-	-	-	-	-	-	09:19	-	-	10:16	-	-	11:19	-	-	-	-	-	13:11	-	-	-	-	-	15:16	-	-	-	16:06	-	-	-	-	-	17:14	-	-	-	-	18:19	-	-	-	19:19	-	-	20:19	-	-	-	-		
高尾南二丁目-B	-	06:32	-	-	-	-	-	-	07:15	-	-	-	-	-	-	-	-	-	09:20	-	-	10:17	-	-	11:20	-	-	-	-	-	13:12	-	-	-	-	-	15:17	-	-	-	16:07	-	-	-	-	-	17:15	-	-	-	-	18:20	-	-	-	19:20	-	-	20:20	-	-	-	-		
大額二丁目-B	06:16	-	-	07:01	06:56	07:06	07:20	-	-	-	07:26	07:36	07:41	07:46	08:01	08:16	08:38	08:52	-	-	09:36	-	10:36	-	-	11:36	-	12:16	-	12:36	-	13:36	-	14:16	14:36	-	-	-	15:36	15:56	-	16:16	16:26	16:36	-	17:01	-	17:26	17:36	-	17:56	-	18:36	18:51	-	-	19:36	-	-	20:41	-	21:06	22:06		
光が丘口（四十万から）	06:17	-	-	07:02	06:57	07:07	07:21	-	-	-	-	07:37	-	-	08:02	-	08:39	08:53	-	-	09:37	-	10:37	-	-	11:37	-	12:17	-	12:37	-	13:37	-	14:17	14:37	-	-	-	15:37	15:57	-	16:17	16:27	16:37	-	17:02	-	17:27	17:37	-	17:57	-	18:37	18:52	-	-	19:37	-	-	20:42	-	21:07	22:07		
光が丘口（額住宅駅から）	-	-	06:50	-	-	-	-	07:30	-	07:45	-	-	-	-	-	-	-	-	-	09:55	-	-	-	10:52	-	-	11:52	-	12:53	-	-	-	13:52	-	-	14:52	-	15:48	-	-	-	-	-	-	16:47	-	-	-	-	17:47	-	-	-	-	19:02	-	-	19:52	-	-	20:52	-	-		
高尾南三丁目-B	06:18	-	06:51	07:03	06:58	07:08	07:22	07:31	-	07:46	-	07:38	-	-	08:03	-	08:40	08:54	-	09:56	09:38	-	10:38	10:53	-	11:38	11:53	12:18	12:54	12:38	-	13:38	13:53	14:18	14:38	14:53	-	15:49	15:38	15:58	-	16:18	16:28	16:38	16:48	17:03	-	17:28	17:38	17:48	17:58	-	18:38	18:53	19:03	-	19:38	19:53	-	20:43	20:53	21:08	22:08		
高尾南一丁目-B	06:19	06:33	06:52	07:04	06:59	07:10	07:24	07:33	07:17	07:48	-	07:40	-	-	08:05	-	08:42	08:56	09:21	09:58	09:40	10:19	10:40	10:55	11:21	11:40	11:55	12:20	12:56	12:40	13:13	13:40	13:55	14:20	14:40	14:55	15:18	15:51	15:40	16:00	16:08	16:20	16:30	16:40	16:50	17:05	17:16	17:30	17:40	17:50	18:00	18:21	18:40	18:55	19:04	19:21	19:39	19:54	20:21	20:44	20:54	21:09	22:09		
高尾新町-B	06:20	06:34	06:53	07:05	07:00	07:11	07:25	07:34	07:18	07:49	07:30	07:41	07:45	07:50	08:06	08:20	08:43	08:57	09:22	09:59	09:41	10:20	10:41	10:56	11:22	11:41	11:56	12:21	12:57	12:41	13:14	13:41	13:56	14:21	14:41	14:56	15:19	15:52	15:41	16:01	16:09	16:21	16:31	16:41	16:51	17:06	17:17	17:31	17:41	17:51	18:01	18:22	18:41	18:56	19:05	19:22	19:40	19:55	20:22	20:45	20:55	21:10	22:10		
窪南（市内方向）	06:21	06:35	06:54	07:06	07:01	07:12	07:26	07:35	07:19	07:50	-	07:42	-	-	08:07	-	08:44	08:58	09:23	10:00	09:42	10:21	10:42	10:57	11:23	11:42	11:57	12:22	12:58	12:42	13:15	13:42	13:57	14:22	14:42	14:57	15:20	15:53	15:42	16:02	16:10	16:22	16:32	16:42	16:52	17:07	17:18	17:32	17:42	17:52	18:02	18:23	18:42	18:57	19:06	19:23	19:41	19:56	20:23	20:46	20:56	21:11	22:11		
窪南（伏見台方向）	-	-	-	-	-	-	-	-	-	-	07:31	-	07:46	07:51	-	08:21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		
伏見台（市内方向）	-	-	-	-	-	-	-	-	-	-	07:34	-	07:49	07:54	-	08:24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		
窪（市内方向）	06:23	06:37	06:56	07:07	07:03	07:15	07:29	07:37	07:21	07:52	-	07:45	-	-	08:09	-	08:47	09:00	09:25	10:02	09:44	10:23	10:44	10:59	11:25	11:44	11:59	12:24	13:00	12:44	13:17	13:44	13:59	14:24	14:44	14:59	15:22	15:55	15:44	16:04	16:12	16:24	16:34	16:44	16:54	17:09	17:20	17:34	17:44	17:54	18:04	18:25	18:44	18:59	19:07	19:24	19:42	19:57	20:24	20:47	20:57	21:12	22:12		
円光寺（市内方向）	06:25	06:38	06:58	07:09	07:05	07:17	07:31	07:39	07:23	07:54	-	07:47	-	-	08:11	-	08:49	09:02	09:27	10:04	09:46	10:25	10:46	11:01	11:27	11:46	12:01	12:26	13:02	12:46	13:19	13:46	14:01	14:26	14:46	15:01	15:24	15:57	15:46	16:06	16:14	16:26	16:36	16:46	16:56	17:11	17:22	17:36	17:46	17:56	18:06	18:27	18:46	19:01	19:08	19:25	19:43	19:58	20:25	20:48	20:58	21:13	22:13		
