始発停留所	香林坊（アトリオ前）	武蔵ヶ辻（近江町市場前）	金沢駅西口【７】	武蔵ヶ辻（近江町市場前）	工業試験場	武蔵ヶ辻（近江町市場前）	武蔵ヶ辻（近江町市場前）	工業試験場	武蔵ヶ辻（近江町市場前）	工業試験場	武蔵ヶ辻（近江町市場前）	武蔵ヶ辻（近江町市場前）	工業試験場	武蔵ヶ辻（近江町市場前）	武蔵ヶ辻（近江町市場前）	工業試験場	武蔵ヶ辻（近江町市場前）	武蔵ヶ辻（近江町市場前）	工業試験場	武蔵ヶ辻（近江町市場前）	武蔵ヶ辻（近江町市場前）				
始発時間	07:10	07:35	07:56	08:30	08:45	09:05	10:15	10:45	11:15	12:30	13:00	15:00	16:05	16:10	16:50	17:25	17:45	18:25	18:45	19:20	21:00				
終点時間	07:35	08:05	08:20	09:00	09:35	09:40	10:50	11:35	11:50	13:15	13:35	15:35	16:55	16:45	17:25	18:15	18:20	19:00	19:28	19:50	21:25				
終点停留所	新金沢郵便局前	西金四丁目-A	新金沢郵便局前	西金四丁目-A	上荒屋西-A	新金沢郵便局前	新金沢郵便局前	上荒屋西-A	新金沢郵便局前	上荒屋西-A	新金沢郵便局前	新金沢郵便局前	上荒屋西-A	新金沢郵便局前	新金沢郵便局前	上荒屋西-A	新金沢郵便局前	新金沢郵便局前	上荒屋西-A	新金沢郵便局前	西金四丁目-A				
備考					ノンステップバス							ノンステップバス			ノンステップバス			ノンステップバス							
保古町-A					-			-		12:59			-			-			19:15						
西金新町-A					-			-		13:00			-			-			19:16						
西金三丁目（上荒屋方向）					-			-		13:02			-			-			19:18						
八日市出町-A					09:22			11:22		13:03			16:42			18:02			19:19						
新保本町-B					09:23			11:23		13:04			16:43			18:03			19:20						
森戸-B					09:24			11:24		13:05			16:44			18:04			19:21						
矢木-A					09:26			11:26		13:07			16:46			18:06			19:23						
上荒屋-A					09:27			11:27		13:08			16:47			18:07			19:24						
上荒屋大橋-A					09:28			11:28		13:09			16:48			18:08			19:25						
上荒屋西-A					09:35			11:35		13:15			16:55			18:15			19:28						
