始発停留所	金沢駅西口【６】	大桑本町	大桑本町	金沢駅西口【６】	大桑本町	金沢駅西口【６】	金沢駅西口【６】	大桑本町	金沢駅西口【６】	香林坊（日銀前）	大桑本町	大桑本町	大桑本町	金沢駅西口【６】	大桑本町	金沢駅西口【６】	大桑本町	金沢駅西口【６】	大桑本町	金沢駅西口【６】	大桑本町	大桑本町	金沢駅西口【６】	香林坊（日銀前）	大桑本町	金沢駅西口【６】	香林坊（日銀前）	大桑本町	大桑本町	大桑本町	大桑本町	大桑本町			
始発時間	06:45	06:47	07:02	07:10	07:22	07:23	07:26	07:47	07:50	07:50	08:27	09:02	10:00	10:50	11:02	11:25	12:15	13:15	13:32	13:50	14:30	15:30	15:45	16:30	16:32	17:00	17:15	17:25	18:48	19:30	19:57	20:34			
終点時間	07:01	07:05	08:03	07:24	08:31	07:37	07:40	08:46	08:04	08:21	09:28	09:58	11:01	11:11	11:57	11:41	13:16	13:34	14:27	14:04	15:26	16:25	15:59	17:01	17:27	17:19	17:43	18:24	19:43	20:20	20:47	21:21			
終点停留所	工業試験場	香林坊（日銀前）	消費生活支援センター	工業試験場	消費生活支援センター	工業試験場	工業試験場	工業試験場	工業試験場	工業試験場	消費生活支援センター	工業試験場	消費生活支援センター	消費生活支援センター	戸水	工業試験場	消費生活支援センター	消費生活支援センター	戸水	工業試験場	工業試験場	戸水	工業試験場	工業試験場	戸水	消費生活支援センター	戸水	工業試験場	戸水	戸水	戸水	戸水			
備考	ノンステップバス	ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス			
西大桑		06:52	07:07		07:27			07:52			08:32	09:07	10:05		11:07		12:20		13:37		14:35	15:35			16:37			17:30	18:53	19:35	20:02	20:39			
雪見橋		06:53	07:08		07:28			07:53			08:33	09:08	10:06		11:08		12:21		13:38		14:36	15:36			16:38			17:31	18:54	19:36	20:03	20:40			
城南一丁目		06:54	07:09		07:29			07:54			08:34	09:09	10:07		11:09		12:22		13:39		14:37	15:37			16:39			17:32	18:55	19:37	20:04	20:41			
笠舞本町		06:55	07:10		07:30			07:55			08:35	09:10	10:08		11:10		12:23		13:40		14:38	15:38			16:40			17:33	18:56	19:38	20:05	20:42			
城南二丁目-B		06:56	07:11		07:31			07:56			08:36	09:11	10:09		11:11		12:24		13:41		14:39	15:39			16:41			17:34	18:57	19:39	20:06	20:43			
川上-C		06:57	07:12		07:32			07:57			08:37	09:12	10:10		11:12		12:25		13:42		14:40	15:40			16:42			17:35	18:58	19:40	20:07	20:44			
猿丸神社前（幸町方向）		06:58	07:14		07:34			07:59			08:39	09:14	10:12		11:14		12:27		13:44		14:42	15:42			16:44			17:37	19:00	19:41	20:08	20:45			
思案橋-B		06:59	07:15		07:35			08:00			08:40	09:15	10:13		11:15		12:28		13:45		14:43	15:43			16:45			17:38	19:01	19:42	20:09	20:46			
幸町-B		07:00	07:16		07:36			08:01			08:41	09:16	10:14		11:16		12:29		13:46		14:44	15:44			16:46			17:39	19:02	19:43	20:10	20:47			
本多町-B		07:01	07:18		07:38			08:03			08:43	09:18	10:16		11:18		12:31		13:48		14:46	15:46			16:48			17:41	19:04	19:44	20:11	20:48			
広坂（金沢２１世紀美術館前）		07:02	07:19		07:39			08:04			08:44	09:19	10:17		11:19		12:32		13:49		14:47	15:47			16:49			17:42	19:05	19:45	20:12	20:49			
香林坊（日銀前）		07:05	07:22		07:42			08:07		07:50	08:47	09:22	10:20		11:22		12:35		13:52		14:50	15:50		16:30	16:52		17:15	17:45	19:08	19:48	20:15	20:52			
南町-B			07:23		07:44			08:09		07:52	08:49	09:23	10:21		11:23		12:36		13:53		14:51	15:51		16:31	16:53		17:16	17:47	19:09	19:49	20:16	20:53			
武蔵ヶ辻（めいてつエムザ前）			07:25		07:46			08:11		07:54	08:51	09:25	10:23		11:25		12:38		13:55		14:53	15:53		16:33	16:55		17:18	17:49	19:11	19:51	20:18	20:55			
武蔵ヶ辻（ホリデイ・イン金沢前）			07:25		07:46			08:11		07:54	08:51	09:25	10:23		11:25		12:38		13:55		14:53	15:53		16:33	16:55		17:18	17:49	19:11	19:51	20:18	20:55			
六枚町（金石方向）			07:28		07:49			08:14		07:57	08:54	09:28	10:26		11:28		12:41		13:58		14:56	15:56		16:36	16:58		17:21	17:52	19:14	19:53	20:20	20:57			
広岡口（朱鷺の苑前）			07:30		07:51			08:16		07:59	08:56	09:30	10:28		11:30		12:43		14:00		14:58	15:58		16:38	17:00		17:23	17:54	19:16	19:55	20:22	20:59			
金沢駅西口降車			07:35		07:57			08:21		08:04	09:01	09:35	10:33		11:35		12:48		14:05		15:03	16:03		16:43	17:05		17:28	17:59	19:21	20:00	20:27	21:04			
金沢駅西口【６】	06:45		07:35	07:10	07:57	07:23	07:26	08:21	07:50	08:04	09:01	09:35	10:33	10:50	11:35	11:25	12:48	13:15	14:05	13:50	15:03	16:03	15:45	16:43	17:05	17:00	17:28	17:59	19:21	20:00	20:27	21:04			
広岡-A	06:47		07:37	07:12	07:59	07:25	07:28	08:23	07:52	08:06	09:03	09:37	10:35	10:52	-	11:27	12:50	13:17	-	13:52	15:05	-	15:47	16:45	-	17:02	-	18:01	-	-	-	-			
西念南-A	06:48		07:38	07:13	08:00	07:26	07:29	08:24	07:53	08:07	09:04	09:38	10:36	10:53	-	11:28	12:51	13:18	-	13:53	15:06	-	15:48	16:46	-	17:03	-	18:02	-	-	-	-			
西念西-A	06:49		07:39	07:14	08:01	07:27	07:30	08:25	07:54	08:08	09:05	09:39	10:37	10:54	-	11:29	12:52	13:19	-	13:54	15:07	-	15:49	16:47	-	17:04	-	18:03	-	-	-	-			
勤労者プラザ前-A	-		-	-	-	-	-	-	-	-	-	-	-	-	11:37	-	-	-	14:07	-	-	16:05	-	-	17:07	-	17:30	-	19:23	20:02	20:29	21:06			
西念東-A	-		-	-	-	-	-	-	-	-	-	-	-	-	11:38	-	-	-	14:08	-	-	16:06	-	-	17:08	-	17:31	-	19:24	20:03	20:30	21:07			
西念-A	-		-	-	-	-	-	-	-	-	-	-	-	-	11:39	-	-	-	14:09	-	-	16:07	-	-	17:09	-	17:32	-	19:25	20:04	20:31	21:08			
双葉町	-		-	-	-	-	-	-	-	-	-	-	-	-	11:41	-	-	-	14:11	-	-	16:09	-	-	17:11	-	17:34	-	19:27	20:06	20:33	21:10			
諸江団地-A	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17:35	-	-	-	-	21:11			
南新保口-A	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17:36	-	-	-	-	21:12			
三浦住宅前-A	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17:37	-	-	-	-	21:13			
鞍月-A	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17:39	-	-	-	-	21:15			
駅西合庁前（西念南から）	06:50		07:40	07:15	08:02	07:28	07:31	08:26	07:55	08:09	09:06	09:40	10:38	10:55	-	11:30	12:53	13:20	-	13:55	15:08	-	15:50	16:48	-	17:05	-	18:04	-	-	-	-			
駅西合庁前（西念東から）	-		-	-	-	-	-	-	-	-	-	-	-	-	11:43	-	-	-	14:13	-	-	16:11	-	-	17:13	-	-	-	19:29	20:08	20:35	-			
中央病院前	06:53		07:43	-	08:05	-	-	08:29	-	-	09:09	09:43	10:41	10:58	-	11:33	12:56	-	-	-	15:11	-	-	-	-	-	-	18:07	-	-	-	-			
映寿会みらい病院	06:54		07:44	-	08:06	-	-	08:30	-	-	09:10	09:44	10:42	10:59	-	11:34	12:57	-	-	-	15:12	-	-	-	-	-	-	18:08	-	-	-	-			
県庁前-A	06:55		07:45	07:18	08:07	07:31	07:34	08:31	07:58	08:12	09:11	09:45	10:43	11:00	11:46	11:35	12:58	13:23	14:16	13:58	15:13	16:14	15:53	16:51	17:16	17:08	-	18:09	19:32	20:11	20:38	-			
藤江北-A	06:56		07:46	07:19	08:08	07:32	07:35	08:32	07:59	08:13	09:12	09:46	10:44	11:01	-	11:36	12:59	13:24	-	13:59	15:14	-	15:54	16:52	-	17:09	-	18:10	-	-	-	-			
市立工業高校東口	06:57		07:47	07:20	08:09	07:33	07:36	08:33	08:00	08:14	09:13	09:47	10:45	11:02	-	11:37	13:00	13:25	-	14:00	15:15	-	15:55	16:53	-	17:10	-	18:11	-	-	-	-			
金沢西高校-A	06:58		07:48	07:21	08:10	07:34	07:37	08:34	08:01	08:15	09:14	09:48	10:46	11:03	-	11:38	13:01	13:26	-	14:01	15:16	-	15:56	16:54	-	17:11	-	18:12	-	-	-	-			
工業試験場	07:01		07:49	07:24	08:11	07:37	07:40	08:46	08:04	08:21	09:15	09:58	10:47	11:04	-	11:41	13:02	13:27	-	14:04	15:26	-	15:59	17:01	-	17:12	-	18:24	-	-	-	-			
戸水西-A			07:53		08:15						09:19		10:51	11:08	-		13:06	13:31	-			-			-	17:16	-		-	-	-	-			
消費生活支援センター			08:03		08:31						09:28		11:01	11:11	-		13:16	13:34	-			-			-	17:19	-		-	-	-	-			
大友１丁目-A															11:49				14:19			16:17			17:19		-		19:35	20:14	20:41	-			
大友															11:50				14:20			16:18			17:20		17:40		19:36	20:15	20:42	21:16			
戸水															11:57				14:27			16:25			17:27		17:43		19:43	20:20	20:47	21:21			
