始発停留所	門前-A	門前-A	門前-A		
始発時間	13:15	15:40	17:30		
終点時間	13:45	16:10	18:00		
終点停留所	山是清-A	山是清-A	山是清-A		
備考					
門前-A	13:15	15:40	17:30		
立町-B	13:16	15:41	17:31		
総持寺前-B	13:17	15:42	17:32		
林業センター前-B	13:18	15:43	17:33		
勝田口-A	13:19	15:44	17:34		
東道下-B	13:20	15:45	17:35		
道下-B	13:21	15:46	17:36		
西道下-B	13:22	15:47	17:37		
道下栄町-B	13:23	15:48	17:38		
黒島-B	13:24	15:49	17:39		
南黒島-B	13:25	15:50	17:40		
大口-B	13:26	15:51	17:41		
北川-B	13:28	15:53	17:43		
池田-C	13:30	15:55	17:45		
南-A	13:32	15:57	17:47		
鍛冶屋口-A	13:34	15:59	17:49		
中田-A	13:35	16:00	17:50		
椎木口-A	13:38	16:03	17:53		
小山-A	13:39	16:04	17:54		
大切口-A	13:41	16:06	17:56		
二又-A	13:42	16:07	17:57		
江崎-A	13:43	16:08	17:58		
山是清-A	13:45	16:10	18:00		
