終点停留所	兼六園下（北鉄車庫前）	小立野大学病院前（降車場）	星稜高校（駐車場内）	御所二丁目	金大附校自衛隊前-B	星稜高校（駐車場内）	兼六園下（北鉄車庫前）	星稜高校（駐車場内）	小立野大学病院前（降車場）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	柳橋-A	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	柳橋-A	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	柳橋-A	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	柳橋-A	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	柳橋-A	兼六園下（北鉄車庫前）	
備考					学期休み期間、運休						ノンステップバス				ノンステップバス		ノンステップバス								ノンステップバス		ノンステップバス																ノンステップバス							
森戸-B	06:38	06:54	-	07:08	07:18	07:18	07:29	07:39	07:49	-	08:04	08:24	08:44	09:04	-	09:24	09:44	10:14	10:44	-	11:14	11:44	12:09	12:34	13:01	-	13:34	14:04	14:34	15:01	15:29	-	15:54	16:16	16:39	17:06	17:36	-	17:59	18:19	-	18:44	19:08	19:33	19:55	20:18	20:53	21:18	21:38	
新保本町-B	06:39	06:55	-	07:09	07:19	07:19	07:30	07:40	07:50	-	08:05	08:25	08:45	09:05	-	09:25	09:45	10:15	10:45	-	11:15	11:45	12:10	12:35	13:02	-	13:35	14:05	14:35	15:02	15:30	-	15:55	16:17	16:40	17:07	17:37	-	18:00	18:20	-	18:45	19:09	19:34	19:56	20:19	20:54	21:19	21:39	
八日市出町-B	06:40	06:56	-	07:10	07:20	07:20	07:31	07:41	07:51	-	08:06	08:26	08:46	09:06	-	09:26	09:46	10:16	10:46	-	11:16	11:46	12:11	12:36	13:03	-	13:36	14:06	14:36	15:03	15:31	-	15:56	16:18	16:41	17:08	17:38	-	18:01	18:21	-	18:46	19:10	19:35	19:57	20:20	20:55	21:20	21:40	
西金三丁目（上荒屋から）	06:41	06:57	-	07:11	07:21	07:21	07:32	07:42	07:52	-	08:07	08:27	08:47	09:07	-	09:27	09:47	10:17	10:47	-	11:17	11:47	12:12	12:37	13:04	-	13:37	14:07	14:37	15:04	15:32	-	15:57	16:19	16:42	17:09	17:39	-	18:02	18:22	-	18:47	19:11	19:36	19:58	20:21	20:56	21:21	21:41	
西金新町-B	06:42	06:58	-	07:12	-	07:22	07:33	07:43	07:53	-	08:08	08:28	08:48	09:08	-	09:28	09:48	10:18	10:48	-	11:18	11:48	12:13	12:38	13:05	-	13:38	14:08	14:38	15:05	15:33	-	15:58	16:20	16:43	17:10	17:40	-	18:03	18:23	-	18:48	19:12	19:37	19:59	20:22	20:57	21:22	21:42	
保古町-B	06:43	06:59	-	07:13	-	07:23	07:34	07:44	07:54	-	08:09	08:29	08:49	09:09	-	09:29	09:49	10:19	10:49	-	11:19	11:49	12:14	12:39	13:06	-	13:39	14:09	14:39	15:06	15:34	-	15:59	16:21	16:44	17:11	17:41	-	18:04	18:24	-	18:49	19:13	19:38	20:00	20:23	20:58	21:23	21:43	
糸田町-B	06:44	07:00	-	07:14	-	07:24	07:35	07:45	07:55	-	08:10	08:30	08:50	09:10	-	09:30	09:50	10:20	10:50	-	11:20	11:50	12:15	12:40	13:07	-	13:40	14:10	14:40	15:07	15:35	-	16:00	16:22	16:45	17:12	17:42	-	18:05	18:25	-	18:50	19:14	19:39	20:01	20:24	20:59	21:24	21:44	
新神田（増泉方向）	06:46	07:04	-	07:16	-	07:26	07:39	07:49	07:59	-	08:14	08:34	08:54	09:14	-	09:34	09:54	10:24	10:54	-	11:24	11:54	12:19	12:44	13:11	-	13:44	14:14	14:44	15:11	15:39	-	16:04	16:26	16:49	17:16	17:46	-	18:09	18:29	-	18:54	19:16	19:41	20:03	20:26	21:01	21:26	21:46	
増泉（片町方向）	06:48	07:06	-	07:18	-	07:28	07:41	07:51	08:01	-	08:16	08:36	08:56	09:16	-	09:36	09:56	10:26	10:56	-	11:26	11:56	12:21	12:46	13:13	-	13:46	14:16	14:46	15:13	15:41	-	16:06	16:28	16:51	17:18	17:48	-	18:11	18:31	-	18:56	19:18	19:43	20:05	20:28	21:03	21:28	21:48	
増泉一丁目-B	06:49	07:08	-	07:19	-	07:29	07:43	07:53	08:03	-	08:18	08:38	08:58	09:17	-	09:37	09:57	10:27	10:57	-	11:27	11:57	12:22	12:47	13:14	-	13:47	14:17	14:47	15:14	15:42	-	16:07	16:29	16:52	17:19	17:49	-	18:12	18:32	-	18:57	19:19	19:44	20:06	20:29	21:04	21:29	21:49	
白菊町-B	06:50	07:09	-	07:20	-	07:30	07:44	07:54	08:04	-	08:19	08:39	08:59	09:18	-	09:38	09:58	10:28	10:58	-	11:28	11:58	12:23	12:48	13:15	-	13:48	14:18	14:48	15:15	15:43	-	16:08	16:30	16:53	17:20	17:50	-	18:13	18:33	-	18:58	19:20	19:45	20:07	20:30	21:05	21:30	21:50	
片町	06:53	07:13	07:25	07:23	-	07:33	07:48	07:58	08:08	08:15	08:23	08:43	09:03	09:21	09:28	09:41	10:01	10:31	11:01	11:28	11:31	12:01	12:26	12:51	13:18	13:35	13:51	14:21	14:51	15:18	15:46	15:55	16:11	16:33	16:56	17:23	17:53	17:55	18:16	18:36	18:35	19:01	19:23	19:48	20:10	20:33	21:08	21:33	21:53	
香林坊（日銀前）	-	-	07:27	07:24	-	07:34	-	08:00	-	-	-	08:45	-	09:23	-	-	10:03	-	11:03	-	11:33	-	-	-	13:20	-	-	14:23	14:53	-	15:48	-	-	-	-	17:25	-	-	18:18	18:38	-	-	19:24	-	20:11	-	-	21:34	-	
香林坊（中央公園前）	06:54	07:15	-	-	-	-	07:50	-	08:10	08:17	08:25	-	09:05	-	09:30	09:43	-	10:33	-	11:30	-	12:03	12:28	12:53	-	13:37	13:53	-	-	15:20	-	15:57	16:13	16:35	16:58	-	17:55	17:57	-	-	18:37	19:03	-	19:49	-	20:34	21:09	-	21:54	
広坂（しいのき迎賓館前）	06:55	07:16	-	-	-	-	07:51	-	08:11	08:18	08:26	-	09:06	-	09:31	09:44	-	10:34	-	11:31	-	12:04	12:29	12:54	-	13:38	13:54	-	-	15:21	-	15:58	16:14	16:36	16:59	-	17:56	17:58	-	-	18:38	19:04	-	19:50	-	20:35	21:10	-	21:55	
兼六園下（北鉄車庫前）	07:03	-	-	-	-	-	08:02	-	-	08:32	08:37	-	09:17	-	09:43	09:55	-	10:45	-	11:43	-	12:15	12:40	13:05	-	13:50	14:05	-	-	15:32	-	16:10	16:25	16:47	17:10	-	18:07	18:10	-	-	18:50	19:15	-	19:58	-	20:43	21:18	-	22:03	
南町-B		-	07:28	07:26	-	07:36		08:02	-			08:47		09:25			10:05		11:05		11:35				13:22			14:25	14:55		15:50					17:27			18:20	18:40			19:26		20:13			21:36		
武蔵ヶ辻（めいてつエムザ前）		-	07:30	07:27	-	07:37		08:04	-			08:49		09:27			10:07		11:07		11:37				13:24			14:27	14:57		15:52					17:29			18:22	18:42			19:27		20:14			21:37		
彦三-A		-	07:32	07:28	-	07:38		08:05	-			08:50		09:28			10:08		11:08		11:38				13:25			14:28	14:58		15:53					17:30			18:23	18:43			19:28		20:15			21:38		
瓢箪町-A		-	07:33	07:29	-	07:39		08:06	-			08:51		09:29			10:09		11:09		11:39				13:26			14:29	14:59		15:54					17:31			18:24	18:44			19:29		20:16			21:39		
小橋町-A		-	07:34	07:30	-	07:40		08:07	-			08:52		09:30			10:10		11:10		11:40				13:27			14:30	15:00		15:55					17:32			18:25	18:45			19:30		20:17			21:40		
森山二丁目（山の上方向）		-	07:35	07:31	-	07:41		08:08	-			08:53		09:31			10:11		11:11		11:41				13:28			14:31	15:01		15:56					17:33			18:26	18:46			19:31		20:18			21:41		
山の上（鳴和方向）		-	07:36	07:32	-	07:42		08:09	-			08:54		09:32			10:12		11:12		11:42				13:29			14:32	15:02		15:57					17:34			18:27	18:47			19:32		20:19			21:42		
春日町（山の上から）		-	07:39	07:34	-	07:44		08:11	-			08:56		09:34			10:14		11:14		11:44				13:31			14:34	15:04		15:59					17:36			18:29	18:49			19:34		20:21			21:44		
