始発停留所	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市市役所	野々市車庫-B	野々市市役所	野々市車庫-B	野々市市役所	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市市役所	野々市車庫-B	野々市市役所	野々市車庫-B	野々市市役所	野々市市役所	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B			
金沢駅【降車場】	07:42	08:16	08:36	09:16	09:46	10:16	10:51	11:21	12:01	12:39	13:19	13:54	14:19	15:19	15:49	16:39	17:19	18:04	18:39	19:24	20:12	21:02			
金沢駅西口降車																									
金沢駅西口【６】																									
広岡-A																									
西念南-A																									
西念西-A																									
駅西合庁前（西念南から）																									
県庁前-D																									
二万堂-B																									
有松（二万堂から）																									
有松（泉が丘方向）																									
泉が丘（円光寺方向）																									
金沢工業大学（四十万から）																									
三馬日赤病院前-B																									
錦丘高校前（窪方向）																									
窪（市内方向）																									
円光寺（市内方向）																									
泉丘高校前-B																									
市総合体育館前-C																									
二水高校前-A																									
平和町（公民館前）																									
平和町（アルコ前）																									
金大附校自衛隊前-B																									
