終点停留所	上荒屋西-A	上荒屋西-A	いなほ工業団地	上荒屋西-A	やすらぎホーム前	上荒屋西-A	上荒屋西-A	やすらぎホーム前	上荒屋西-A	上荒屋西-A	上荒屋西-A	上荒屋西-A	やすらぎホーム前	上荒屋西-A	上荒屋西-A	いなほ工業団地	上荒屋西-A	やすらぎホーム前	上荒屋西-A	上荒屋西-A	上荒屋西-A	上荒屋西-A	やすらぎホーム前	上荒屋西-A	上荒屋西-A	上荒屋西-A	上荒屋西-A	上荒屋西-A	やすらぎホーム前	上荒屋西-A	上荒屋西-A	上荒屋西-A	上荒屋西-A	上荒屋西-A	上荒屋西-A	上荒屋西-A	上荒屋西-A	上荒屋西-A		
備考				ノンステップバス											ノンステップバス	ノンステップバス																								
増泉一丁目-A	07:26	07:11	07:48	08:12	-	08:53	09:21	-	09:48	10:18	10:50	11:10	-	11:33	12:03	12:26	12:58	-	13:36	14:03	14:31	15:03	-	15:33	16:02	16:31	17:03	17:31	-	18:08	18:36	19:03	19:34	20:08	20:38	21:08	21:38	22:08		
増泉（新神田方向）	07:28	07:13	07:50	08:14	-	08:55	09:23	-	09:50	10:20	10:52	11:12	-	11:35	12:05	12:28	13:00	-	13:38	14:05	14:33	15:05	-	15:35	16:04	16:33	17:05	17:33	-	18:10	18:38	19:05	19:36	20:10	20:40	21:10	21:40	22:10		
新神田（上荒屋方向）	07:31	07:15	07:52	08:17	-	08:57	09:26	-	09:52	10:22	10:55	11:15	-	11:37	12:07	12:31	13:02	-	13:41	14:07	14:36	15:07	-	15:37	16:07	16:36	17:07	17:36	-	18:12	18:41	19:07	19:39	20:12	20:42	21:12	21:42	22:12		
糸田町-A	07:32	07:16	07:53	08:18	-	08:58	09:27	-	09:53	10:23	10:56	11:16	-	11:38	12:08	12:32	13:03	-	13:42	14:08	14:37	15:08	-	15:38	16:08	16:37	17:08	17:37	-	18:13	18:42	19:08	19:40	20:13	20:43	21:13	21:43	22:13		
保古町-A	07:33	07:17	07:54	08:19	-	08:59	09:28	-	09:54	10:24	10:57	11:17	-	11:39	12:09	12:33	13:04	-	13:43	14:09	14:38	15:09	-	15:39	16:09	16:38	17:09	17:38	-	18:14	18:43	19:09	19:41	20:14	20:44	21:14	21:44	22:14		
西金新町-A	07:34	07:18	07:55	08:20	-	09:00	09:29	-	09:55	10:25	10:58	11:18	-	11:40	12:10	12:34	13:05	-	13:44	14:10	14:39	15:10	-	15:40	16:10	16:39	17:10	17:39	-	18:15	18:44	19:10	19:42	20:15	20:45	21:15	21:45	22:15		
広小路（有松方向）	-	-	-	-	08:33	-	-	09:18	-	-	-	-	10:58	-	-	-	-	13:03	-	-	-	-	15:23	-	-	-	-	-	17:38	-	-	-	-	-	-	-	-	-		
野町-A	-	-	-	-	08:34	-	-	09:19	-	-	-	-	10:59	-	-	-	-	13:04	-	-	-	-	15:24	-	-	-	-	-	17:39	-	-	-	-	-	-	-	-	-		
泉一丁目-A	-	-	-	-	08:35	-	-	09:20	-	-	-	-	11:00	-	-	-	-	13:05	-	-	-	-	15:25	-	-	-	-	-	17:40	-	-	-	-	-	-	-	-	-		
泉二丁目-A	-	-	-	-	08:36	-	-	09:21	-	-	-	-	11:01	-	-	-	-	13:06	-	-	-	-	15:26	-	-	-	-	-	17:41	-	-	-	-	-	-	-	-	-		
有松（郵便局前）	-	-	-	-	08:37	-	-	09:22	-	-	-	-	11:02	-	-	-	-	13:07	-	-	-	-	15:27	-	-	-	-	-	17:42	-	-	-	-	-	-	-	-	-		
二万堂-A	-	-	-	-	08:38	-	-	09:23	-	-	-	-	11:03	-	-	-	-	13:08	-	-	-	-	15:28	-	-	-	-	-	17:43	-	-	-	-	-	-	-	-	-		
伏見橋（八日市方向）	-	-	-	-	08:40	-	-	09:25	-	-	-	-	11:05	-	-	-	-	13:10	-	-	-	-	15:30	-	-	-	-	-	17:45	-	-	-	-	-	-	-	-	-		
押野中央-A	-	-	-	-	08:42	-	-	09:27	-	-	-	-	11:07	-	-	-	-	13:12	-	-	-	-	15:32	-	-	-	-	-	17:47	-	-	-	-	-	-	-	-	-		
押野二丁目-A	-	-	-	-	08:43	-	-	09:28	-	-	-	-	11:08	-	-	-	-	13:13	-	-	-	-	15:33	-	-	-	-	-	17:48	-	-	-	-	-	-	-	-	-		
八日市五丁目-A	-	-	-	-	08:44	-	-	09:29	-	-	-	-	11:09	-	-	-	-	13:14	-	-	-	-	15:34	-	-	-	-	-	17:49	-	-	-	-	-	-	-	-	-		
西金三丁目（上荒屋方向）	07:35	07:19	07:56	08:21	-	09:01	09:30	-	09:57	10:27	11:00	11:20	-	11:42	12:12	12:36	13:07	-	13:46	14:12	14:41	15:12	-	15:42	16:12	16:41	17:12	17:41	-	18:17	18:46	19:12	19:43	20:16	20:46	21:16	21:46	22:16		
八日市出町-A	07:37	07:21	07:58	08:23	-	09:03	09:32	-	09:59	10:29	11:02	11:22	-	11:44	12:14	12:38	13:09	-	13:48	14:14	14:43	15:14	-	15:44	16:14	16:43	17:14	17:43	-	18:19	18:48	19:14	19:45	20:18	20:48	21:18	21:48	22:18		
