終点停留所	神野町-A	打木-B	神野町-A	打木-B	神野町-A	神野町-A	みどり二丁目-B	神野町-A	神野町-A	打木-B	神野町-A	みどり二丁目-B	神野町-A	倉部-A	打木-B	神野町-A	みどり二丁目-B	神野町-A	みどり二丁目-B	神野町-A	神野町-A	打木-B	倉部-A	神野町-A	打木-B	神野町-A	倉部-A	打木-B	神野町-A	打木-B	神野町-A				
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス				
片町（パシオン前）	-	07:25	-	08:12	-	-	09:42	-	-	10:57	-	11:57	-	-	13:27	-	14:17	-	15:12	-	-	16:27	-	-	17:47	-	-	19:17	-	20:55	-				
白菊町-A	-	07:27	-	08:14	-	-	09:44	-	-	10:59	-	11:59	-	-	13:29	-	14:19	-	15:14	-	-	16:29	-	-	17:49	-	-	19:19	-	20:57	-				
増泉一丁目-A	-	07:28	-	08:15	-	-	09:45	-	-	11:00	-	12:00	-	-	13:30	-	14:20	-	15:15	-	-	16:30	-	-	17:50	-	-	19:20	-	20:58	-				
増泉（新神田方向）	-	07:30	-	08:17	-	-	09:47	-	-	11:02	-	12:02	-	-	13:32	-	14:22	-	15:17	-	-	16:32	-	-	17:52	-	-	19:22	-	21:00	-				
新神田（古府方向）	-	07:32	-	08:19	-	-	09:49	-	-	11:04	-	12:04	-	-	13:34	-	14:24	-	15:19	-	-	16:34	-	-	17:54	-	-	19:24	-	21:02	-				
米丸学校前（新神田から）	-	07:34	-	08:21	-	-	09:51	-	-	11:06	-	12:06	-	-	13:36	-	14:26	-	15:21	-	-	16:36	-	-	17:56	-	-	19:26	-	21:04	-				
間明二丁目-A	-	07:35	-	08:22	-	-	09:52	-	-	11:07	-	12:07	-	-	13:37	-	14:27	-	15:22	-	-	16:37	-	-	17:57	-	-	19:27	-	21:05	-				
古府南-A	-	07:36	-	08:23	-	-	09:53	-	-	11:08	-	12:08	-	-	13:38	-	14:28	-	15:23	-	-	16:38	-	-	17:58	-	-	19:28	-	21:06	-				
松島（神野町方向）	07:31	-	08:08	-	08:43	09:43	-	10:18	10:58	-	11:48	-	12:43	-	-	14:18	-	14:58	-	15:48	16:18	-	-	17:43	-	18:48	-	-	20:16	-	21:41				
神野町-A	07:35	-	08:10	-	08:45	09:45	-	10:20	11:00	-	11:50	-	12:45	-	-	14:20	-	15:00	-	15:50	16:20	-	-	17:45	-	18:50	-	-	20:20	-	21:45				
松島（松島北方向）	-	07:37	-	08:24	-	-	09:54	-	-	11:09	-	12:09	-	13:13	13:39	-	14:29	-	15:24	-	-	16:39	16:58	-	17:59	-	19:08	19:29	-	21:07	-				
松島北-A	-	07:39	-	08:26	-	-	09:56	-	-	11:11	-	12:11	-	13:15	13:41	-	14:31	-	15:26	-	-	16:41	17:00	-	18:01	-	19:10	19:31	-	21:09	-				
ＪＡ二塚支店前（みどり方向）	-	07:40	-	08:27	-	-	09:57	-	-	11:12	-	12:12	-	13:16	13:42	-	14:32	-	15:27	-	-	16:42	17:01	-	18:02	-	19:11	19:32	-	21:10	-				
二塚（みどり方向）	-	07:41	-	08:28	-	-	09:58	-	-	11:13	-	12:13	-	13:17	13:43	-	14:33	-	15:28	-	-	16:43	17:02	-	18:03	-	19:12	19:33	-	21:11	-				
みどり一丁目（郊外方向）	-	07:42	-	08:29	-	-	09:59	-	-	11:14	-	12:14	-	13:18	13:44	-	14:34	-	15:29	-	-	16:44	17:03	-	18:04	-	19:13	19:34	-	21:12	-				
みどり中央（郊外方向）	-	07:43	-	08:30	-	-	10:00	-	-	11:15	-	12:15	-	-	13:45	-	14:35	-	15:30	-	-	16:45	-	-	18:05	-	-	19:35	-	21:13	-				
みどり二丁目-B	-	-	-	-	-	-	10:08	-	-	-	-	12:23	-	-	-	-	14:43	-	15:38	-	-	-	-	-	-	-	-	-	-	-	-				
安原保育園前-B	-	07:44	-	08:31	-	-		-	-	11:16	-		-	-	13:46	-		-		-	-	16:46	-	-	18:06	-	-	19:36	-	21:14	-				
福増北口-A	-	07:45	-	08:32	-	-		-	-	11:17	-		-	-	13:47	-		-		-	-	16:47	-	-	18:07	-	-	19:37	-	21:15	-				
安原工業団地北口-A	-	07:46	-	08:33	-	-		-	-	11:18	-		-	-	13:48	-		-		-	-	16:48	-	-	18:08	-	-	19:38	-	21:16	-				
安原工業団地中央-A	-	07:47	-	08:34	-	-		-	-	11:19	-		-	-	13:49	-		-		-	-	16:49	-	-	18:09	-	-	19:39	-	21:17	-				
安原工業団地南口-A	-	07:47	-	08:34	-	-		-	-	11:19	-		-	-	13:49	-		-		-	-	16:49	-	-	18:09	-	-	19:39	-	21:18	-				
打木南口-A	-	07:49	-	08:36	-	-		-	-	11:21	-		-	-	13:51	-		-		-	-	16:51	-	-	18:11	-	-	19:41	-	21:19	-				
打木-B	-	07:55	-	08:53	-	-		-	-	11:28	-		-	-	13:58	-		-		-	-	17:03	-	-	18:23	-	-	19:48	-	21:25	-				
尾山台高校-A	-		-		-	-		-	-		-		-	13:19		-		-		-	-		17:04	-		-	19:14		-		-				
上安原-A	-		-		-	-		-	-		-		-	13:20		-		-		-	-		17:05	-		-	19:15		-		-				
中屋	-		-		-	-		-	-		-		-	13:21		-		-		-	-		17:06	-		-	19:16		-		-				
下福増	-		-		-	-		-	-		-		-	13:22		-		-		-	-		17:07	-		-	19:17		-		-				
八田中口	-		-		-	-		-	-		-		-	13:24		-		-		-	-		17:09	-		-	19:19		-		-				
八田中	-		-		-	-		-	-		-		-	13:25		-		-		-	-		17:10	-		-	19:20		-		-				
八田	-		-		-	-		-	-		-		-	13:26		-		-		-	-		17:11	-		-	19:21		-		-				
一塚-A	-		-		-	-		-	-		-		-	13:27		-		-		-	-		17:12	-		-	19:22		-		-				
倉部-A	-		-		-	-		-	-		-		-	13:35		-		-		-	-		17:20	-		-	19:25		-		-				
