終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】
備考					ノンステップバス																	ノンステップバス	ノンステップバス				ノンステップバス						ノンステップバス												
大額二丁目-B	06:16	-	07:06	-	-	07:36	08:01	08:26	-	08:56	-	-	10:01	-	-	10:56	-	11:36	-	12:16	12:36	-	13:16	-	14:01	14:21	-	15:06	-	-	16:01	-	16:36	-	-	17:31	-	-	18:31	-	-	19:36	-	-	21:01
光が丘口（四十万から）	06:17	-	07:07	-	-	07:37	08:02	08:27	-	08:57	-	-	10:02	-	-	10:57	-	11:37	-	12:17	12:37	-	13:17	-	14:02	14:22	-	15:07	-	-	16:02	-	16:37	-	-	17:32	-	-	18:32	-	-	19:37	-	-	21:02
光が丘口（額住宅駅から）	-	06:50	-	-	07:48	-	-	-	08:48	-	-	09:50	-	-	10:37	-	-	-	11:52	-	-	-	-	13:49	-	-	14:47	-	-	15:48	-	-	-	16:52	-	-	17:52	-	-	18:52	-	-	20:02	-	-
高尾南三丁目-B	06:18	06:51	07:08	-	07:49	07:38	08:03	08:28	08:49	08:58	-	09:51	10:03	-	10:38	10:58	-	11:38	11:53	12:18	12:38	-	13:18	13:50	14:03	14:23	14:48	15:08	-	15:49	16:03	-	16:38	16:53	-	17:33	17:53	-	18:33	18:53	-	19:38	20:03	-	21:03
高尾南一丁目-B	06:19	06:52	07:09	07:23	07:50	07:40	08:05	08:30	08:51	09:00	09:26	09:53	10:05	10:26	10:40	11:00	11:19	11:40	11:55	12:20	12:40	12:58	13:20	13:52	14:05	14:25	14:50	15:10	15:28	15:51	16:05	16:18	16:40	16:55	17:13	17:35	17:55	18:12	18:34	18:54	19:16	19:39	20:04	20:31	21:04
高尾新町-B	06:20	06:53	07:10	07:24	07:51	07:41	08:06	08:31	08:52	09:01	09:27	09:54	10:06	10:27	10:41	11:01	11:20	11:41	11:56	12:21	12:41	12:59	13:21	13:53	14:06	14:26	14:51	15:11	15:29	15:52	16:06	16:19	16:41	16:56	17:14	17:36	17:56	18:13	18:35	18:55	19:17	19:40	20:05	20:32	21:05
窪南（市内方向）	06:21	06:54	07:11	07:25	07:52	07:42	08:07	08:32	08:53	09:02	09:28	09:55	10:07	10:28	10:42	11:02	11:21	11:42	11:57	12:22	12:42	13:00	13:22	13:54	14:07	14:27	14:52	15:12	15:30	15:53	16:07	16:20	16:42	16:57	17:15	17:37	17:57	18:14	18:36	18:56	19:18	19:41	20:06	20:33	21:06
窪南（伏見台方向）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
伏見台（市内方向）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
窪（市内方向）	06:22	06:56	07:12	07:27	07:53	07:44	08:09	08:34	08:55	09:04	09:30	09:57	10:09	10:30	10:44	11:04	11:23	11:44	11:59	12:24	12:44	13:02	13:24	13:56	14:09	14:29	14:54	15:14	15:32	15:55	16:09	16:22	16:44	16:59	17:17	17:39	17:59	18:16	18:37	18:57	19:19	19:42	20:07	20:34	21:07
