終点時間	07:41	08:11	08:26	08:33	08:16	09:08	08:44	09:25	09:35	09:50	10:11	10:45	10:48	10:58	11:15	11:45	12:05	12:26	12:45	13:00	13:08	13:50	14:00	14:15	14:30	14:56	15:15	15:35	15:53	16:08	16:09	16:41	17:00	17:15	17:30	17:51	18:15	18:20	18:23	18:51	19:05	19:22	19:35	19:53	20:15	20:45	20:55	21:06	21:45	21:46	22:20	22:14			
終点停留所	南四十万二丁目	南四十万二丁目	四十万-A	南四十万二丁目	如来寺前（旭町方向）	南部車庫-A	兼六園下（北鉄車庫前）	南部車庫-A	南部車庫-A	南部車庫-A	南四十万二丁目	南部車庫-A	四十万-A	四十万-A	南部車庫-A	南部車庫-A	南四十万二丁目	山島台四丁目-B	南部車庫-A	南部車庫-A	四十万-A	山島台四丁目-B	南部車庫-A	南部車庫-A	南部車庫-A	南四十万二丁目	南部車庫-A	山島台四丁目-B	四十万-A	四十万-A	兼六園下（北鉄車庫前）	南四十万二丁目	南部車庫-A	南部車庫-A	南部車庫-A	南四十万二丁目	山島台四丁目-B	南部車庫-A	四十万-A	南四十万二丁目	南部車庫-A	南部車庫-A	南部車庫-A	南四十万二丁目	南部車庫-A	山島台四丁目-B	南部車庫-A	四十万-A	山島台四丁目-B	南四十万二丁目	南部車庫-A	兼六園下（北鉄車庫前）			
備考		ノンステップバス			ノンステップバス		ノンステップバス	ノンステップバス			ノンステップバス				ノンステップバス				ノンステップバス	ノンステップバス									ノンステップバス							ノンステップバス			ノンステップバス			ノンステップバス					ノンステップバス								
北町西-B	06:54	07:14	07:32	07:36	-	08:07	08:14	08:24	08:39	08:54	09:19	09:49	09:59	10:09	10:19	10:49	11:13	11:25	11:49	12:04	12:19	12:49	13:04	13:19	13:34	14:04	14:19	14:34	15:04	15:19	15:39	15:49	16:04	16:19	16:34	16:59	17:14	17:24	17:34	17:54	18:04	18:21	18:34	18:56	19:14	19:44	19:59	20:17	20:44	20:59	21:29	21:54			
北町-B	06:55	07:15	07:33	07:37	-	08:08	08:15	08:25	08:40	08:55	09:20	09:50	10:00	10:10	10:20	10:50	11:14	11:26	11:50	12:05	12:20	12:50	13:05	13:20	13:35	14:05	14:20	14:35	15:05	15:20	15:40	15:50	16:05	16:20	16:35	17:00	17:15	17:25	17:35	17:55	18:05	18:22	18:35	18:57	19:15	19:45	20:00	20:18	20:45	21:00	21:30	21:55			
中央市場口-B	06:56	07:17	07:35	07:39	-	08:10	08:16	08:27	08:41	08:56	09:21	09:51	10:01	10:11	10:21	10:51	11:15	11:27	11:51	12:06	12:21	12:51	13:06	13:21	13:36	14:06	14:21	14:36	15:06	15:21	15:41	15:51	16:06	16:21	16:36	17:01	17:16	17:26	17:36	17:57	18:07	18:24	18:37	18:59	19:17	19:46	20:01	20:19	20:46	21:01	21:31	21:56			
長田町-B	06:58	07:19	07:37	07:41	-	08:12	08:18	08:29	08:43	08:58	09:23	09:53	10:03	10:13	10:23	10:53	11:17	11:29	11:53	12:08	12:23	12:53	13:08	13:23	13:38	14:08	14:23	14:38	15:08	15:23	15:43	15:53	16:08	16:23	16:38	17:03	17:18	17:28	17:38	17:59	18:09	18:26	18:39	19:01	19:19	19:48	20:03	20:21	20:48	21:03	21:33	21:58			
長田一丁目-B	06:59	07:20	07:38	07:42	-	08:13	08:19	08:30	08:44	08:59	09:24	09:54	10:04	10:14	10:24	10:54	11:18	11:30	11:54	12:09	12:24	12:54	13:09	13:24	13:39	14:09	14:24	14:39	15:09	15:24	15:44	15:54	16:09	16:24	16:39	17:04	17:19	17:29	17:39	18:00	18:10	18:27	18:40	19:02	19:20	19:49	20:04	20:22	20:49	21:04	21:34	21:59			
中橋-B	07:01	07:22	07:40	07:44	07:49	08:15	08:21	08:32	08:46	09:01	09:26	09:56	10:06	10:16	10:26	10:56	11:20	11:32	11:56	12:11	12:26	12:56	13:11	13:26	13:41	14:11	14:26	14:41	15:11	15:26	15:46	15:56	16:11	16:26	16:41	17:06	17:21	17:31	17:41	18:02	18:12	18:29	18:42	19:04	19:22	19:51	20:06	20:24	20:51	21:06	21:36	22:01			
六枚町（こんや湯前）	07:02	07:24	07:42	07:46	07:52	08:17	08:23	08:34	08:48	09:03	09:28	09:58	10:08	10:18	10:28	10:58	11:22	11:34	11:58	12:13	12:28	12:58	13:13	13:28	13:43	14:13	14:28	14:43	15:13	15:28	15:48	15:58	16:13	16:28	16:43	17:08	17:23	17:33	17:43	18:04	18:14	18:31	18:44	19:06	19:24	19:53	20:08	20:26	20:53	21:07	21:37	22:02			
武蔵ヶ辻（近江町市場前）	07:04	07:27	07:45	07:49	07:55	08:20	-	08:37	08:50	09:05	09:30	10:00	10:10	10:20	10:30	11:00	11:24	11:36	12:00	12:15	12:30	13:00	13:15	13:30	13:45	14:15	14:30	14:45	15:15	15:30	-	16:00	16:15	16:30	16:45	17:10	17:25	17:35	17:45	18:07	18:17	18:34	18:47	19:09	19:27	19:55	20:10	20:28	20:55	21:09	21:39	-			
武蔵ヶ辻（三井住友銀行）	-	-	-	-	-	-	08:25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15:50	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22:04			
武蔵ヶ辻（横安江町）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
