始発停留所	七尾駅前【４】	七尾駅前【４】			
始発時間	09:15	16:10			
終点時間	09:41	16:36			
終点停留所	七原口	七原口			
備考					
七尾駅前【４】	09:15	16:10			
小丸山公園下-C	09:17	16:12			
七尾美術館前-A	-	-			
能登総合病院	-	-			
岩屋（化石層）	-	-			
西藤橋-B	09:19	16:14			
岩屋町-B	09:20	16:15			
七尾警察署前-B	09:21	16:16			
国分-B	09:22	16:17			
細口-B	09:23	16:18			
青葉台-B	09:24	16:19			
白馬口-B	09:25	16:20			
白馬	09:26	16:21			
三階口	09:27	16:22			
盤若野	09:29	16:24			
池崎-A	09:30	16:25			
西池崎-A	09:30	16:25			
町屋口	09:32	16:27			
満仁-A	09:34	16:29			
西下-A	09:35	16:30			
相馬住宅前	09:35	16:30			
温井	09:36	16:31			
伊久留	09:37	16:32			
七原口	09:41	16:36			
中勢橋					
吉田					
