始発停留所	七尾駅前【３】				
始発時間	07:50				
終点時間	09:07				
終点停留所	七尾駅前【１】				
備考					
七尾駅前【３】	07:50				
川原町-C	07:52				
郡町-A	07:53				
湊町口-A	07:54				
矢田新中央-A	07:55				
矢田新東-A	07:56				
万行浜通り-A	07:57				
臼池-A	07:57				
東湊小学校前-A	07:58				
卸売市場前-A	07:59				
太田八幡-A	08:00				
殿-A	08:04				
沢野-A	08:05				
百海-C	08:09				
白鳥-B	08:12				
江泊-B	08:14				
大野木-A	08:17				
湯川口-A	08:19				
湯川温泉-B	08:20				
下湯川-A	08:21				
上湯川-B	08:24				
下湯川-A	08:25				
湯川温泉-B	08:26				
湯川口-A	08:27				
山崎-B	08:28				
崎山郵便局前-B	08:29				
鵜の浦-A	08:30				
川尻-A	08:31				
鹿渡島-B	08:33				
鹿渡島漁港	08:34				
鹿渡島-B	08:35				
福浦-A	08:40				
福留-A	08:41				
三室-B	08:42				
上三室-A	08:44				
此の木-B	08:47				
赤崎温泉-A	08:48				
赤崎-A	08:49				
滝の尻-B	08:50				
海門寺-B	08:51				
太田八幡-B	08:52				
卸売市場前-B	08:53				
東湊小学校前-B	08:54				
臼池-B	08:55				
万行浜通り-B	08:56				
矢田新東-B	08:57				
矢田新中央-B	08:58				
湊町口-B	08:59				
郡町-B	09:00				
川原町-D	09:01				
七尾駅前【ミナ．クル前降車場】	09:06				
七尾駅前【５】	-				
七尾駅前【１】	09:07				
小丸山公園下-A					
小丸山台１丁目-A					
小丸山台２丁目-A					
小丸山台３丁目-A					
能登総合病院					
