始発停留所	平和町市立病院	平和町市立病院	平和町市立病院	平和町市立病院	平和町市立病院	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	平和町市立病院	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	平和町市立病院	金大附校自衛隊前-B	平和町市立病院	平和町市立病院	平和町市立病院	金大附校自衛隊前-B	金大附校自衛隊前-B	平和町市立病院	平和町市立病院	金大附校自衛隊前-B	平和町市立病院	平和町市立病院	平和町市立病院			
始発時間	05:42	06:00	06:30	06:45	07:13	07:20	07:25	07:32	07:43	07:48	07:51	07:53	08:03	08:08	08:14	08:55	08:58	09:32	13:02	13:17	14:56	15:14	15:34	15:54	16:00	16:09	16:19	16:29	17:04	17:15	17:30	17:58	18:08	18:18	18:34	18:59	19:10	19:20	19:44	20:30	21:56	22:27			
終点時間	06:07	06:25	06:55	07:10	07:43	08:10	07:56	08:03	08:14	08:19	08:41	08:24	08:34	08:39	08:45	09:22	09:26	10:00	13:30	13:45	15:27	15:45	16:07	16:27	16:33	16:42	16:52	17:02	17:37	17:47	18:03	18:30	18:33	18:43	19:00	19:25	19:35	19:45	20:10	20:50	22:16	22:47			
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	中央病院前	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	中央病院前	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】			
備考				ノンステップバス			ノンステップバス	ノンステップバス		ノンステップバス		ノンステップバス			ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス		ノンステップバス					ノンステップバス	ノンステップバス		ノンステップバス		ノンステップバス			ノンステップバス	ノンステップバス		ノンステップバス		ノンステップバス					
金大附校自衛隊前-B						07:20	07:25	07:32	07:43	07:48	07:51	07:53	08:03	08:08	08:14		08:58	09:32	13:02	13:17	14:56	15:14	15:34	15:54	16:00	16:09	16:19	16:29	17:04		17:30				18:34	18:59			19:44						
平和町（柳橋方向）						07:22	-	-	-	-	07:53	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-		-				-	-			-						
平和町市立病院	05:42	06:00	06:30	06:45	07:13	-	-	-	-	-	-	-	-	-	-	08:55	-	-	-	-	-	-	-	-	-	-	-	-	-	17:15	-	17:58	18:08	18:18	-	-	19:10	19:20	-	20:30	21:56	22:27			
平和町（金沢駅方向）	05:42	06:00	06:30	06:45	07:13	-	07:26	07:33	07:44	07:49	-	07:54	08:04	08:09	08:15	08:55	08:59	09:33	13:03	13:18	14:57	15:15	15:35	15:55	16:01	16:10	16:20	16:30	17:05	17:15	17:31	17:58	18:08	18:18	18:35	19:00	19:10	19:20	19:45	20:30	21:56	22:27			
十一屋-B	05:43	06:01	06:31	06:46	07:14	07:23	07:27	07:34	07:45	07:50	07:54	07:55	08:05	08:10	08:16	08:56	09:00	09:34	13:04	13:19	14:58	15:16	15:36	15:56	16:02	16:11	16:21	16:31	17:06	17:16	17:32	17:59	18:09	18:19	18:36	19:01	19:11	19:21	19:46	20:31	21:57	22:28			
寺町一丁目（広小路方向）	05:44	06:02	06:32	06:47	07:15	07:25	07:28	07:35	07:46	07:51	07:56	07:56	08:06	08:11	08:17	08:57	09:01	09:35	13:05	13:20	14:59	15:17	15:37	15:57	16:03	16:12	16:22	16:32	17:07	17:17	17:33	18:00	18:10	18:20	18:37	19:02	19:12	19:22	19:47	20:32	21:58	22:29			
寺町二丁目-B	05:45	06:03	06:33	06:48	07:16	07:26	07:29	07:36	07:47	07:52	07:57	07:57	08:07	08:12	08:18	08:58	09:02	09:36	13:06	13:21	15:00	15:18	15:38	15:58	16:04	16:13	16:23	16:33	17:08	17:18	17:34	18:01	18:11	18:21	18:38	19:03	19:13	19:23	19:48	20:33	21:59	22:30			
寺町三丁目-B	05:46	06:04	06:34	06:49	07:17	07:27	07:30	07:37	07:48	07:53	07:58	07:58	08:08	08:13	08:19	08:59	09:03	09:37	13:07	13:22	15:01	15:19	15:39	15:59	16:05	16:14	16:24	16:34	17:09	17:19	17:35	18:02	18:12	18:22	18:39	19:04	19:14	19:24	19:49	20:34	22:00	22:31			
広小路（平和町から）	05:48	06:06	06:36	06:51	07:19	07:28	07:32	07:39	07:50	07:55	07:59	08:00	08:10	08:15	08:21	09:01	09:05	09:39	13:09	13:24	15:03	15:21	15:41	16:01	16:07	16:16	16:26	16:36	17:11	17:21	17:37	18:04	18:14	18:24	18:41	19:06	19:16	19:26	19:51	20:35	22:01	22:32			
片町（ラブロ前）	05:51	06:09	06:39	06:54	07:22	-	07:35	07:42	07:53	07:58	-	08:03	08:13	08:18	08:24	09:04	09:08	09:42	13:12	13:27	15:06	15:24	15:44	16:04	16:10	16:19	16:29	16:39	17:14	17:24	17:40	18:07	18:17	18:27	18:44	19:09	19:19	19:29	19:54	20:38	22:04	22:35			
香林坊（日銀前）	05:53	06:11	06:41	06:56	07:25	-	07:38	07:45	07:56	08:01	-	08:06	08:16	08:21	08:27	09:07	09:11	09:45	13:15	13:30	15:09	15:27	15:47	16:07	16:13	16:22	16:32	16:42	17:17	17:27	17:43	18:10	18:20	18:30	18:46	19:11	19:22	19:32	19:56	20:40	22:06	22:37			
南町-B	05:55	06:13	06:43	06:58	07:27	-	07:40	07:47	07:58	08:03	-	08:08	08:18	08:23	08:29	09:09	09:13	09:47	13:17	13:32	15:11	15:29	15:49	16:09	16:15	16:24	16:34	16:44	17:19	17:29	17:45	18:12	18:22	18:32	18:48	19:13	19:24	19:34	19:58	20:42	22:08	22:39			
武蔵ヶ辻（スカイ前）	05:56	06:14	06:44	06:59	07:29	-	07:42	07:49	08:00	08:05	-	08:10	08:20	08:25	08:31	09:11	09:15	09:49	13:19	13:34	15:13	15:31	15:51	16:11	16:17	16:26	16:36	16:46	17:21	17:31	17:47	18:14	18:24	18:34	18:49	19:14	19:26	19:36	19:59	20:43	22:09	22:40			
六枚町（金沢駅ゆき）	05:58	06:16	06:46	07:01	07:32	-	07:45	07:52	08:03	08:08	-	08:13	08:23	08:28	08:34	09:14	09:18	09:52	13:22	13:37	15:16	15:34	15:54	16:14	16:20	16:29	16:39	16:49	17:24	17:34	17:50	18:17	18:27	18:37	18:51	19:16	19:29	19:39	20:01	20:45	22:11	22:42			
