始発停留所	松任駅前	松任駅前			
始発時間	12:53	18:15			
終点時間	14:28	18:45			
終点停留所	白山体験村	鶴来駅-Z			
備考					
松任駅前	12:53	18:15			
松任（おかりや裏）	12:54	18:16			
広小路（松任）-A	12:55	18:17			
蕪城通り-A	12:55	18:17			
松任合庁前-A	12:56	18:18			
白山市役所前-A	12:57	18:19			
総合運動公園東口-A	12:58	18:20			
松任中央病院-A	12:59	18:21			
翠星高校前-B	13:02	18:24			
三浦-A	13:04	18:26			
木津-B	13:06	18:28			
安養寺	13:08	18:30			
行町	13:10	18:32			
館畑農協前-A	13:11	18:33			
日向-A	13:12	18:34			
中島口	13:13	18:35			
名鉄森島-A	13:14	18:36			
下森島-A	13:15	18:37			
上森島-A	13:16	18:38			
西の村	13:17	18:39			
中村	13:18	18:40			
春の木	13:19	18:41			
白山郷公園前-A	13:20	18:42			
本鶴来-A	13:21	18:43			
大国町-Z	13:22	-			
鶴来駅-C	13:23	-			
つるぎ病院前	13:25	-			
大国町-A	13:27	18:44			
鶴来駅-Z	-	18:45			
鶴来本町-A	13:28				
白山青年の家前-A	13:29				
今町-A	13:30				
一の宮-A	13:31				
白山町	13:32				
白山町中	13:33				
石川県浄水場口	13:33				
南白山町	13:34				
中島	13:35				
口直海-B	13:37				
河内支所前	13:37				
ふじが丘-A	13:38				
下福岡	13:39				
上福岡	13:40				
きりの里	13:40				
江津	13:41				
吉岡	13:43				
黄門橋	13:44				
吉野工芸の里-A	13:45				
下吉野	13:46				
上吉野	13:48				
不老峡	13:49				
佐良	13:51				
瀬波橋	13:52				
市原	13:53				
下木滑	13:54				
上木滑-C	13:55				
木滑新	13:56				
瀬戸野	13:58				
瀬女-A	13:59				
尾口支所前	14:01				
東二口	14:04				
手取ダム前	14:06				
深瀬	14:11				
桑島	14:17				
桑島温泉	14:18				
白峰北口	14:21				
白峰	14:22				
白峰車庫-A	14:23				
白山体験村	14:28				
