始発停留所	金沢駅【１】				
始発時間	14:20				
終点時間	17:19				
終点停留所	大谷-A				
備考					
金沢駅【１】	14:20				
駅西合庁前（西念南から）	14:26				
県庁前-B	14:29				
向陽台（能登特急線）	14:42				
医大病院-B	14:46				
西山ＰＡ-B	15:27				
穴水駅前-D	16:04				
此の木（８番ラーメン向）	16:09				
精育園前-A	16:16				
能登空港	16:23				
桜峠-A	16:32				
中斉-A	16:36				
寺分-A	16:40				
柳田天坂-C	16:42				
柳田天坂-B	16:43				
柳田-B	16:46				
長尾-B	16:51				
町野-B	16:58				
曽々木口-B	17:03				
曽々木-A	17:04				
垂水-A	17:06				
仁江-A	17:09				
片岩	17:12				
大谷-A	17:19				
