始発停留所	七尾駅前【２】	七尾駅前【２】			
始発時間	07:35	16:55			
終点時間	07:59	17:17			
終点停留所	七尾駅前【１】	七尾駅前【１】			
備考					
七尾駅前【２】	07:35	16:55			
川原町-B	07:37	16:57			
本府中-B	07:39	16:59			
鵬学園高校前-A	07:41	17:01			
天神川原-A	07:43	17:03			
児童会館グランド前-A	07:45	17:05			
後畠住宅前-A	07:45	17:05			
古府-A	07:47	17:07			
藤野町-A	07:48	17:08			
本府中-A	07:49	17:09			
川原町-A	07:51	17:11			
七尾駅前【ミナ．クル前降車場】	07:57	17:17			
七尾駅前【１】	07:59	17:17			
