始発停留所	松任駅前	松任駅前	松任駅前		
始発時間	12:25	13:30	17:50		
終点時間	12:51	13:56	18:19		
終点停留所	中島東	中島東	山の庄		
備考					
松任駅前	12:25	13:30	17:50		
松任１	12:26	13:31	17:51		
広小路（松任）-A	12:27	13:32	17:52		
蕪城通り-A	12:28	13:33	17:53		
松任中学校前-A	-	-	17:54		
倉光-A	-	-	17:55		
松任合庁前-A	12:30	13:35	-		
白山市役所前-A	12:31	13:36	17:56		
総合運動公園東口-A	12:32	13:37	17:57		
松任中央病院-A	12:33	13:38	17:58		
開発-B	12:35	13:40	18:00		
平松-A	12:36	13:41	18:01		
林中-A	12:37	13:42	18:02		
乙丸-A	12:38	13:43	18:03		
菅波-B	12:39	13:44	18:04		
藤波	12:40	13:45	18:05		
藤の木-B	12:41	13:46	18:06		
向島-A	12:42	13:47	18:07		
矢頃島-B	12:43	13:48	18:08		
漆島-B	12:44	13:49	18:09		
山島台中央-B	12:45	13:50	18:10		
三反田	12:46	13:51	18:11		
中島農協前	12:47	13:52	18:12		
中島-B	12:48	13:53	18:13		
中島東	12:51	13:56	18:14		
藤蔵			18:15		
山の庄			18:19		
