始発停留所	香林坊（中央公園前）	香林坊（中央公園前）			
始発時間	16:15	18:50			
終点時間	17:21	19:56			
終点停留所	千代野ニュータウン	千代野ニュータウン			
備考					
香林坊（中央公園前）	16:15	18:50			
広坂（石浦神社前）	16:16	18:51			
本多町-A	16:17	18:52			
幸町-A	16:18	18:53			
思案橋-A	16:19	18:54			
菊川一丁目-A	16:21	18:56			
寺町一丁目（猿丸神社前から）	16:23	18:58			
十一屋-A	16:24	18:59			
平和町（長坂方向）	16:25	19:00			
二水高校前-B	16:26	19:01			
泉丘高校前-A	16:29	19:04			
円光寺北-A	16:31	19:06			
伏見台（郊外方向）	16:32	19:07			
錦丘高校前（四十万方向）	16:33	19:08			
三馬日赤病院前-A	16:35	19:10			
金沢工業大学（四十万方向）	16:36	19:11			
扇が丘-A	16:37	19:12			
扇台小学校前-A	16:38	19:13			
光が丘口（額住宅駅方向）	16:39	19:14			
額新町-A	16:41	19:16			
額新保一丁目-A	16:42	19:17			
矢作北-A	16:43	19:18			
三納町-A	16:45	19:20			
明倫高校前（長竹方向）	16:46	19:21			
長竹東	16:48	19:23			
長竹西	16:49	19:24			
若宮体育館前	16:52	19:27			
布市町	16:53	19:28			
松任（郊外方向）	16:56	19:31			
西新町-A	16:57	19:32			
松任高校前-A	16:58	19:33			
南松任（千代野方向）	16:59	19:34			
村井町（千代野方向）	17:01	19:36			
出城公民館前-A	17:02	19:37			
北安田-A	17:03	19:38			
北安田中央-A	17:04	19:39			
北安田南-A	17:04	19:39			
千代野東一丁目-A	17:05	19:40			
千代野東三丁目-A	17:06	19:41			
千代野西二丁目-A	17:07	19:42			
千代野西六丁目-A	17:08	19:43			
千代野西八丁目-A	17:09	19:44			
千代野ニュータウン	17:21	19:56			
