始発停留所	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】			
和倉小学校前	06:54	07:16	07:45	08:16	08:45	09:16	09:45	10:16	10:45	11:16	11:45	12:16	12:45	13:16	13:45	14:16	14:45	15:16	15:45	16:16	16:45	17:16	17:45	18:26	19:05	19:56	20:45			
観光会館前	06:55	07:17	07:46	08:17	08:46	09:17	09:46	10:17	10:46	11:17	11:46	12:17	12:46	13:17	13:46	14:17	14:46	15:17	15:46	16:17	16:46	17:17	17:46	18:27	19:06	19:57	20:46			
和倉温泉	06:56	07:19	07:48	08:19	08:48	09:19	09:48	10:19	10:48	11:19	11:48	12:19	12:48	13:19	13:48	14:19	14:48	15:19	15:48	16:19	16:48	17:19	17:48	18:29	19:08	19:59	20:47			
温泉口-B	06:58	07:23	07:52	08:23	08:52	09:23	09:52	10:23	10:52	11:23	11:52	12:23	12:52	13:23	13:52	14:23	14:52	15:23	15:52	16:23	16:52	17:23	17:52	18:33	19:12	20:03	20:49			
香島中学校前-B	06:59	07:24	07:53	08:24	08:53	09:24	09:53	10:24	10:53	11:24	11:53	12:24	12:53	13:24	13:53	14:24	14:53	15:24	15:53	16:24	16:53	17:24	17:53	18:34	19:13	20:04	20:50			
和倉駅前-B	07:01	07:25	07:54	08:25	08:54	09:25	09:54	10:25	10:54	11:25	11:54	12:25	12:54	13:25	13:54	14:25	14:54	15:25	15:54	16:25	16:54	17:25	17:54	18:35	19:14	20:05	20:52			
石崎口-B	07:02	07:26	07:55	08:26	08:55	09:26	09:55	10:26	10:55	11:26	11:55	12:26	12:55	13:26	13:55	14:26	14:55	15:26	15:55	16:26	16:55	17:26	17:55	18:36	19:15	20:06	20:53			
祖浜-B	07:03	07:27	07:56	08:27	08:56	09:27	09:56	10:27	10:56	11:27	11:56	12:27	12:56	13:27	13:56	14:27	14:56	15:27	15:56	16:27	16:56	17:27	17:56	18:37	19:16	20:07	20:54			
松百-B	07:04	07:28	07:57	08:28	08:57	09:28	09:57	10:28	10:57	11:28	11:57	12:28	12:57	13:28	13:57	14:28	14:57	15:28	15:57	16:28	16:57	17:28	17:57	18:38	19:17	20:08	20:55			
国立七尾病院前-B	07:05	07:29	07:58	08:29	08:58	09:29	09:58	10:29	10:58	11:29	11:58	12:29	12:58	13:29	13:58	14:29	14:58	15:29	15:58	16:29	16:58	17:29	17:58	18:39	19:18	20:09	20:56			
