終点停留所	東部車庫-A	東部車庫-A	東部車庫-A	辰巳丘高校-B	東部車庫-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	東部車庫-A	金沢学院大学-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	金沢学院大学-A	東部車庫-A	金沢学院大学-A	東部車庫-A	金沢学院大学-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	金沢学院大学-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	金沢学院大学-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A		
備考		ノンステップバス	学期休み期間のみ運行	学期休み期間、運休
ノンステップバス	ノンステップバス		ノンステップバス				ノンステップバス	ノンステップバス	学期休み期間のみ運行	学期休み期間、運休
ノンステップバス				ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス	学期休み期間のみ運行	学期休み期間、運休			ノンステップバス		ノンステップバス			ノンステップバス			ノンステップバス		ノンステップバス		ノンステップバス	ノンステップバス				ノンステップバス		ノンステップバス				ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス			ノンステップバス			ノンステップバス						ノンステップバス	ノンステップバス		ノンステップバス								ノンステップバス			
武蔵ヶ辻（近江町市場前）	07:04	07:19	07:29	07:29	07:35	07:40	07:45	07:50	07:55	08:00	08:08	08:18	08:28	08:28	08:38	08:48	08:58	09:08	09:15	09:23	09:38	09:53	10:08	10:08	10:23	10:38	10:53	11:08	11:23	11:38	11:53	12:08	12:23	12:38	12:53	13:08	13:23	13:38	13:53	14:08	14:23	14:38	14:53	15:08	15:23	15:38	15:53	16:08	16:23	16:38	16:53	17:08	17:23	17:38	17:53	18:08	18:28	18:18	18:38	18:48	18:58	19:08	19:18	19:28	19:37	19:57	19:47	20:09	20:24	20:39	20:54	21:09	21:24	21:44	22:04	22:24	22:49	23:29		
南町-A	07:05	07:20	07:30	07:30	07:37	07:42	07:47	07:52	07:57	08:02	08:10	08:20	08:30	08:30	08:40	08:50	09:00	09:10	09:17	09:25	09:40	09:55	10:10	10:10	10:25	10:40	10:55	11:10	11:25	11:40	11:55	12:10	12:25	12:40	12:55	13:10	13:25	13:40	13:55	14:10	14:25	14:40	14:55	15:10	15:25	15:40	15:55	16:10	16:25	16:40	16:55	17:10	17:25	17:40	17:55	18:10	18:30	18:20	18:40	18:50	19:00	19:10	19:20	19:30	19:38	19:58	19:48	20:10	20:25	20:40	20:55	21:10	21:25	21:45	22:05	22:25	22:50	23:30		
香林坊（アトリオ前）	07:07	07:22	07:32	07:32	07:39	07:44	07:49	07:54	07:59	08:04	08:12	08:22	08:32	08:32	08:42	08:52	09:02	09:12	09:19	09:27	09:42	09:57	10:12	10:12	10:27	10:42	10:57	11:12	11:27	11:42	11:57	12:12	12:27	12:42	12:57	13:12	13:27	13:42	13:57	14:12	14:27	14:42	14:57	15:12	15:27	15:42	15:57	16:12	16:27	16:42	16:57	17:12	17:27	17:42	17:57	18:12	18:32	18:22	18:42	18:52	19:02	19:12	19:22	19:32	19:40	20:00	19:50	20:12	20:27	20:42	20:57	21:12	21:27	21:47	22:07	22:27	22:52	23:32		
香林坊（中央公園前）	07:07	07:22	07:32	07:32	07:39	07:44	07:49	07:54	07:59	08:04	08:12	08:22	08:32	08:32	08:42	08:52	09:02	09:12	09:19	09:27	09:42	09:57	10:12	10:12	10:27	10:42	10:57	11:12	11:27	11:42	11:57	12:12	12:27	12:42	12:57	13:12	13:27	13:42	13:57	14:12	14:27	14:42	14:57	15:12	15:27	15:42	15:57	16:12	16:27	16:42	16:57	17:12	17:27	17:42	17:57	18:12	18:32	18:22	18:42	18:52	19:02	19:12	19:22	19:32	19:40	20:00	19:50	20:12	20:27	20:42	20:57	21:12	21:27	21:47	22:07	22:27	22:52	23:32		
広坂（石浦神社前）	07:10	07:25	07:35	07:35	07:42	07:47	07:52	07:57	08:02	08:07	08:15	08:25	08:35	08:35	08:45	08:55	09:05	09:15	09:22	09:30	09:45	10:00	10:15	10:15	10:30	10:45	11:00	11:15	11:30	11:45	12:00	12:15	12:30	12:45	13:00	13:15	13:30	13:45	14:00	14:15	14:30	14:45	15:00	15:15	15:30	15:45	16:00	16:15	16:30	16:45	17:00	17:15	17:30	17:45	18:00	18:15	18:35	18:25	18:45	18:55	19:05	19:15	19:25	19:35	19:43	20:03	19:53	20:15	20:30	20:45	21:00	21:15	21:30	21:50	22:10	22:30	22:55	23:35		
本多町-A	07:11	07:26	07:36	07:36	07:43	07:48	07:53	07:58	08:03	08:08	08:16	08:26	08:36	08:36	08:46	08:56	09:06	09:16	09:23	09:31	09:46	10:01	10:16	10:16	10:31	10:46	11:01	11:16	11:31	11:46	12:01	12:16	12:31	12:46	13:01	13:16	13:31	13:46	14:01	14:16	14:31	14:46	15:01	15:16	15:31	15:46	16:01	16:16	16:31	16:46	17:01	17:16	17:31	17:46	18:01	18:16	18:36	18:26	18:46	18:56	19:06	19:16	19:26	19:36	19:44	20:04	19:54	20:16	20:31	20:46	21:01	21:16	21:31	21:51	22:11	22:31	22:56	23:36		
幸町-A	07:13	07:28	07:38	07:38	07:45	07:50	07:55	08:00	08:05	08:10	08:18	08:28	08:38	08:38	08:48	08:58	09:08	09:18	09:25	09:33	09:48	10:03	10:18	10:18	10:33	10:48	11:03	11:18	11:33	11:48	12:03	12:18	12:33	12:48	13:03	13:18	13:33	13:48	14:03	14:18	14:33	14:48	15:03	15:18	15:33	15:48	16:03	16:18	16:33	16:49	17:04	17:19	17:34	17:49	18:04	18:19	18:39	18:29	18:48	18:58	19:08	19:18	19:28	19:38	19:46	20:06	19:56	20:17	20:32	20:47	21:02	21:17	21:32	21:52	22:12	22:32	22:57	23:37		
思案橋-A	07:14	07:29	07:39	07:39	07:46	07:51	07:56	08:01	08:06	08:11	08:19	08:29	08:39	08:39	08:49	08:59	09:09	09:19	09:26	09:34	09:49	10:04	10:19	10:19	10:34	10:49	11:04	11:19	11:34	11:49	12:04	12:19	12:34	12:49	13:04	13:19	13:34	13:49	14:04	14:19	14:34	14:49	15:04	15:19	15:34	15:49	16:04	16:19	16:34	16:50	17:05	17:20	17:35	17:50	18:05	18:20	18:40	18:30	18:49	18:59	19:09	19:19	19:29	19:39	19:47	20:07	19:57	20:18	20:33	20:48	21:03	21:18	21:33	21:53	22:13	22:33	22:58	23:38		
猿丸神社前（花里方向）	07:15	07:30	07:40	-	07:47	07:52	07:57	08:02	08:07	08:12	08:20	08:30	08:40	08:40	08:50	09:00	09:10	09:20	09:27	09:35	09:50	10:05	10:20	10:20	10:35	10:50	11:05	11:20	11:35	11:50	12:05	12:20	12:35	12:50	13:05	13:20	13:35	13:50	14:05	14:20	14:35	14:50	15:05	15:20	15:35	15:50	16:05	16:20	16:35	16:51	17:06	17:21	17:36	17:51	18:06	18:21	18:41	18:31	18:50	19:00	19:10	19:20	19:30	19:40	19:48	20:08	19:58	20:19	20:34	20:49	21:04	21:19	21:34	21:54	22:14	22:34	22:59	23:39		
猿丸神社前（小立野方向）	-	-	-	07:40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		
