始発停留所	七尾駅前【４】	七尾駅前【４】	七尾駅前【４】	七尾駅前【４】	七尾駅前【４】	七尾駅前【４】				
始発時間	07:00	08:15	11:50	14:15	16:00	17:40				
終点時間	07:27	08:40	12:24	14:56	16:27	18:07				
終点停留所	中能登中学校-A	良川-B	織姫の里	織姫の里	中能登中学校-A	中能登中学校-A				
備考										
七尾駅前【４】	07:00	08:15	11:50	14:15	16:00	17:40				
小丸山公園下-C	07:02	08:17	11:52	14:17	16:02	17:42				
七尾美術館前-A	-	-	-	14:20	-	-				
能登総合病院	-	-	-	14:22	-	-				
岩屋（化石層）	-	-	-	14:24	-	-				
西藤橋-B	07:04	08:19	11:54	-	16:04	17:44				
岩屋町-B	07:05	08:20	11:55	14:26	16:05	17:45				
七尾警察署前-B	07:06	08:21	11:56	14:27	16:06	17:46				
国分-B	07:07	08:22	11:57	14:28	16:07	17:47				
細口-B	07:08	08:23	11:58	14:29	16:08	17:48				
青葉台-B	07:09	08:24	11:59	14:30	16:09	17:49				
白馬口-B	07:10	08:25	12:00	14:31	16:10	17:50				
上白馬-B	07:11	08:26	12:01	14:32	16:11	17:51				
廿九日-B	07:12	08:27	12:02	14:33	16:12	17:52				
新庄-B	07:14	08:29	12:04	14:35	16:14	17:54				
大槻-B	07:15	08:30	12:05	14:37	16:15	17:55				
羽坂-B	07:16	08:31	12:06	14:38	16:16	17:56				
末坂-B	07:17	08:32	12:07	14:39	16:17	17:57				
鳥屋小学校前-B	07:19	08:34	12:09	14:41	16:19	17:59				
良川住宅前-A	07:20	08:35	12:10	14:42	16:20	18:00				
良川駅前	07:22	08:37	12:12	14:44	16:22	18:02				
良川-B	-	08:40	-	-	-	-				
良川-D	07:24		12:14	14:46	16:24	18:04				
中能登中学校-A	07:27		12:16	14:48	16:27	18:07				
アルプラザ鹿島-A			12:19	14:51						
アルプラザ鹿島-B			-	-						
織姫の里			12:24	14:56						
