終点時間	07:29	07:59	08:19	08:36	08:54	09:22	09:34	09:54	10:22	10:45	10:56	11:44	11:39	12:07	12:19	12:39	12:59	13:27	13:50	13:59	14:21	14:47	14:59	15:32	15:47	15:59	16:19	16:52	16:59	17:44	17:29	17:39	18:12	18:19	18:39	18:56	19:22	19:34	19:56	20:39	20:45	20:54	21:30	21:52	22:30	22:52				
終点停留所	光が丘住宅	光が丘住宅	光が丘住宅	光が丘住宅	光が丘住宅	額住宅駅	鶴寿園	光が丘住宅	額住宅駅	南部車庫-A	光が丘住宅	下森島-B	光が丘住宅	額住宅駅	鶴寿園	光が丘住宅	光が丘住宅	額住宅駅	南部車庫-A	光が丘住宅	光が丘住宅	額住宅駅	光が丘住宅	南部車庫-A	額住宅駅	光が丘住宅	光が丘住宅	南部車庫-A	光が丘住宅	下森島-B	光が丘住宅	光が丘住宅	南部車庫-A	光が丘住宅	光が丘住宅	光が丘住宅	額住宅駅	光が丘住宅	光が丘住宅	下森島-B	南部車庫-A	光が丘住宅	額住宅駅	光が丘住宅	額住宅駅	光が丘住宅				
備考						ノンステップバス															ノンステップバス						ノンステップバス																							
県庁前-B																																																		
駅西合庁前（西念南方向）																																																		
西念西-B																																																		
西念南-B																																																		
広岡-B																																																		
金沢駅西口【５】																																																		
南町-A	07:03	07:33	07:50	08:05	08:25	08:45	09:05	09:25	09:45	10:05	10:25	10:45	11:05	11:25	11:45	12:05	12:25	12:45	13:05	13:25	13:45	14:05	14:25	14:45	15:05	15:25	15:45	16:05	16:25	16:45	16:55	17:05	17:25	17:45	18:05	18:25	18:45	19:05	19:25	19:43	20:03	20:23	20:53	21:23	21:53	22:23				
香林坊（アトリオ前）	07:05	07:35	07:52	08:07	08:27	08:47	09:07	09:27	09:47	10:07	10:27	10:47	11:07	11:27	11:47	12:07	12:27	12:47	13:07	13:27	13:47	14:07	14:27	14:47	15:07	15:27	15:47	16:07	16:27	16:47	16:57	17:07	17:27	17:47	18:07	18:27	18:47	19:07	19:27	19:45	20:05	20:25	20:55	21:25	21:55	22:25				
片町（パシオン前）	07:08	07:38	07:55	08:10	08:30	08:50	09:10	09:30	09:50	10:10	10:30	10:50	11:10	11:30	11:50	12:10	12:30	12:50	13:10	13:30	13:50	14:10	14:30	14:50	15:10	15:30	15:50	16:10	16:30	16:50	17:00	17:10	17:30	17:50	18:10	18:30	18:50	19:10	19:30	19:48	20:08	20:28	20:58	21:28	21:58	22:28				
広小路（平和町方向）	07:10	07:40	07:56	08:11	08:31	-	09:12	09:31	-	10:11	10:31	-	11:12	-	11:52	12:12	12:32	-	13:12	13:32	13:52	-	14:32	14:52	-	15:32	15:52	16:12	16:32	-	17:02	17:12	17:32	17:52	18:12	18:31	-	19:11	19:31	-	20:10	20:30	-	21:30	-	22:30				
広小路（有松方向）	-	-	-	-	-	08:52	-	-	09:52	-	-	10:52	-	11:32	-	-	-	12:52	-	-	-	14:12	-	-	15:12	-	-	-	-	16:52	-	-	-	-	-	-	18:52	-	-	19:50	-	-	21:00	-	22:00	-				
野町-A	-	-	-	-	-	08:53	-	-	09:53	-	-	10:53	-	11:33	-	-	-	12:53	-	-	-	14:13	-	-	15:13	-	-	-	-	16:53	-	-	-	-	-	-	18:53	-	-	19:51	-	-	21:01	-	22:01	-				
泉一丁目-A	-	-	-	-	-	08:54	-	-	09:54	-	-	10:54	-	11:34	-	-	-	12:54	-	-	-	14:14	-	-	15:14	-	-	-	-	16:54	-	-	-	-	-	-	18:54	-	-	19:52	-	-	21:02	-	22:02	-				
泉二丁目-A	-	-	-	-	-	08:56	-	-	09:56	-	-	10:56	-	11:36	-	-	-	12:56	-	-	-	14:16	-	-	15:16	-	-	-	-	16:56	-	-	-	-	-	-	18:56	-	-	19:54	-	-	21:03	-	22:03	-				
有松（泉が丘方向）	-	-	-	-	-	08:58	-	-	09:58	-	-	10:58	-	11:38	-	-	-	12:58	-	-	-	14:18	-	-	15:18	-	-	-	-	16:58	-	-	-	-	-	-	18:58	-	-	19:56	-	-	21:04	-	22:04	-				
寺町五丁目-A	07:12	07:42	07:58	08:13	08:33	-	09:13	09:33	-	10:13	10:33	-	11:14	-	11:54	12:14	12:34	-	13:14	13:34	13:54	-	14:34	14:54	-	15:34	15:54	16:14	16:34	-	17:04	17:14	17:34	17:54	18:14	18:33	-	19:13	19:33	-	20:12	20:32	-	21:32	-	22:32				
沼田町-A	07:13	07:43	07:59	08:14	08:34	-	09:14	09:34	-	10:14	10:34	-	11:15	-	11:55	12:15	12:35	-	13:15	13:35	13:55	-	14:35	14:55	-	15:35	15:55	16:15	16:35	-	17:05	17:15	17:35	17:55	18:15	18:34	-	19:14	19:34	-	20:13	20:33	-	21:33	-	22:33				
泉野三丁目-A	07:14	07:44	08:00	08:15	08:35	-	09:15	09:35	-	10:15	10:35	-	11:16	-	11:56	12:16	12:36	-	13:16	13:36	13:56	-	14:36	14:56	-	15:36	15:56	16:16	16:36	-	17:06	17:16	17:36	17:56	18:16	18:35	-	19:15	19:35	-	20:14	20:34	-	21:34	-	22:34				
泉が丘（円光寺方向）	07:15	07:45	08:01	08:16	08:36	09:00	09:16	09:36	10:00	10:16	10:36	11:00	11:18	11:40	11:57	12:18	12:38	13:00	13:18	13:38	13:58	14:20	14:38	14:58	15:20	15:38	15:58	16:18	16:38	17:00	17:08	17:18	17:38	17:58	18:18	18:36	19:00	19:16	19:36	19:58	20:15	20:35	21:06	21:35	22:06	22:35				
泉丘高校前-A	07:16	07:46	08:02	08:17	08:37	09:01	09:17	09:37	10:01	10:17	10:37	11:02	11:20	11:42	11:59	12:20	12:40	13:02	13:20	13:40	14:00	14:22	14:40	15:00	15:22	15:40	16:00	16:20	16:40	17:02	17:10	17:20	17:40	18:00	18:20	18:37	19:01	19:17	19:37	20:00	20:16	20:36	21:08	21:36	22:08	22:36				
円光寺（郊外方向）	07:17	07:47	08:04	08:19	08:39	09:03	09:19	09:39	10:03	10:19	10:39	11:04	11:22	11:44	12:01	12:22	12:42	13:04	13:22	13:42	14:02	14:24	14:42	15:02	15:24	15:42	16:02	16:22	16:42	17:04	17:12	17:22	17:42	18:02	18:22	18:39	19:03	19:19	19:39	20:01	20:18	20:38	21:09	21:37	22:09	22:37				
