始発停留所	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	県庁前-B	金沢駅【３】	金沢駅【３】	金沢駅【３】				
始発時間	06:35	07:02	07:19	07:25	07:40	07:42	08:05	08:05	08:25	08:52	09:10	09:32	09:32	10:02	10:25	11:10	11:25	12:10	12:40	13:10	13:40	14:25	15:25	15:40	16:25	17:02	17:40	18:08	19:25	20:25	21:10				
終点時間	07:10	07:34	07:53	07:59	08:14	08:02	08:42	08:45	09:05	09:31	09:49	10:07	10:11	10:41	11:04	11:46	12:00	12:45	13:15	13:45	14:15	15:00	16:00	16:15	17:00	17:37	18:14	18:57	19:56	21:04	21:41				
終点停留所	金沢学院大学-A	金沢東高校-A	辰巳丘高校-B	金沢東高校-A	辰巳丘高校-B	小立野大学病院前（降車場）	金沢東高校-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	東部車庫-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	金沢東高校-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	上辰巳-A	東部車庫-A				
備考						学期休み期間、運休	学期休み期間のみ運行	学期休み期間、運休				学期休み期間のみ運行	学期休み期間、運休																						
土清水口-A	06:53	07:22	07:40	07:44	08:01		08:26	08:26	08:46	09:13	09:31	09:53	09:53	10:23	10:46	11:30	11:46	12:31	13:01	13:31	14:01	14:46	15:46	16:01	16:46	17:23	18:01	18:46	19:45	20:47	21:28				
土清水-A	06:54	07:23	07:41	07:45	08:02		08:27	08:27	08:47	09:14	09:32	09:54	09:54	10:24	10:47	11:31	11:47	12:32	13:02	13:32	14:02	14:47	15:47	16:02	16:47	17:24	18:02	18:47	19:46	20:48	21:29				
土清水南-A	-	-	07:42	-	08:03		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
舘山町-A	-	-	07:43	-	08:04		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
辰巳丘高校-B	-	-	07:53	-	08:14		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
大道割口-A	06:55	07:24		07:46			08:28	08:28	08:48	09:15	09:33	09:55	09:55	10:25	10:48	11:32	11:48	12:33	13:03	13:33	14:03	14:48	15:48	16:03	16:48	17:25	18:03	18:48	19:47	20:49	21:30				
永安町（東部車庫方向）	06:56	07:25		07:47			08:29	08:29	08:49	09:16	09:34	09:56	09:56	10:26	10:49	11:33	11:49	12:34	13:04	13:34	14:04	14:49	15:49	16:04	16:49	17:26	18:04	18:49	19:48	20:50	21:31				
末-A	06:57	07:26		07:48			08:30	08:30	08:50	09:17	09:35	09:57	09:57	10:27	10:50	11:34	11:50	12:35	13:05	13:35	14:05	14:50	15:50	16:05	16:50	17:27	18:05	18:50	19:49	20:51	21:32				
都雅野住宅-A	06:58	07:27		07:49			08:31	08:31	08:51	09:18	09:36	09:58	09:58	10:28	10:51	11:35	11:51	12:36	13:06	13:36	14:06	14:51	15:51	16:06	16:51	17:28	18:06	18:51	19:50	20:51	21:33				
東部車庫-A	06:59	07:28		07:50			08:32	08:32	08:52	09:19	09:37	10:07	09:59	10:29	10:52	11:36	12:00	12:45	13:15	13:45	14:15	15:00	16:00	16:15	17:00	17:37	18:14	18:57	19:56	20:52	21:41				
金沢東高校-A	-	07:34		07:59			08:42	-	-	-	-		-	-	-	11:46														-					
金沢東高校（学院方向）	07:00							08:33	08:53	09:20	09:38		10:00	10:30	10:53															-					
金沢学院大学-A	07:10							08:45	09:05	09:31	09:49		10:11	10:41	11:04															-					
犀川小学校前-A																														20:53					
下辰巳																														20:54					
辰巳農協前																														20:55					
中辰己																														20:56					
上辰巳-A																														21:04					
