始発停留所	穴水駅前-D				
始発時間	08:10				
終点時間	08:21				
終点停留所	穴水駅前-B				
備考	学期休み期間、運休				
穴水駅前-D	08:10				
東町-A	08:11				
城山住宅前-A	08:13				
真名井口	08:14				
職業短大前	08:15				
穴水高校前	08:16				
穴水高校口-B	08:17				
城山住宅前-B	08:18				
東町-B	08:20				
穴水駅前-B	08:21				
