始発停留所	宇出津駅前-A	宇出津駅前-A	柳田-A		
始発時間	07:17	07:19	07:21		
終点時間	08:02	07:57	07:57		
終点停留所	珠洲市総合病院前-A	飯田高校下	飯田高校下		
備考			学期休み期間、運休		
宇出津駅前-A	07:17	07:19			
能登不動寺-A	07:28	-			
松波城址公園口-A	07:36	-			
柳田-A	-	-	07:21		
柳田上町-D	-	07:28	07:28		
柳田植物公園口	-	07:31	07:31		
内浦駒渡	-	07:33	07:33		
馬渡	-	07:36	07:36		
是久-B	-	07:38	07:38		
鵜島	-	07:44	07:44		
恋路浜-A	07:41	-	-		
本鵜島	07:43	-	-		
珠洲鵜飼	07:48	07:45	07:45		
上戸	-	07:49	07:49		
飯田栄町	07:55	07:52	07:52		
飯田高校下	07:59	07:57	07:57		
珠洲市総合病院前-A	08:02				
