終点停留所	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	小立野大学病院前（降車場）	御所二丁目	小立野大学病院前（降車場）	兼六園下（北鉄車庫前）	星稜高校（駐車場内）	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	柳橋-A	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	柳橋-A	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）		
備考							ノンステップバス											ノンステップバス	ノンステップバス																					
保古町-B	07:03	-	07:28	07:48	08:08	08:28	08:54	09:13	09:33	-	10:03	10:33	11:03	11:33	-	11:58	12:23	12:46	13:13	-	13:48	14:21	14:48	15:18	15:46	-	16:18	16:48	17:18	17:48	18:18	-	18:51	19:23	19:48	20:13	20:43	21:13		
糸田町-B	07:04	-	07:29	07:49	08:09	08:29	08:55	09:14	09:34	-	10:04	10:34	11:04	11:34	-	11:59	12:24	12:47	13:14	-	13:49	14:22	14:49	15:19	15:47	-	16:19	16:49	17:19	17:49	18:19	-	18:52	19:24	19:49	20:14	20:44	21:14		
新神田（増泉方向）	07:06	-	07:31	07:51	08:11	08:31	08:58	09:18	09:38	-	10:08	10:38	11:08	11:38	-	12:03	12:28	12:51	13:18	-	13:53	14:26	14:53	15:23	15:51	-	16:23	16:53	17:23	17:53	18:23	-	18:56	19:26	19:51	20:16	20:46	21:16		
増泉（片町方向）	07:08	-	07:33	07:53	08:13	08:33	09:00	09:20	09:40	-	10:10	10:40	11:10	11:40	-	12:05	12:30	12:53	13:20	-	13:55	14:28	14:55	15:25	15:53	-	16:25	16:55	17:25	17:55	18:25	-	18:58	19:28	19:53	20:18	20:48	21:18		
増泉一丁目-B	07:09	-	07:34	07:54	08:14	08:34	09:01	09:21	09:41	-	10:11	10:41	11:11	11:41	-	12:06	12:31	12:54	13:21	-	13:56	14:29	14:56	15:26	15:54	-	16:26	16:56	17:26	17:56	18:26	-	18:59	19:29	19:54	20:19	20:49	21:19		
白菊町-B	07:10	-	07:35	07:55	08:15	08:35	09:02	09:22	09:42	-	10:12	10:42	11:12	11:42	-	12:07	12:32	12:55	13:22	-	13:57	14:30	14:57	15:27	15:55	-	16:27	16:57	17:27	17:57	18:27	-	19:00	19:30	19:55	20:20	20:50	21:20		
片町（ラブロ前）	07:13	07:25	07:38	07:58	08:18	08:38	09:06	09:25	09:45	10:10	10:15	10:45	11:15	11:45	11:50	12:10	12:35	12:58	13:25	13:50	14:00	14:33	15:00	15:30	15:58	16:15	16:30	17:00	17:30	18:00	18:30	18:30	19:03	19:33	19:58	20:23	20:53	21:23		
香林坊（日銀前）	-	-	-	07:59	-	-	09:07	-	09:47	-	-	-	11:17	-	-	-	12:37	-	13:27	-	14:02	-	-	15:32	-	-	-	-	17:32	-	18:32	-	-	-	19:59	-	-	-		
香林坊（中央公園前）	07:14	07:27	07:39	-	08:19	08:39	-	09:27	-	10:12	10:17	10:47	-	11:47	11:52	12:12	-	13:00	-	13:52	-	14:35	15:02	-	16:00	16:17	16:32	17:02	-	18:02	-	18:32	19:05	19:34	-	20:24	20:54	21:24		
広坂（しいのき迎賓館前）	07:15	07:28	07:40	-	08:20	08:40	-	09:28	-	10:13	10:18	10:48	-	11:48	11:53	12:13	-	13:01	-	13:53	-	14:36	15:03	-	16:01	16:18	16:33	17:03	-	18:03	-	18:33	19:06	19:35	-	20:25	20:55	21:25		
兼六園下（北鉄車庫前）	07:23	07:33	-	-	-	08:48	-	09:38	-	10:23	10:28	10:58	-	11:58	12:03	12:23	-	13:11	-	14:03	-	14:46	15:13	-	16:11	16:28	16:43	17:13	-	18:13	-	18:43	19:16	19:43	-	20:33	21:03	21:33		
南町-B			-	08:01	-		09:08		09:49				11:19				12:39		13:29		14:04			15:34					17:34		18:34				20:01					
武蔵ヶ辻（エムザ前）			-	08:02	-		09:10		09:51				11:21				12:41		13:31		14:06			15:36					17:36		18:36				20:02					
彦三-A			-	08:03	-		09:12		09:52				11:22				12:42		13:32		14:07			15:37					17:37		18:37				20:03					
瓢箪町-A			-	08:04	-		09:13		09:53				11:23				12:43		13:33		14:08			15:38					17:38		18:38				20:04					
小橋町-A			-	08:05	-		09:14		09:54				11:24				12:44		13:34		14:09			15:39					17:39		18:39				20:05					
森山二丁目（山の上方向）			-	08:06	-		09:15		09:55				11:25				12:45		13:35		14:10			15:40					17:40		18:40				20:06					
山の上（鳴和方向）			-	08:07	-		09:16		09:56				11:26				12:46		13:36		14:11			15:41					17:41		18:41				20:07					
春日町（山の上から）			-	08:09	-		09:18		09:58				11:28				12:48		13:38		14:13			15:43					17:43		18:43				20:09					
桜丘高校前-A			-	08:11	-		09:20		10:00				11:30				-		13:40		-			15:45					17:45		18:45				20:11					
鳴和-A			-	-	-		-		-				-				12:50		-		14:15			-					-		-				-					
鳴和台市民体育会館前-A			-	-	-		09:21		10:01				11:31				-		13:41		-			15:46					-		-				-					
鳴和台-A			-	-	-		09:22		10:02				11:32				-		13:42		-			15:47					-		-				-					
鳴和台-C			-	08:12	-		-		-				-				-		-		-			-					17:46		18:46				20:12					
御所町-A			-	-	-		09:23		-				-				-		-		-			-					-		-				-					
星稜高校（駐車場内）			-	-	-		09:30		-				-				-		-		-			-					-		-				-					
高田-A			-	08:14	-				10:04				11:34				-		13:44		-			15:49					17:48		18:48				20:14					
御所ニュータウン口-A			-	08:15	-				10:05				11:35				-		13:45		-			15:50					17:49		18:49				20:15					
御所一丁目-A			-	08:16	-				10:06				11:36				-		13:46		-			15:51					17:50		18:50				20:16					
御所二丁目			-	08:28	-				10:19				11:49				-		13:59		-			16:04					18:03		19:03				20:28					
小坂-A			-		-												12:51				14:16																			
小坂中-A			-		-												12:52				14:17																			
神谷内-A			-		-												12:53				14:18																			
柳橋-A			-		-												13:03				14:28																			
兼六園下（県駐車場前）			07:42		08:22																																			
出羽町-A			07:45		08:25																																			
石引町-A			07:46		08:26																																			
小立野大学病院前（降車場）			07:52		08:32																																			
西金沢-C																																								
米泉-B																																								
西泉（デイリーヤマザキ前）																																								
金沢高校前-B																																								
泉新町-B																																								
泉二丁目-A																																								
有松（泉が丘方向）																																								
泉が丘（円光寺方向）																																								
市総合体育館前-C																																								
二水高校前-A																																								
平和町（公民館前）																																								
平和町（アルコ前）																																								
金大附校自衛隊前-B																																								
