始発停留所	能登高校南	能登高校南	能登高校南	能登高校南	
始発時間	11:45	13:20	17:00	18:30	
終点時間	12:17	13:52	17:32	19:02	
終点停留所	上曽又	上曽又	上曽又	上曽又	
備考					
能登高校南	11:45	13:20	17:00	18:30	
辺田の浜-B	11:47	13:22	17:02	18:32	
能登田町-A	11:48	13:23	17:03	18:33	
宇出津病院前-A	11:49	13:24	17:04	18:34	
宇出津駅前-A	11:50	13:25	17:05	18:35	
梅の木-B	11:51	13:26	17:06	18:36	
平体口	11:52	13:27	17:07	18:37	
長坂	11:54	13:29	17:09	18:39	
藤の瀬	11:57	13:32	17:12	18:42	
上藤の瀬	11:59	13:34	17:14	18:44	
宇加塚	12:01	13:36	17:16	18:46	
宇加塚口	12:02	13:37	17:17	18:47	
宇加塚	12:03	13:38	17:18	18:48	
上藤の瀬	12:05	13:40	17:20	18:50	
藤の瀬	12:07	13:42	17:22	18:52	
下藤の瀬	12:08	13:43	17:23	18:53	
吉尾口	12:10	13:45	17:25	18:55	
鶴町	12:12	13:47	17:27	18:57	
田谷出-B	12:14	13:49	17:29	18:59	
後谷	12:15	13:50	17:30	19:00	
曽又	12:16	13:51	17:31	19:01	
上曽又	12:17	13:52	17:32	19:02	
