始発停留所	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C			
始発時間	06:18	06:35	06:55	07:08	07:08	07:20	07:20	07:35	07:35	07:55	08:15	08:45	09:20	09:45	10:20	11:20	12:20	13:20	14:05	14:45	15:10	15:40	16:00	16:30	16:45	17:28	18:00	18:35	19:20	20:00	20:40	21:20			
終点時間	06:52	07:09	07:29	07:47	07:52	07:59	08:04	08:20	08:25	08:45	09:05	09:27	09:54	10:19	10:54	11:54	12:54	13:54	14:39	15:19	15:44	16:14	16:34	17:12	17:27	18:10	18:42	19:09	19:54	20:30	21:10	21:50			
終点停留所	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A			
備考				学期休み期間のみ運行	学期休み期間、運休	学期休み期間のみ運行	学期休み期間、運休	学期休み期間のみ運行	学期休み期間、運休																										
中村町-B	06:24	06:41	07:02	07:15	07:15	07:27	07:27	07:42	07:42	08:06	08:26	08:52	09:27	09:52	10:27	11:27	12:27	13:27	14:12	14:52	15:17	15:47	16:07	16:37	16:52	17:35	18:07	18:42	19:27	20:06	20:46	21:26			
富本町（三社方向）	06:26	06:43	07:05	07:18	07:18	07:30	07:30	07:46	07:46	08:10	08:30	08:55	09:30	09:55	10:30	11:30	12:30	13:30	14:15	14:55	15:20	15:50	16:10	16:40	16:55	17:38	18:10	18:45	19:30	20:08	20:48	21:28			
長土塀-B	06:26	06:43	07:05	07:18	07:18	07:30	07:30	07:46	07:46	08:10	08:30	08:55	09:30	09:55	10:30	11:30	12:30	13:30	14:15	14:55	15:20	15:50	16:10	16:40	16:55	17:38	18:10	18:45	19:30	20:08	20:48	21:28			
三社-B	06:27	06:44	07:06	07:19	07:19	07:31	07:31	07:47	07:47	08:12	08:32	08:56	09:31	09:56	10:31	11:31	12:31	13:31	14:16	14:56	15:21	15:51	16:11	16:41	16:56	17:39	18:11	18:46	19:31	20:09	20:49	21:29			
六枚町（ガスト前）	06:28	06:45	07:08	07:21	07:21	07:33	07:33	07:49	07:49	08:15	08:35	08:59	09:33	09:58	10:33	11:33	12:33	13:33	14:18	14:58	15:23	15:53	16:13	16:44	16:59	17:42	18:14	18:48	19:33	20:10	20:50	21:30			
金沢駅【降車場】	06:33	06:50	07:13	07:28	-	07:40	-	07:56	-	08:21	08:41	09:05	09:38	10:03	10:38	11:38	12:38	13:38	14:23	15:03	15:28	15:58	16:18	16:50	17:05	17:48	18:20	18:53	19:38	20:15	20:55	21:35			
金沢駅【１】	06:33	06:50	07:13	07:28	07:28	07:40	07:40	07:56	07:56	08:21	08:41	09:05	09:38	10:03	10:38	11:38	12:38	13:38	14:23	15:03	15:28	15:58	16:18	16:50	17:05	17:48	18:20	18:53	19:38	20:15	20:55	21:35			
中島大橋-A	06:35	06:52	07:15	07:30	07:30	07:42	07:42	07:58	07:58	08:24	08:44	09:08	09:40	10:05	10:40	11:40	12:40	13:40	14:25	15:05	15:30	16:00	16:20	16:53	17:08	17:51	18:23	18:55	19:40	20:17	20:57	21:37			
浅野町小学校前-A	06:36	06:53	07:16	07:31	07:31	07:43	07:43	07:59	07:59	08:25	08:45	09:09	09:41	10:06	10:41	11:41	12:41	13:41	14:26	15:06	15:31	16:01	16:21	16:54	17:09	17:52	18:24	18:56	19:41	20:18	20:58	21:38			
東警察署前（鳴和方向）	06:37	06:54	07:17	07:32	07:32	07:44	07:44	08:00	08:00	08:26	08:46	09:10	09:42	10:07	10:42	11:42	12:42	13:42	14:27	15:07	15:32	16:02	16:22	16:55	17:10	17:53	18:25	18:57	19:42	20:19	20:59	21:39			
神宮寺町（鳴和方向）	06:38	06:55	07:18	07:33	07:33	07:45	07:45	08:01	08:01	08:27	08:47	09:11	09:43	10:08	10:43	11:43	12:43	13:43	14:28	15:08	15:33	16:03	16:23	16:56	17:11	17:54	18:26	18:58	19:43	20:20	21:00	21:40			
春日町（東署から）	06:39	06:56	07:19	07:34	07:34	07:46	07:46	08:02	08:02	08:28	08:48	09:12	09:44	10:09	10:44	11:44	12:44	13:44	14:29	15:09	15:34	16:04	16:24	16:57	17:12	17:55	18:27	18:59	19:44	20:21	21:01	21:41			
桜丘高校前-A	-	-	-	-	07:37	-	07:49	-	08:05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
鳴和台-C	-	-	-	-	07:38	-	07:50	-	08:06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
御所町-A	-	-	-	-	07:39	-	07:51	-	08:07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
星稜高校（駐車場内）	-	-	-	-	07:40	-	07:52	-	08:08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
鳴和-A	06:41	06:58	07:21	07:36	-	07:48	-	08:04	-	08:30	08:50	09:14	09:46	10:11	10:46	11:46	12:46	13:46	14:31	15:11	15:36	16:06	16:26	16:59	17:14	17:57	18:29	19:01	19:46	20:23	21:03	21:43			
小坂-A	06:42	06:59	07:22	07:37	-	07:49	-	08:05	-	08:32	08:52	09:16	09:47	10:12	10:47	11:47	12:47	13:47	14:32	15:12	15:37	16:07	16:27	17:01	17:16	17:59	18:31	19:02	19:47	20:24	21:04	21:44			
小坂中-A	06:43	07:00	07:23	07:38	07:43	07:50	07:55	08:06	08:11	08:33	08:53	09:17	09:48	10:13	10:48	11:48	12:48	13:48	14:33	15:13	15:38	16:08	16:28	17:02	17:17	18:00	18:32	19:03	19:48	20:25	21:05	21:45			
神谷内-A	06:44	07:01	07:24	07:39	07:44	07:51	07:56	08:07	08:12	08:34	08:54	09:18	09:49	10:14	10:49	11:49	12:49	13:49	14:34	15:14	15:39	16:09	16:29	17:03	17:18	18:01	18:33	19:04	19:49	20:26	21:06	21:46			
柳橋-A	06:52	07:09	07:29	07:47	07:52	07:59	08:04	08:20	08:25	08:45	09:05	09:27	09:54	10:19	10:54	11:54	12:54	13:54	14:39	15:19	15:44	16:14	16:34	17:12	17:27	18:10	18:42	19:09	19:54	20:30	21:10	21:50			
