始発停留所	門前-A	門前-A			
始発時間	13:15	17:30			
終点時間	13:45	18:00			
終点停留所	山是清-A	山是清-A			
備考					
門前-A	13:15	17:30			
立町-B	13:16	17:31			
総持寺前-B	13:17	17:32			
林業センター前-B	13:18	17:33			
勝田口-A	13:19	17:34			
東道下-B	13:20	17:35			
道下-B	13:21	17:36			
西道下-B	13:22	17:37			
道下栄町-B	13:23	17:38			
黒島-B	13:24	17:39			
南黒島-B	13:25	17:40			
大口-B	13:26	17:41			
北川-B	13:28	17:43			
池田-C	13:30	17:45			
南-A	13:32	17:47			
鍛冶屋口-A	13:34	17:49			
中田-A	13:35	17:50			
椎木口-A	13:38	17:53			
小山-A	13:39	17:54			
大切口-A	13:41	17:56			
二又-A	13:42	17:57			
江崎-A	13:43	17:58			
山是清-A	13:45	18:00			
